username,date,review_text,rating,source
kupatea,2020-10-29,"Good animation but story writing needs improvement: The animation was fun to watch specially that you don't see that much Filipino animation online.

The thing that I don't like about this movie is that it has too many dirty jokes that aren't that funny, and I think it would've been done better if the jokes were timed right. The story flow was messy, some parts were fast, some parts were slow. I actually found myself watching this movie with a straight face, i guess i was expecting too much since the teasers hyped me up?

Guess the way the story was written isn't my cup of tea. Kudos to those people who worked on this animation! hope to see more animation projects in the future",60.0,imdb
whiteboiii30,2020-11-04,"Good Overall: I set my expectations low, when I saw the mainstream local actors were the voice of the characters. Its premise as typical cheap romantic comedy gives me a bad vibes because of reputation of poorly-made-overused plot lines that plagues Filipino mainstream cinema. But I still give it a chance because Filipino animations are not common. I like the cultural references and the catch of the story. I think making it as adult, dark comedy animation film is a great move. In short ""Hayop Ka!"" Exceeds my expectations, 7/10.",70.0,imdb
Lloydee98,2021-01-11,"IT'S CLICHED, FUN AND QUITE TOUCHING: During the first half of ""Hayop Ka,"" tons of cliches from filipino teleseryes and movies were shown, including some funny jokes and references. But after an argument scene that features Robin Padilla's terrific voice acting, the film actually got better. Despite being quite annoying during the first half, the character of Nymfa won me over due to her journey and the ending wherein I realized that a lot of Filipinas end up with the same situation.",70.0,imdb
riyandans,2020-10-31,"A suprise from SEA: Well the animation is good also VA and character design, but storyline need some improvement i was just get disappointed when how the ending comes like that i just kinda hoping that after credits there is some sort epilogue will explain how Nimfa's life foward. But this movie also need some more audience to watch the movie it's a good movie so tell people to watch this movie.",70.0,imdb
paul_m_haakonsen,2022-01-25,"Funny and enjoyable...: When I stumbled upon the 2020 Tagalog animated movie ""Hayop Ka!"", I had no idea what I was getting myself into here. But I read the synopsis for it, and have to say that I was somewhat intrigued, as ""Hayop Ka!"" sounded like something definitely aimed at a more mature audience.

And I will say that writers Manny Angeles, Avid Liongoren and Paulle Olivenza definitely managed to put together a story and plot that was every bit as entertaining as it was enjoyable. So yeah, ""Hayop Ka!"" was a wholesome animated feature for a mature audience. And when I say mature audience I don't mean that it is XXX-rated, but merely that there were references and hits towards lewd nature.

The art style in ""Hayop Ka!"" was strange, but enjoyably so. Initially I was a bit taken aback by the art style, but it quickly grew on me and I came to enjoy the art style that they used here because it was definitely complimenting the story and the message of the movie.

With ""Hayop Ka!"" being an animated movie, a proper voice cast ensemble is a must. And luckily they did have that here. While I am not familiar with Tagalog cinema, then I wasn't familiar with a single voice here. But I will say that the voice acting was good and definitely gave the characters life on the screen.

I found ""Hayop Ka!"" to be an enjoyable surprise of a movie, and definitely is an animated movie that I would recommend for a mature audience that enjoys light-hearted and funny stories. The fact that ""Hayop Ka!"" was told as an animation wasn't really a hindrance in any way.

My rating of director Avid Liongoren's ""Hayop Ka!"" lands on a six out of ten stars.",60.0,imdb
pzct,2020-12-26,"You Filthy Animal, Nimfa XD: Hayop Ka - About the female cat known as Nimfa, who has to decide if she wants to be with her macho boyfriend who she's been with for years or a rich gentlemen guy. The movie has it's ups and downs

Pros:

Character Designs and Animations - Let's go ahead and point this out. I thought the designs for the characters were unique. To the point where I can easily identify where these characters came from. Not only that, but the animation was beautiful!! I enjoyed the movement of these characters!

Repeating Premise with a Surprise - It has been done to death Yes. A female that's tired of her broke life so she wants a chance at the richness and luxury. That's pretty much what Nimfa does in this movie. She leaves her ex to join the rich and luxurious life. Except instead of realizing she was better off with her old life, she doesnt get neither men. Her Ex was now taken and she caught her Rich boyfriend cheating. So the premise is repetitive but there was a nice twist for me!

Roger - If I had to say which character stood out to me more, it was definitely Roger. He was the best character to me in the movie. Because he was trying his best to provide for his girl while staying loyal to her. While admittingly, he is at fault for giving her the same repetitive lifestyle she grown tired of, I felt like he didnt deserve to be lied and cheated on. Plus, his design is pretty hot owo Strong Muscular Dog

Radio Host - I forgot his name but the radio show host straight up tells Nimfa all the wrong things she did. It was the best moment because somebody needed to set things straight with her

Cons -

Third Act/Final Act - The film was going pretty solid so far. That was until the third act or the part where Roger was bailed out of jail for destruction to somebody's car and putting someone in the hospital. After that part, I personally felt like the story kind of fell apart. Nimfa does have a guilty mind for the decisions she made, which is understandable. But here is one that I felt like fell apart: Nimfa getting pregnant with Roger's baby. This was when literally Nimfa and Iningo finished having sex on the beach. She was pregnant next day and it was Roger's baby. I was confused because they havent had sex in a while! She was pretty much banging Iningo. Plus, I felt like this was a bit out of place for something like a pregnancy to happen. There are more to it but watch the film. You'll understand why I felt like the third act of the film kind of just fell apart. Not only that but the ending felt so unsatisfying. Since the third act pretty much broke apart, the ending felt unsatisfying

Overall, A solid movie at best. Of course the story is pretty much basic but with a neat rwist. I just felt like the movie was dragged down by the third act of the film",70.0,imdb
rhardo,2020-11-14,"It's a good start!: It's a good start! In fact, I can call the whole thing a masterpiece from a creative standpoint. Surprisingly, it was entertaining despite the usual Pinoy the-other-woman trope surrounding the plot (but come on... Filipinos are more than just a Telenovela audience). I have to commend the team behind this project, though, for being bold and for choosing an unconventional direction-we don't get to see a 2D-animated anthropomorphic characters featured in an adult infidelity-driven storyline everyday, do we? Overall, kudos to Rocketsheep Studio for a very fine job! The Philippine animation industry has really come a long way. Keep on!",90.0,imdb
gege-24317,2020-11-01,Awesome visuals; weak story: Really impressed w/ the visuals and animation. Story could work a bit better tho.,50.0,imdb
candadhanik,2020-10-31,Coolest slice of life comedy!!!: This is the funniest and coolest slice of life comedy that I've ever seen. This is the reality of life. I really loved every details of it. It's a sad and happy story. I laughed a lot with this film and the part where empoy sang almost brought me to tears. Thank you for the filipinos who did this. I hope you continue doing more of this amazing comedy film. That was very entertaining and honest. Great characters. Thank you very much. 🙂,100.0,imdb
titotitomanbaby,2020-11-24,The Nutshack is better than this: This is just a furry cartoon with a Philippine teleserye cliche.,10.0,imdb
