username,date,review_text,rating,source
hanablue,2018-08-30,"KathNiel's G.O.A.T movie!: I don't usually go watch local films, but KathNiel just have that thing that makes me not want to miss it every single time (I always watch on it's first day too.) lol

So here's my non-biased review. I will try to be as objective as possible. For someone who appreciate movies a whole lot, it is such a hard thing to please me and my siblings when it comes to movies. I was a bit hesitant before watching the movie, rom-com-drama movies are not really my type.

This movie, went beyond my expectations. The cinematography wasn't as great compared to their Crazy Beautiful You movie, but nonetheless, it really went beyond expectations. I never expected it to be as creative and dynamic because of the simple setting and story line, but it was unbelievably quite on par with CBY. Kudos to the team for that!

Story wise, it was that kind of movie which is really simple and not as complicated as others but it really brought out the feels. I specifically loved the beginning part the most! It's not common for Filipino movies to start that way but it did! Not gonna spoil the scenes though. Gonna leave it all to you to find out how beautifully catching it was. Another thing to note, was the transition to each and every scene, the voice overs and the story flow. It's meticulously put together that you'll be hooked the whole time you're watching the movie. The dynamics was there too, will sound cliche but it was a roller coaster of feelings. When you think you're through all the heavy scenes, and can feel the whole cinema audience sharing that light feeling, they'll hit you with the feels again.

To the couple, Kathryn and Daniel, they were really the one who brought the movie to life. Unlike, Barcelona: A Love Untold, we saw how great of a supporting actor Joshua is and for me, he was one of the actors who brought the movie to life. In here, it was all them. Not discrediting other actors, they all did a good job. Darren is a revelation, the kid is a multi-talented person. We can't really say anything about Miss Jean Garcia cause she really is a legend. Other cast's acting were quite bland but it was still a good one. Joross and another actor's cameo was also on point. For those who never had a relationship like me, Juan Miguel Severo and Ria Atayde was the most relatable one. They really showed what friends do, it was real, really genuine. Back to KathNiel, I really feel like this is their best movie yet. Kathryn was on her zone, she really owned this one. She literally shone her, she really showed her vulnerability and it's super far from when she was starting and her teen movies. We really saw Kathryn, not Kathryn with Daniel but Kathryn. Kathryn herself. Daniel is a natural, we all know that. I can't even explain how great of an actor he is, whenever he accepts a character, you won't see a trace of the Daniel Padilla in real life but he really gets into the character and owns it. He was the best Primo just as Kathryn was the best George. They really owned this one.

Direk Cathy showed us again why she is a blockbuster director. She is a legend. Maybe not indie wise, cause that's not her forte. But we can always trust Direk Cathy to bring out all the emotions, may it be tears of both joy and pain, all the laughs and all the frustrations.

Rated it 8 because there will always be room for improvement for all the actors and the movie itself, but overall it is a really great one. A must-watch!",80.0,imdb
Lloydee98,2021-10-10,"TOUCHING AND UNIQUE: As a non-fan of the usual romantic Filipino films, especially those starring love teams, ""The Hows of Us"" is a unique film thanks to the set up. It's also nice to see a nice twist to the what's essentially the same formula.",80.0,imdb
micahcastro-41724,2018-09-02,"7/10 rating will do: I watched this movie out of curiousity... 'cos my friends keep on telling me its a nice movie... well, not bad, the story is good. What I only don't like is the ""Live in"" concept.. it tells youth nowadays to it's okay to live together without marriage for if you two don't click living together..let go and leave each other.. but if you click that's it be with each other... Realization nowadays, Filipino youth seems forget the culture, the values... anyway, congrats to kath and daniel, great improvement in their acting...it won't surprise me if you two brag the Best / Promising Actress and Actor of the year..",70.0,imdb
meilymylady09,2018-09-02,direk cathy is superb in showing us the ups and downs of a long term relationship.: This movie is the 'one more chance' of this generation. very relatable. i agree that there's nothing new in the storyline simply because couples these days still struggle with the same issues like all other couples from before.,,imdb
TheNonSmoker,2020-07-19,"I dont understand Phillipino language so...: Good movie, even tho I didn't understand the language still this movie didn't bored me at all this movie is very cute and lovely ^-^",70.0,imdb
neutralguy,2018-09-09,"8/10: For a Filipino Film I'll give it a score of 9/10 It is one of the best RomComs in the Philippines ever!

But if you stack it against Hollywood movies. a score of 7/10 would suffice.

Acting Lead Actors: 10/10, they portrayed it masterfully. Supporting Cast: 6/10, could have casted a better ""Yohan"", they gave him a lot of screentime and his portrayal is lacking. The cousin and friends of Primo needs more workshops. George's friends were the bright spots.

Story/Dialogue The plot is simple and direct to the point. It somewhat dragged when they went to Amsterdam. Dialogue was good 7/10

Direction/Cinematography CGM is one of the best when it comes to RomComs here in the Philippines. 9/10

As of Sept 7 it has 404M php gross, and its only been up for 10 days.

PS: To the other reviewees, please be fair, don't bring your Crab mentality here.",100.0,imdb
otoy-33829,2018-09-01,Personal review.: QuiteBeautiful siya medyo kailangan lang nila ng workshops pa esp. Daniel,100.0,imdb
engrjboy,2019-05-19,"Not supposed to be 1 STAR, but........: Ok ladies and gentlemen, I might get hate comments on this but this is my review on this movie.

First, the only reason I had the urge to create an account on IMDB is because of the overrated reviews this movie has gotten. On top of that, this film became the BOX OFFICE FILM of the Philippines of all time! (So, arousing my curiosity, I took the time to watch).

The material of this film was alright. Nothing extra special to be honest. The usual romcom pinoy film. In my opinion (no hate to Kathniel), it could've been better if someone better portrayed their characters.

Seriously, who would live in the same house and put a division using a tape? Like, cmon, seriously?

There were okay moments, but seriously Filipinos who went gaga on this movie need to re-evaluate yourselves. I'm not even hard to please.

I would rate this film a 4/10 or 5. I gave it 1 STAR to lower down its overrated reviews from other people like giving it 10?? and their best movie of all time? Jeez.",10.0,imdb
rosariodelrosario,2018-09-02,Best movie ever!!!: 10 is not enough to rate this movie it should be ughh 101. This is the best movie of 2018 literally! Will give u a lot of realizations. This movie didn't GRADED A for no reason! So watch the talk of the town movie and don't forget to bring tissue. KathNiel and THOU team ay maghahakot ng awards!,100.0,imdb
moystorre,2018-09-29,"Good movie but not too commercialized: Neither I am a Kathniel fan nor hater, this is just an honest review (for me).

Before I watched the movie, I made sure that I've had checked social media on everyone's take on this film. Honestly, I was convinced to watch it. As I enter the movie house, my eyes were on point to each scene. During the first part, I totally enjoyed it. Everything was so realistic and on-point. But as the movie runs, it made me bored already. The scenes were all over already. I must say, Can't help falling in love was their ""most matured film.""

Did I leave the movie house feeling heavy-hearted? No Did I leave the movie house happy? Yes, but just to give my thoughts about it. Will I watch it again? Maybe if I want to see what part I may have missed. Was it worth the money? 280 pesos is not bad but I left the movie house thinking I should have watched other local movies that will really make my feelings satisfied.

Let's just be honest here, do you think this was their best movie so far? I don't think so. To be honest, I think I was just convinced by lots of fans commenting that this was their movie ever.

Lesson Learned: Do not believe in what you see or hear.",50.0,imdb
