username,date,review_text,rating,source
leianleian,2012-12-27,"Waste of everything watching this movie.: I never expect this movie to be good and one thing in mind, surely it is WORST. And wow! yes! yes! I did the right expectation on this movie.

There's no story at all its all time wasting moment,

i prefer to read the oldest newspaper than sitting in front of TV watching this crap.

But I cannot deny and I can't still imagine and can't still find the answer why this movie became the top grosser of all time.

Waste of everything watching this movie. Only kids can enjoy for those with have a very low humor.

I hope foreign people missed to see this garbage",10.0,imdb
sim-richmond,2012-09-29,"Good Comedy Movie: First of all, I would like to congratulate Star Cinema/ABS-CBN Film Productions and Viva Films for having Praybeyt Benjamin as one of the highest grossing Filipino film of all time.

The movie was quite hilarious and the storyline of having a gay soldier is a good idea, though not anymore unique. Nevertheless, what made it different from any other films with gay soldiers is that they mixed genres. They added a touch of science fiction (SciFi) and drama (Family Rivalry). And, thankfully, the romance they have put was only for the sake of comedy, and not being focused on the romance alone because if they did, it would appear mainstream which the Filipino taste is already burn of.

The camera rolling techniques that have been used was on average, and the CGIs appeared to be similar to that of old Filipino films (which I have to admit devastated me).

Heavy screen portrayal got no place in this kind of movie because it does not showcase heavy drama. However, I believe that some of the actors underacted making some scenes awkward and unnatural.

Overall, it reached 7/10.",70.0,imdb
cayetajohnlui,2021-10-19,"Actual Kino: Certified Vice Ganda Kinoplex moment. This movie is peak fiction, if I could rate this 100,000,000/10 I would've. This movie is a must see in the next white boy summer.",100.0,imdb
yanikatie,,"ako aamin nako, tomboy ako",120.0,ltbx
zhanghaomega,,napredict ni benjamin ang unang line ng not like us by kendrick lamar 🔥,80.0,ltbx
spacea_lian,,"This was my ""Good Luck, Babe!"" as a child 😔",120.0,ltbx
shiyoyoyo,,classic 🌟,200.0,ltbx
1ticket4mepls,,peak vice ganda,200.0,ltbx
useravy,,i miss u wenn v. deramas,200.0,ltbx
bigloafpedlar,,nakakalerki,100.0,ltbx
joyceyyjoyce,,one of vice ganda's fun ((like really fun)) films tbh,140.0,ltbx
cyborgzai,,peak,200.0,ltbx
norepinephrine,,plants vs. tombits,200.0,ltbx
pampalubagloob,,welcome home PAPSIIIIIIII,120.0,ltbx
myowuiii,,ANG LAUF KO DITO HAUAHWUAHAUSHSHVAHZUSHWHWHA,200.0,ltbx
holyribs,,me kapag sinali sa rotc,100.0,ltbx
_lucia1000,,miss u direk wenn,200.0,ltbx
iigaya,,utot gun so op,140.0,ltbx
keziahzee,,"this was fun watching, you'll smile and laugh.",160.0,ltbx
elyylek,,welcome home papsi !!,120.0,ltbx
rieluvsri,,the filipino mulan daw sabi ng kuya q,,ltbx
ramyeonz_,,"5 stars ehudhwhshaha mga nagseseryoso dyan sa movie na ganto, di kau sasaya 😏👌🏻#utot_gun",200.0,ltbx
00kae,,bakla!,120.0,ltbx
theslimred_,,"| 𝘞𝘦𝘩?benjie is so me, pag naging sundalo tapos ang nasa cardboard target al pacino at robert de niro tapos hindi ko babarilin#boompanes",,ltbx
rklls,,wititit!!,200.0,ltbx
friskaaa,,"""ito ba yung may bomba"" - Deim""gusto ko rin ng barbie"" -Tine",200.0,ltbx
cmbynfred,,kami ng mga bading kong kaibigan pag napunta sa military,40.0,ltbx
cashukey,,another memorable cinema watch. babaw p kaligayahan q noon wiwww,80.0,ltbx
jaeya,,HALA,140.0,ltbx
frtz_grnt,,THIS WAS THE REASON WHY MY HUMOR IS THE WAY IT IS,140.0,ltbx
lorenlorwn,,Peak vg,140.0,ltbx
charleslouiez,,medyo iba awra ni mulan dito,200.0,ltbx
acupidwluv,,gets kung bakit favorite to ni blank,160.0,ltbx
femmencl,,Vice Ganda paved the way for the gays,200.0,ltbx
beyoncae,,boots og ver,180.0,ltbx
nieru_kl,,eddie garcia and vice ganda in a single movie,100.0,ltbx
c8star,,filipino classics watched in the living room with my grandmother :) i love my warm province life,140.0,ltbx
alyanaa,,peak comedy hshshsbaka,200.0,ltbx
joshuacarter,,Rotcc feelss ltt,80.0,ltbx
aengxl,,funny talaga neto pero may mga offensive na jokes lol,40.0,ltbx
saturdree,,da beast 😏😏🔥🥵,200.0,ltbx
jeselle,,CAMP!!!!!,160.0,ltbx
machreej,,"peak comedy pero may mga jokes na medyo oa for me :""))",120.0,ltbx
eggwiners,,"Inang platoon yan, Alpha Phi Chupapi?!",,ltbx
f3d3ral,,mas maganda to kaysa sa 2nd movie eh pero nakarami nako ng panonood dito eh pero maganda parin,160.0,ltbx
badjaja,,this is my OG Boots,120.0,ltbx
