review_id,document,topic
1,"of course, it's not all bad as soon as you try to hold onto it, love ceases to be love filmed in hong kong, we're giving a stark and not so pleasing depiction of life for many immigrants struggling to survive some can't of course, the world, and even your own family will throw every reason at you to not pursue your dreams if you give in, you have no one to blame but yourself and because of this, the film loses a bit of its heart and depth can you imagine the lack of depth in a film like titanic if jack and rose only held hands and never shared a kiss",5
2,"initially i thought it was a chinese movie, but upon seeing the names of the cast, i looked on imdb and saw that it was a tagalog philippines movie and not a cantonese hong kong movie",0
3,there were exchanges that fell flat because either a it was poorly written or b both did not have the capacity to deliver them with the emotions needed,0
4,"it is not like any other of those filipino rom com, and drama movies you've seen before",0
7,"waste of time and money i was excited to watch the film due to the hype and some of my friends posting about it on social media however, i was very disappointed after watching the film as the acting from the lead actors including supporting cast appeared quite scripted and very awkward the story was predictable and recycled from previous films only thing i appreciate was the cinematography and soundtrack",0
10,"once you stop you'll starve therefore, when joy loses her job because her employers can no longer pay her, she takes an illegal waitressing job the filipino community in hong kong is small the problem is that she's leaving she's definitely leaving she has a nursing degree that she can't use in hong kong that's her dream, and nthing's going to change her mind she will not be swayed not now where do we need to place ourselves why so often, indeed, does every option, for women especially, seem irreconcilable talk about creating a debt for regret no sane person would endorse that the effect is otherworldly between the 3 productions, one wouldn't think it's the same place quote choice is only for the rich",5
12,not good not bad another kathryn same ol' tone of character film it could have been pushed a little bit more,0
17,"i don't know how a filipino girl reacts to such moves, but if people consider this as nakakakilig, there's a problem but cathy garcia molina's picture falls apart as the annoying, melodramatic score continues to play in the background, tackier drone shots are added, and more forced, hugot dialogues are delivered by the leads 'hello, love, goodbye' fails to offer something new to romance movies as an art form, which is disappointing since the ofw story and joy's arc have so much potential",0
21,not your ordinary love story,0
22,"the story has potential the film failed to deliver as far as the film's story goes, it has so much potential but the way cathy garcia molina presented the story was too mediocre their choice to cast alden and kathryn was bad there isn't any chemistry between them alden's character was unrefined his acting was subpar his smile is problematic instead of conveying something that relates to being hurt or having a struggle, it becomes out of place and sometimes creepy the camera shots were out of place it felt like the production team were trying to show off their drone shots even when it would have been better to just use a simple wide shot close ups were not utilized properly the script contained the typical hugot lines at the same time, the film contained at least 30 minutes of pure exposition it became a film of telling rather than showing but overall, the film was purely a waste of time",0
23,unexpectedly real oh they went deeeeeppp p s low key hong kong tourism ad done right,5
27,"boring the movie is a bit boring, a let down too many scenes with nothing happening and boring dialogue ain't diggin this shiz",0
28,"however, they sound a bit awkward when delivering lines in english language it would be better if the movie would be made subtle the way indie movies do",0
32,"and if you act like someone else's then you should give justice to it or do better and it's absolutely out of timing the lines are so bad that i can say i can write that yeah its that bad the songs doesnt go well with the scenes which completely ruined the greatness of the song they could have done it better cinematography is so bad, its like you're watching a tv series and cut next line the style of shots just changed in about 10 15mins remaining in the film it looked like they realized it and hired someone else",0
33,"the dissolution of every ofw workers success or possible demise not really a fan of alden richards, one may surmise that he was directed exceptionally well for this or was incidentally a victim of writing mediocrity in previous films baduy na kung baduy, but this is a movie you should watch",0
36,"here's my thought 1 it is a challenge and part if the process like any other movies, it is not perfect",0
44,bigat ba kat,2
51,bwisit ka ethan,2
56,super unnecessary ng sequel talaga,-1
57,kumabog talaga shet kathrynnnnnn ipinakita mo talaga kung sino ka,1
58,"may hit sya hahahah, parang sapak ganon",2
59,nakakainis talaga si ethan sa totoo lang,1
67,hits different right after a hong kong trip haha,5
73,ang choice para lang sa may pera kathryn hard carry,-1
77,"actually, sobrang simple lang ng storya nito totoo talaga 'yung sinasabing minsan hindi nakakasawa ang isang kuwento kapag iniba mo ang setting naangasan kasi ako sa pagkakalatag ng mga karanasan ng mga ofw sa hong kong dito",1
78,"right love, wrong lifetime",4
79,hayzt alden iyot maine,2
81,it is the sad truth of the film,0
83,this is not a fairy tale,0
84,"ang choice, para lang sa may perasobrang unfair ng mundo kay joy hindi naman siya nagkulang sa katunayan sumobra pa nga sa pagmamahal, pag alala, pagtatrabaho, at marami pang iba pero mapait pa rin ang mundo sa kanya at lahat ng 'yon naranasan niya kasi wala siyang pera ang sad nung reflection ng reality ng buhay sa pilipinas na para bang hindi na option ang migrasyon kundi isang daan na kailangan mong gawin para umangat sa buhay wala siyang balak maghirap nang sobra ang heartbreaking lang nung fact na he had to experience the same experience twice putek graduate ako ng college, anong ginagawa ko naglilinis ng inidoro dito ako umiyak eh hahahaha ang sakit lang na kahit maraming propesiyonal sa pilipinas, mas marami pa ring pipiling mangibang bansa kahit hindi akma sa kursong tinapos at sana'y pina practice nila on different parts lang",-1
