review_id,document,topic
0,this is the truth this documentary perfectly captured the experiences of the marcos and the exploited people,0
1,"it's a shocking tale of shameless corruption nepotism cronyism and greed, at the end of which one can only feel saddened for the filipino people, who have been used abused lied to and robbed over decades by their elite, and still are sadly all of that now seems to have been forgotten",0
2,"privilege matters, political horror it's about a narcissistic self serving former first lady abusing her position",0
3,the carnage left behind from this disgusting dynasty is there for all to see today in the form of vastly stunted economic growth down to the billions of dollars embezzled by these creatures,0
4,real life political horror horrifically illustrates how a nation's collective memory can be erased in real time and the true limits of democracy in the social media age imelda comes across as a complete psychopath with absolutely no perception of reality,0
5,the maker of the documentary is very one sided and has little knowledge of the local culture this is of course very irritating anyone wiht any knowledge about that culture should know how stupid the maker of this docu is,0
6,the contrasting images presented by greenfield is a great divider between perception and reality,0
7,7 10,1
9,like her or loathe her you can't deny the blatant pesos for politics watching marcos hand out wads of cash to kids in a hospital ward in front of the cameras was as cynical as it was sickening,0
11,"perception is real, and the truth is not , she states as a matter of fact hmmm, where have we heard this elsewhere in recent times",3
15,one of those docs that start out one way and slowly reveal another darker side,1
16,"it's not a surprise that the marcoses is paving the way for their return to power this movie's purpose is to reclaim the narrative that the martial law is the golden age of the philippine politics but it sure as hell backfire to them personally, growing up i love reading especially history about philippines so its not a surprise to me that the marcos regime is bad but this information is inaccessible to everyone unless you specifically look for it and the gov't provided textbooks is riddled with wrong information",0
17,this documentary is a pearl,0
18,marcos regime the darkest in philippines history my opinion the marcoses siphoned and plundered the country's fund and imelda is convicted with graft and corruption but she wasn't jailed because sadly that's how the justice system works for the powerful,0
20,corruption unraveled the marcos regime is one of the most corrupt in the history of philippine politics,0
21,"these narcissists are totally out of touch with reality, the ends totally justifies the means",0
25,it is infuriating that we let this family erase their atrocities of the past,0
26,"the filipinos are stupid we are stupid the way our own people fought this stupidity, just for it to come back is literally a hard shit bomb dropping over us",0
27,"perception is real, the truth is not how can you call someone a mother who thinks that hurting one is a form of love how can be a supposedly loving mother be so cruel until today, the historical revisionism, distortion, denialism, and misinformation ran rampant but before you can look above the stars, you must open your eyes with the real truth initially below your radar",3
