topic,keyword,bertopic_score,keyword_frequency
0,alden,0.0473,125
0,joy,0.0428,120
0,ganda,0.0393,56
0,galing,0.0387,52
0,ethan,0.0377,85
0,kaya,0.0312,36
0,maganda,0.0287,33
0,kathryn,0.0279,90
0,gusto,0.0263,32
0,love,0.0237,74
1,sequel,0.0527,40
1,watched,0.0458,36
1,watch,0.0419,36
1,film,0.0367,46
1,love,0.0332,48
1,like,0.0246,23
1,good,0.0246,27
1,just,0.0239,24
1,really,0.0238,24
1,second,0.0228,13
2,film,0.0274,91
2,love,0.0222,89
2,story,0.0193,55
2,filipinos,0.0173,42
2,life,0.0171,46
2,hong,0.0169,48
2,hong kong,0.0167,47
2,kong,0.0163,47
2,just,0.0157,48
2,romance,0.0153,47
3,kathryn,0.0598,117
3,alden,0.0462,82
3,chemistry,0.037,51
3,acting,0.0321,41
3,film,0.0302,48
3,good,0.03,45
3,best,0.0263,33
3,really,0.0255,34
3,like,0.0251,35
3,great,0.0227,27
4,love,0.0998,69
4,hello,0.0592,25
4,hello love,0.0466,12
4,dreams,0.046,18
4,let,0.0442,11
4,love love,0.0396,2
4,choose,0.0388,12
4,joy,0.0334,21
4,dont,0.032,7
4,sorry,0.0315,8
5,ethan,0.1357,63
5,joy,0.0816,32
5,love,0.0321,18
5,friend,0.0278,4
5,ethan joy,0.0262,0
5,friend today,0.0252,4
5,mainstream romance,0.0229,0
5,character,0.0226,7
5,creepy,0.0224,5
5,pushy,0.0217,4
6,cried,0.1497,8
6,tears,0.0897,4
6,good,0.0847,7
6,cute,0.0805,5
6,real,0.0781,5
6,times,0.0707,3
6,guess,0.0613,3
6,cried like,0.0562,2
6,enjoyed,0.052,3
6,nice,0.0517,3
7,love goodbye,0.0444,2
7,goodbye,0.0441,50
7,hello love,0.0411,5
7,hello,0.0405,52
7,love,0.0364,52
7,film,0.0248,31
7,story,0.0225,28
7,bernardo,0.0221,27
7,hong,0.0211,31
7,hong kong,0.0209,31
8,bernardo,0.2475,33
8,kathryn bernardo,0.2475,31
8,kathryn,0.1993,39
8,bernardo kathryn,0.1221,0
8,love kathryn,0.0953,2
8,actress,0.0658,5
8,love,0.0653,14
8,woman,0.0643,5
8,actress kathryn,0.0415,0
8,bernardo woman,0.0415,0
9,ethan,0.0644,41
9,joy,0.0504,31
9,really,0.0421,18
9,character,0.0311,15
9,story,0.0252,16
9,love,0.0215,18
9,think,0.0212,7
9,film,0.0195,11
9,end,0.0194,7
9,liked,0.0183,5
10,kathryn,0.206,23
10,galing,0.0932,5
10,alden,0.0757,7
10,galing kathryn,0.0755,0
10,cathy,0.0739,4
10,kath,0.0726,4
10,tryna,0.0715,2
10,kathryn kathryn,0.0691,0
10,direk cathy,0.0558,2
10,pairing,0.0546,1
11,joy,0.4483,26
11,joy joy,0.4402,0
11,rich,0.1115,2
11,person,0.0936,2
11,joy feel,0.0762,0
11,joy yes,0.0762,0
11,thoughts joy,0.0762,0
11,mahal joy,0.0762,0
11,papayag,0.0762,1
11,privilege rich,0.0762,0
12,carried,0.6293,24
12,kathryn carried,0.3995,12
12,kathryn,0.3095,25
12,bernardo carried,0.2512,4
12,kathryn bernardo,0.1601,8
12,bernardo,0.1507,8
12,film kathryn,0.1111,0
12,hard carried,0.0915,2
12,carried entire,0.0859,0
12,entire film,0.0788,2
13,film,0.0352,15
13,garcia,0.0272,9
13,kathryn,0.0263,14
13,bernardo,0.0243,10
13,molina,0.0243,8
13,garcia molina,0.0227,7
13,wish,0.0224,5
13,cathy garcia,0.0218,7
13,alden,0.0217,12
13,really,0.0212,6
14,love,0.0925,15
14,dreams,0.071,7
14,people,0.0423,4
14,romance,0.0414,6
14,realistic,0.0378,4
14,choose,0.036,3
14,relating,0.0337,1
14,parts,0.0324,3
14,choose dreams,0.0322,0
14,life,0.0306,4
15,love,0.034,11
15,film,0.0335,11
15,like,0.0325,6
15,ethan,0.0292,10
15,im,0.0254,5
15,tho,0.0244,5
15,joy,0.0242,8
15,lol,0.023,2
15,really,0.0217,6
15,way,0.0207,5
