review_id,document,topic
0,"it showed what it is like to live with extensive wealth and how the marcos regime used it for political power and their self interests this is a must watch film for those who wish to see the marcos' perspective on martial law and their countless political movements this documentary shows the truth, through direct interviews with the marcoses, and it is up to you if you are going to believe it as john henry newman would say we can believe what we choose but we are answerable for what we choose to believe",0
1,"prescient and illuminating as i write ferdinand marcus junior or 'bong bong' has been elected president of the philippines, so it's a good time to view this documentary about the marcos dynasty, its rise, its fall in the peoples revolution of 1986, and the gradual and dramatic rise again of its fortunes in particular this film focuses on the surprisingly influential, some might say malevolent role that imelda marcos played half of todays filipino voters were not alive for the first marcos era, but i was there in late 1985 and saw the huge disparity between the rich and poor, and just how hated the marcos regime was at the time if you want to know something of the true story of the marcos 'dynasty' see this fine doc",0
2,well worth watching amazing documentary about privilege and the sociopathic mindset the film shines on the ugly politics of the philippines,0
3,"excellent insight into vile monsters i love the philippines, visited many times and my longterm gf is there this documentary is wonderfully put together but leaves me sad to see a country i am so fond of suffering even today from what these two people did her state of mass delusion is clear for all to see in this excellent piece of work",0
4,"i liked how it started off making us think it was going to be a lifestyles of the rich and famous and slowly peeled away the facade and leaves you with the punch to the gut this is what happens to you when you drink your own kool aid folks in a world where social media can be manipulated to create alternate realities, these historical revisionists will find it even easier to get away with murder god help us all",0
5,"very intersting despite being ruined it is a story of how corruption enters a nation and stays there forever the documentary is very intersting in this aspect she paints the obvious corrupt opposition as saints apart from that, a very interesting documentary worth watching",0
6,"perception is real and the truth is not with the marcoses' consistent effort to rewrite history, this documentary reminds us that behind the grandeur and elaborate schemes of the marcoses are the stories of pain and sorrows of the victims, which are not mere perception but the truth as greenfield's style is apparent in the documentary, it did not fail to capture the depressing history of the philippines under the marcoses and what may be an apparent future if they were put again into position",0
7,"the kingmaker film review the kingmaker is a documentary written and directed by lauren greenfield the film follows the political career of imelda marcos from the start of her political career with her husband ferdinand marcos, the fall of their power and exhile to hawaii, and then their resurgence after her husbands death and rise of the political career of her children especially her son bongbong marcos this film does a good job of contrasting the story imelda portrays versus the reality of those under her rule imelda will say how great her husbands reign was then you have individuals speak about the atrocities of what occurred i found the film very informative as someone who did not know about the subject matter going in i also appreciated how the film showed the current scene of the philippines with bongbong running for vice president and who is president as i write this 6 years after the film came out overall, i think this is a worthwhile watch to learn about the history of the philippines political dynasty from 1965 1986, and then again around 2016",0
8,uncovering the fantasy world of the marcoses brilliant documentary it shows how much you can do with money it can turn lies to history,0
9,an eye opener highly recommend this i've never paid much read any attention to filipino politics but will be following along the 2022 election with interest,0
10,"dark truths are there if your eyes are open this is an incredibly well put together documentary imelda marcos doesn't exactly shoot herself in the foot she is too smart to do that, but you nonetheless get to see the realities she so flagrantly ignores whilst living in her self made fantasy world how many billions has this power crazed matriarch squirreled away in 140 countries across the world there are only 8 and a bit billion people on the planet and handing each one a single dollar might seem like generosity but this very much hides the manipulations of the marcos clan we note other world leaders seem to be in the same exclusive club as this gurning despot lord help us all",0
11,"outstanding and riveting documentary the kingmaker 2019 release 100 min is a documentary about the life and times of imelda marcos, erstwhile first lady of the philippines 1965 1986 as the movie opens, we are in manile, 2014 , and imelda is visiting the old neighborhood the presidential palace i miss the clout of being first lady , she laments, while wondering if her appearance and make up for the interview is ok we then go back in time, as we look at her very modest upbringing until she catches the eye of ferdinand marcos while in a beauty contest before we know it, they marry and marcos vies to become president of the philippines at this point we are 10 min into the documentary couple of comments this is the latest documentary from writer director lauren greenfield, best known for her 2012 documentary the queen of versailles here she seemingly gets unfettered access to imelda and her entourage, and she lets imelda tell her side of the story, one in which of course imelda is but a shining bright star in the darkness that is the filipino sea of poverty the great thing is that greenfield doesn't have to manufacture anything imelda does it for her greenfield of course give ample screen time to opposing views, including survivirs of the martial lawera 1972 1980 , during which torturing was rampant, and oh, lest we forget the marcoses stole an estimated 8 10 billion with a b while in office and if all of this isn't enough, greenfield follows the vice predential election campaign in 2015 16 of bongbong marcos son of imelda , which itself becomes as revelating as anyting just watch when confronted with issues of ill gotten wealth , imelda simply shrugs it off as does bongbong bottom line the kingmaker is an oustanding and riveting documentar, period the kingmaker premiered on showtime in 2019, which i somehow missed, but i recently caught it on showtime on demand and it is available on other vod platforms too if you have any interest in lifestyles of the rich and famous , or how depots fleece an entire country for decades, i'd readily suggest you check this out, and draw your own conclusion",0
12,insight in something unseen interesting story about something i knew nothing about a political insight in a very important story of a world in unbalance,0
13,"i wish this would be played in schools you can find it in youtube for free, this documentary was not made for malicious purposes the marcos family themselves tell the story, not some director who can't even do their research properly",0
14,"marcos heist one line that caught me off guard is what bongbong's son said about his career cause you know he wanted to do physics, math, biology but my grandfather the late president is like there's no money in that, switch to politics that explains a lot about their family precise and well researched documentary",0
15,it's not about shoes loved the kingmaker and also one of those subjects so sure of themselves that they have no problem saying things that are incriminating imelda reveals a lot without caring the correlation between her and trump are closer than you think,-1
16,"the movie documentary is well research, balanced and no biases towards any of the personality featured fact checking is evident towards any of the claims by imelda that none was killed nor tortured that only good things happened during the regime its now 2022 and the presidential election is coming and the son's dictator is running for the highest position against the same person who beats him during the 2016 vice presidential election the tide is changing this time because of the emergence of young voters gearing towards the new wave of politicians but its harder to fight for votes knowing that the machinery handling them is leaning towards the marcoses this movie helped me get to know what type of person imelda and their family their tagline babangon muli is not for the filipino people suffering for the effects of covid 19, its for their family to go back to the malacanan palace and get back the power and clear their names from all the charges",0
17,"excellent documentary to all the people believing in somebody coming in and just giving away crumbs to make you shut up and just stop complaining, while they are living the grand life with money stolen from you and your countryman you just can see how they really are true selves because they can't help it",0
18,beautiful documentary,1
19,"became president to maximize wealth imelda said it herself marcos wanted to be president because he wanted to maximize his wealth and talent when a president supposedly gets fewer pesos than a private entity execs this documentary offers an interesting take on the marcoses it serves as a prelude to the current political landscape in the philippines it brings two contrasting narration of events but with a nice treatment where the viewer, no matter how naive, will understand who's telling the truth this modern take on story telling is designed for the youtube generation it quickly moves from one topic to the other so as to keep the audience attention didnt waste any minute thank you for this documentary every filipino should watch this",0
20,this is truly and eye opener i'd recommend for you to watch this,1
21,"imelda shines a light this documents the darkest side of human nature the kingmaker shines a light on those who wish only wealth and power, and don't care how they get it the correlation between her and hillary clinton are closer than you think",0
22,"top directing the great thing about this documentary is the way it switches after the first hour,from feeling sorry for the monster that is imelda to feeling disgust but not only that,listening to the people who have tried to change things and their punishment thearafter trying to defend what is arguably one of the most beautiful places on earth",1
23,"best documentary i watched in a while a very sharp and witty journalism, every clip is included for a reason and contributes so well to the storytelling",1
24,everybody saying we shouldnt have given imelda any air time is 1 missing the point 2 misunderstanding the creative contextthis movie is a great glimpse into everything thats wrong w the philippines and uses stellar cinematography to achieve that,0
25,revealed a lot of controversies about the marcoses that were never taught in history class,0
26,that is basically it stupid enough to let our ignorance lead the way to marcoses reign in leadership,0
27,"imelda marcos in the kingmaker 2019 this statement right here can sum up the propaganda that the marcoses is instiling to the people since the 1990s , the history that they are trying to deny, distort, and dispose, and their service that was never for the filipinos but for those who are in their exclusive class most highlighted by marcos' quote about public service being a chore other than the marcoses' edifice complex, the extravaganza, and their lavish lifestyle, imelda's quote about giving birth to the world is one of her notable ambitious quest in the documentary the tone during the segment where she indirectly states love conquers all while the extrajudicial killings during the martial law as well as the contrast between the poor and the rich who uses them as props to display performative authenticity for their campaign played perfectly juxtaposed imelda's quest how can a mother treat those animals who she banished from their homeland and caged them in calauit islands to make a sort like noah's ark paradise while she cast away those people who truly lived in the island from the start there should be a mandatory course or subject in elementary and in high school that will explain what happened in the 70s and until today and not just with a paragraph like in modules book that one can overlook and skip but with the details that engaged to the essence of the terror of corruption checked by professionals in the field of history the people like you shall not look for the stars through the luxury that was bought with taxpayers' money but through the grounds where you stand, through the land that was invaded, freed, and invaded again by its own people, and through people like you who yearns for a tomorrow where one can exist without worrying for their basic human rights and where the government truly served what it is mandated to be",0
28,all this talk about mothering when all you are is a motherfucker,0
29,queen of delulu,0
31,eat the rich bbmsara,-1
32,for thesiss purposes,1
34,"its easy to write about this film, and also extremely difficult personally, id rather talk about the difficult part writing an easy review simply means pointing out how the resurgence of authoritarian legacies is happening everywhere, and how films like this serve as warnings to the public thats a straightforward approach",0
36,"its difficult and its also scary in the sense that if these people are brought to power again, theres a very big chance that the sins of the past will be committed again in the future and since then, the filipinos have yet again elected another marcos and duterte back in government lets vote wisely sana tama kayo tama nga kami",0
37,"the documentary is not just about imelda thank goodness, but the political situation throughout and post the marcos reign",0
39,"now who told this bitch that shes the mother of the philippines give up that dreammmm when you lose your money... your mo your mother... you lose everything that was the best years of marcos because that was when he was able to give the philippines sovereignty, freedom, justice, human rights... girlypop lying through her teeth fr lmfao the poor giraffes and zebras and other animals grabbed out of their natural habitat...",0
40,imelda delulu,0
41,"yes, it may have shown imelda's bullshit and the effects of their corruption but they were still given a microphone to blast their lies into i think philbert dy said it best in his review there are no two sides when telling the story of the marcoses somewhere along the way, the film seems to come to the realization that imelda isn't the harmless old biddy that they thought she was but it's too late they talked to her, and gave her yet another chance to say the vile things she's always been saying",0
42,delulu si imelda,0
43,"filipinos will watch this and like, heeelll yeah feed the rich",0
45,"this includes those who recognise their wrongdoings but simply sit back, because such lenience is what allowed the marcoses to once again set foot on philippine soil with no punishment i hold no remorse when i say that, even at her age, imelda deserves to bide what time she has left behind bars i do not say this because of my lack of faith, but no human will ever be certain of what comes after, so how can we trust that they shall face their sins while there are still living witnesses to their crimes i appreciate the subtle humor in allowing imelda to spew lies, then immediately placing true, opposing statements right after ex when imelda claimed that no people lived on calauit island, followed by residents themselves speaking on how they were displaced these are general facts we already know afterthought ive realised that this documentary serves as an introduction for foreigners still, it is not as critical as it could be some may come out of this still having a neutral or even positive opinion on the marcos family, especially with imelda posing herself as this elegant peacemaker when she is nothing of the sort the marcoses think they are royalty when every bit of high class society they got to experience was only made possible through the ill gotten wealth of the masses",0
46,imelda marcos pakarat,0
47,we have this and the ppl still chose marcos in 2022 shame,0
48,"a really really good documentary i learned a lot about the history of my maternal country which i admittedly only knew surface level before it didn't go super super deep into every historical aspect as this was more of a character study of imelda, the charming, manipulative, flamboyant, delusinal first lady behind some of the worst years of philippine dictatorship but it does go into the present day as well as talk about some of the atrocities of the marcos dictatorship period also gross to see how the us has its hands in the pies of foreign govts i really think imelda believes her job is to mother everyone, to mother the country i think she really believes that is her purpose anyway going to high school in the philippines was crazy bc i've literally been at the same parties as the children of these politicians and dictators like literally gossip girl philippines",0
49,imelda marcus should've been a comedian,0
50,", the son of the late dictator, won the presidential election during that time, i was still grieving and honestly, i still am over the fact that despite his familys wickedness, despite their crimes against the filipino peoplehis son still managed to win i was new to these things back then, and english was still a challenge for me but when i heard imelda marcos utter those words, my jaw dropped although i was still new to in depth politics during that time, i was shocked by how she spoke about some of the worst politicians of her era with such pride and admiration not to mention how rich she became, not through hard work or service, but through theft disguised as glamour",-1
51,"now this might strike some viewers as harsh, but i believe everyone involved in this story should die",0
53,i love fas cism hion imelda marcos,0
55,"my biggest flex is being able to tell ppl my dad participated in the people power revolution in the philippines, blocking military tanks and protecting ballot boxes from being hijacked by marcos during the electionthat being said if he were alive today he would be livid to see the state of the philippines now 3 insane watching this in 2025 in the midst of having to witness history repeat itself every day... what a fucking joke lol",0
57,imelda starts spouting lies whenever she gets the chance,0
59,ahhhh yes the classic tale of a corrupt queen,0
60,"the gun can kill only up to your grave, but the media can kill you beyond your grave and to infinity",0
61,"what i love the most about lauren greenfields films is that she lets her subject and the material speak so clearly that you can understand everything that shes implying the film opens up with mrs marcos driving through an impoverished street in the philippines, looking sorrowful covered in designer clothing and pieces of jewelry that could probably remake the entire neighborhood she takes out her wallet and hands out 50 pesos to each of the residents who clamor to her window once they see who she is and what she has in her hands her hands move with the precision of a coin o matic, only dispersing one crisp bill per person this is all she can manage to provide and all she thinks the deserve the film documents the atrocities, glamour, abuses, and scandal of the marcos regime while covering bong bong marcoss bid for vice president the parallels to americas current fascist regime are apparent the image of mrs marcos that emerges is that she never grew out of the child who was abandoned by her mother and was not taught the true meaning of love love to her is money and show, not progress those who do not know the meaning of love cannot give it",0
66,gusto ko lang magalit ulit tagal mamatay ni mother melds eno,0
67,"tama si lino brocka, the marcoses should have been fucking killed",0
74,would love to see another documentary following this with now that marcos jr became the president,0
78,he marcos sr wanted to be president so he could maximize his wealth he marcos jr they just wanted power so they could enrich themselves i agree so much with direk lino brocka no tears for them,0
79,and fuck you miriam defensor santiago for giving marcos a platform again,0
