movie_name,review_text,date,sentiment_label,sentiment_score,topic
Hello Love Goodbye,"An Inspiring Movie: Hello Love Goodbye, despite being a largely feel-good film, did not shy away from the harsh realities that its OFW audience experiences. Despite being upfront with the struggles of an OFW, it still serves as a gentle, hopeful reminder for our modern day heroes to not forget to choose themselves. To not forget that they can allow themselves to dream, to love, and most of all, to be human. It show that love can wait but our dreams it knock once like opportunity grab it once it came in your or our life.

Kathryn Bernardo portrays Joy's exhaustion, anger and resolution so potently without much words. It all comes out in the way her lids look heavy from a two-hour sleep; how her shoulders slump as she grapples with the thought of her agonizingly routine life. We see it in her quiet moments in the night when she can catch a few minutes just to stare blankly at the wall. The depiction felt authentic and tugs at your heartstrings, Joy is the symbol of women with dream. And also her leading man this is a more mature role for Alden as well, and the material lets him show a deeper side to his acting chops. His character's personal story carried as much weight as the romance, and in Ethan's vulnerable moments, we see Alden as a dramatic actor, and not just a tutti-frutti leading man. That's not to say that he didn't play the charismatic boyfriend role well, though. The kilig factor we as always cranked up to high, thanks also to his and Kathryn's organic chemistry.

The most unforgettable scene in this movie when Ethan and Joy decided to leave each other to continue their dream and when Ethan said ""will you give the rest of your time with me in Hong Kong? "". Those line make me sad and overwhelmed because even they know that they leave each other they choose to understand and make those little time to make memorable, they choose to spent those time to be happy. This movie make us inspired that life is like a photography, we developed from negative.",24/10/2019,positive,0.986990273,8
Hello Love Goodbye,"Love is About Letting Go...Not Sacrifice: I've seen a few of Kathryn Bernardo's films, and I believe she turned in the performance of her life. She stepped away from the typical romantic-comedies (many of which are actually quite good), and challenged herself to take on the role of a much deeper and much more complex character in Joy.

I have always marveled--and not in a good way--of how people tend to use others; even people they love; even members of their own families. Of course, children are usually guilted into it. In short, it's a parent's way of saying, ""I suffered, and so now you must suffer too. Why? Because it's how families work.""

As stated in other reviews, I am an ESL teacher. I've lived and worked in South Korea, China, and Taiwan. I know quite a bit about how Asian parents tend to treat their kids. Of course, it's not all bad. You'll scarcely find parents who are more dedicated to teaching their children about discipline and hard-work. The large contrast between them and western parents, is that western parents tend to allow their kids to do whatever they want. They're spoiled beyond belief. What is needed is a balance.

As the eldest daughter, Joy is in Hong Kong working several jobs in order to keep herself alive as well as sending money back home to her family in the Phillippines. She has a nursing degree. Her dream is to go to Canada to pursue what she loves. Of course, she meets and falls in love with Ethan, a young man who is also from the Phillippines, who is trying to support his family as well, after a disastrous relationship that nearly cost him everything.

Ethan, of course, is hoping that Joy will decide to stay in Hong Kong, and not go to Canada. This is when the film really grabs the viewer to see what Joy will decide to do.

Love is not about sacrifice for someone else. Sacrifice is about losing something, and love is never about loss. It's always about who you are. In all her wisdom, Joy has to explain this to Ethan as well as outlining the consequences of not pursuing her dream. Fortunately, Ethan finally gets it and is able to do what only love can do: let go. As soon as you try to hold onto it, love ceases to be love.

Filmed in Hong Kong, we're giving a stark and not-so-pleasing depiction of life for many immigrants struggling to survive. Some can do it. Some can't. In the end, you can only truly look after yourself and not lose sight of your own dreams. Of course, the world, and even your own family will throw every reason at you to NOT pursue your dreams. If you give in, you have no one to blame but yourself. If you forge ahead, then you have gained more profound wisdom about life than what most people can only dream about.

My only complaint of the film was that the chemistry between Kathryn Bernardo and Alden Richards was not what it should have been. And because of this, the film loses a bit of its heart and depth. I'd say it was pretty obvious that Kathryn Bernardo did not want to do any kissing scenes with Alden due to her love and respect for her boyfriend, Daniel Padilla. The only kiss we see is one on her forehead in the dark. Can you imagine the lack of depth in a film like Titanic if Jack and Rose only held hands and never shared a kiss? I couldn't help but wonder how much more powerful the film would have been if another actress had performed in the role, or if Padilla himself hadn't turned the role down (which I read that he had).

Still, this is a memorable film that challenges everyone to go after their dreams and let nothing and no one stand in your way.",13/04/2021,positive,0.935423434,-1
Hello Love Goodbye,"What a nice surprise of a movie...: Right, well I didn't really know what I was getting into here when I sat down to watch the 2019 Tagalog movie that was filmed in Hong Kong. Initially I thought it was a Chinese movie, but upon seeing the names of the cast, I looked on IMDb and saw that it was a Tagalog (Philippines) movie and not a Cantonese (Hong Kong) movie. And given my fascination with Asian movie, of course I sat down to watch ""Hello, Love, Goodbye"".

And I must definitely say that writers Carmi Raymundo, Cathy Garcia-Molina and Ronalisa A. Co came up with a rather enthralling storyline; one that definitely provided as much of entertainment and enjoyment, as it was a movie that was very watchable and likeable.

The storyline is one that easily sways away the audience, because it is wholehearted and nicely told storyline. And milling about in the storyline are some nicely detailed and interesting characters. So a big thumbs up to the writers on this accomplishment.

I will say that the acting in the movie was good. Now, I am not overly familiar with Tagalog cinema, but my wife told me that there were some rather famous Tagalog actresses and actors in the movie. Nevertheless, I think the acting performances were spot on.

At the same time, with providing a good story and good entertainment, ""Hello, Love, Goodbye"" really brought me back to my four years of living and working in Hong Kong. This movie stoked so many memories and definitely spurred a desire to return to Hong Kong to revisit that fabulous place.

If you like romantic movies, then I strongly believe that the 2019 movie ""Hello, Love, Goodbye"" from director Cathy Garcia-Molina is a movie that you will thoroughly enjoy. I was more than genuinely entertained by this movie, and it is a movie that I can warmly recommend you sit down to watch.

My rating of ""Hello, Love, Goodbye"" lands on a well-deserved seven out of ten stars.",21/01/2021,positive,0.996269703,1
Hello Love Goodbye,"Hello, Love, no Goodbyes.: Being the highest-grossing Philippine movie thus far, I hope you don't mind if I came into watching this with high expectations. Still I was skeptic because the assumption was it will be another one of those formulaic Star Cinema movie starring Kathryn Bernardo, directed by Cathy Molina-Garcia, set in an international location, usual love story but with a twist: we get a new boy this time in the form of Alden Richards. For the most part I was right, it was all you could ever expect from the same group that gave us the highest-grossing movie the year before, 'How's of Us.' Amidst it's shortcomings, 'Hello, Love, Goodbye' is a pleasant surprise for a movie who's theme has been done a million times. Part of it's success can be attributed to showing us the reality of our hardworking domestic helpers in Hong Kong (which the OFW community all over the world related and responded to) and it did not give us the usual ending we are used to, which makes a sequel possible seeing as all three already expressed interest in doing.

The story was well-written for the most part and my favorite was the start of the movie. It was a different approach, fast-paced and intriguing. While at some point it had to slow down to become what it really was meant to be in the first place, a typical Pinoy love story, at least it introduced something new to the audience that can be the new norm in the future. Acting-wise, Kathryn and Alden both delivered but both lacked maturity which I'm hoping can be improved on once the sequel rolls around. There were exchanges that fell flat because either a) it was poorly-written or b) both did not have the capacity to deliver them with the emotions needed. It took a while for their chemistry to kick in, possibly a result of being pigeonholed in their respective love teams for a long time. Kathryn can act, but she has certain mannerisms when she deliver some of her lines that breaks my concentration from her acting. I'm still getting rich girl even though she's supposed to be covered in filth from hiding under a pile of garbage bags. Alden still comes from the John Lloyd Cruz school for acting, but as soon as he develops his own signature he should be destined for greater things. The supporting cast did what was required of them, with Maxine Medina and Jameson Blake as highlights.

There's always the burden of asking whether this is the movie that will propel Philippine cinema back to it's old glory. Obviously this is not it, but delightfully it's not a step back as well. Knowing this specific tandem and formula works, hopefully everyone involved will be more keen on wanting to elevate the viewing experience the second time around. I keep harping on this because I honestly believe it has the potential to become even more special than what they've already done here.",22/03/2020,positive,0.971759737,-1
Hello Love Goodbye,"Truly amazing: This is so far, the best Filipino movie of 2019. I really love the story, which shows a lot about the lives of Filipino workers in Hong Kong. It is not like any other of those Filipino rom-com, and drama movies you've seen before. This will make you laugh out loud a lot and cry hard.

For me this is Cathy Garcia-Molina's best movie. Kathryn and Alden really shines in this, great acting by the whole cast. It also has great shots, cinematography and soundtrack so it is a must watch!",31/07/2019,positive,0.998093665,1
Hello Love Goodbye,"Mature and bold love story: The two stars from the two different stations hit it off with good chemistry in this mature love story. Although the story is as typical as any Filipino love/romance movie could be, I like the fact that the writer and director went for the bold path of ending the movie with ""goodbye"", instead of coming up with an epilogue that let the two lovers meet again in some future. The two lead stars are engaging enough for you to care what happens to them in the end but there are some parts where it could drag. Still, I can understand the clamor when this movie came out in 2019.",30/10/2020,positive,0.994387448,-1
Hello Love Goodbye,THE BEST FILIPINO MOVIE EVER: This is the best pinoy movie ever. The characters are superb. Kathryn Bernardo and Alden Richards performance was the best. There is no boring moments in the movie. It's a must watch for everyone. Kathryn Bernardo played the role of Joy a Filipino worker in Hong Kong who is struggling and doing odd jobs to take care of her family. On the other hand Alden Richards played the role of Ethan a funny and unserious bartender who later crossed path with Joy and the story of their undying love begins. The story is not just another pinoy love story. It's a story that shows the struggle of all OFW . I was touched and move by the acting of Kathryn Bernardo and Alden Richards. They made it possible for me to relate with the movie. I'm not a Filipino but I was able to get every piece of the movie because of their wonderful onscreen chemistry. Kudos to the cast and crew. Good job Director Molina. I wouldn't mind to travel again for the part 2 of this movie. It's worth my time and my money. More movies for this duos please. I would always travel with my family to watch their movie onscreen. More movies for Kathryn Bernardo and Alden Richards please. They've won my heart.,23/10/2019,positive,0.997744918,1
Hello Love Goodbye,"WASTE OF TIME AND MONEY!: I was excited to watch the film due to the hype and some of my friends posting about it on social media however, I was very disappointed after watching the film as the acting from the lead actors including supporting cast appeared quite scripted and very awkward. Kathryn & Alden seemed too rehearsed and some of their co-actors were really annoying. The story was predictable and recycled from previous films. Only thing I appreciate was the cinematography and soundtrack. Save your money and just watch this on netflix or cinema one when it airs.",10/08/2019,negative,0.527504742,-1
Hello Love Goodbye,"A simple mirror: This is another cheese pinoy movie, but base in real life, that is the point, at the end family is not the principal role, a twisted end, a lot of lacrimogen bomb, good for the family but pinoy is the new korean drama",22/08/2019,positive,0.844349742,-1
Hello Love Goodbye,Great Movie: Its an eye opener to some of the facing problems of OFW,16/08/2019,positive,0.995728791,-1
