movie_name,review_text,date,sentiment_label,sentiment_score,topic
Praybeyt Benjamin 1,"Waste of everything watching this movie.: I never expect this movie to be good and one thing in mind, surely it is WORST. And wow! yes! yes! I did the right expectation on this movie.

There's no story at all its all time wasting moment,

i prefer to read the oldest newspaper than sitting in front of TV watching this crap.

But I cannot deny and I can't still imagine and can't still find the answer why this movie became the top grosser of all time.

Waste of everything watching this movie. Only kids can enjoy for those with have a very low humor.

I hope foreign people missed to see this garbage",27/12/2012,positive,0.708487451,0
Praybeyt Benjamin 1,"Good Comedy Movie: First of all, I would like to congratulate Star Cinema/ABS-CBN Film Productions and Viva Films for having Praybeyt Benjamin as one of the highest grossing Filipino film of all time.

The movie was quite hilarious and the storyline of having a gay soldier is a good idea, though not anymore unique. Nevertheless, what made it different from any other films with gay soldiers is that they mixed genres. They added a touch of science fiction (SciFi) and drama (Family Rivalry). And, thankfully, the romance they have put was only for the sake of comedy, and not being focused on the romance alone because if they did, it would appear mainstream which the Filipino taste is already burn of.

The camera rolling techniques that have been used was on average, and the CGIs appeared to be similar to that of old Filipino films (which I have to admit devastated me).

Heavy screen portrayal got no place in this kind of movie because it does not showcase heavy drama. However, I believe that some of the actors underacted making some scenes awkward and unnatural.

Overall, it reached 7/10.",29/09/2012,positive,0.983829677,0
Praybeyt Benjamin 1,"Actual Kino: Certified Vice Ganda Kinoplex moment. This movie is peak fiction, if I could rate this 100,000,000/10 I would've. This movie is a must see in the next white boy summer.",19/10/2021,positive,0.990620852,0
Praybeyt Benjamin 1,"ako aamin nako, tomboy ako",08/12/2025,positive,0.912259281,0
Praybeyt Benjamin 1,napredict ni benjamin ang unang line ng not like us by kendrick lamar ,08/12/2025,negative,0.552212596,0
Praybeyt Benjamin 1,"This was my ""Good Luck, Babe!"" as a child ",06/12/2025,positive,0.978445113,0
Praybeyt Benjamin 1,classic ,03/12/2025,positive,0.503872573,0
Praybeyt Benjamin 1,peak vice ganda,03/12/2025,positive,0.950180113,0
Praybeyt Benjamin 1,i miss u wenn v. deramas,24/11/2025,negative,0.724358499,0
Praybeyt Benjamin 1,nakakalerki,22/11/2025,negative,0.568523586,0
Praybeyt Benjamin 1,one of vice ganda's fun ((like really fun)) films tbh,16/11/2025,positive,0.995089471,0
Praybeyt Benjamin 1,peak,19/11/2025,negative,0.61880517,-1
Praybeyt Benjamin 1,plants vs. tombits,18/11/2025,negative,0.742812455,0
Praybeyt Benjamin 1,welcome home PAPSIIIIIIII,18/11/2025,positive,0.989277959,3
Praybeyt Benjamin 1,ANG LAUF KO DITO HAUAHWUAHAUSHSHVAHZUSHWHWHA,17/11/2025,negative,0.620811462,0
Praybeyt Benjamin 1,me kapag sinali sa rotc,24/10/2025,negative,0.647596598,0
Praybeyt Benjamin 1,miss u direk wenn,15/11/2025,negative,0.738101661,0
Praybeyt Benjamin 1,utot gun so op,13/11/2025,positive,0.6622715,0
Praybeyt Benjamin 1,"this was fun watching, you'll smile and laugh.",14/11/2025,positive,0.997932911,0
Praybeyt Benjamin 1,welcome home papsi !!,14/11/2025,positive,0.987174392,3
Praybeyt Benjamin 1,the filipino mulan daw sabi ng kuya q,13/11/2025,negative,0.67033869,0
Praybeyt Benjamin 1,"5 stars ehudhwhshaha mga nagseseryoso dyan sa movie na ganto, di kau sasaya #utot_gun",13/11/2025,positive,0.987693906,0
Praybeyt Benjamin 1,bakla!,13/11/2025,negative,0.828001082,0
Praybeyt Benjamin 1,"| ?benjie is so me, pag naging sundalo tapos ang nasa cardboard target al pacino at robert de niro tapos hindi ko babarilin#boompanes",13/11/2025,negative,0.901017666,0
Praybeyt Benjamin 1,wititit!!,10/11/2025,negative,0.935958862,0
Praybeyt Benjamin 1,"""ito ba yung may bomba"" - Deim""gusto ko rin ng barbie"" -Tine",10/11/2025,negative,0.509615898,0
Praybeyt Benjamin 1,kami ng mga bading kong kaibigan pag napunta sa military,10/11/2025,negative,0.842290461,0
Praybeyt Benjamin 1,another memorable cinema watch. babaw p kaligayahan q noon wiwww,10/11/2025,positive,0.968100667,0
Praybeyt Benjamin 1,HALA,10/11/2025,negative,0.779238343,0
Praybeyt Benjamin 1,THIS WAS THE REASON WHY MY HUMOR IS THE WAY IT IS,07/11/2025,positive,0.873111844,0
Praybeyt Benjamin 1,Peak vg,30/10/2025,negative,0.546165168,-1
Praybeyt Benjamin 1,medyo iba awra ni mulan dito,09/11/2025,negative,0.669511855,0
Praybeyt Benjamin 1,gets kung bakit favorite to ni blank,08/11/2025,positive,0.504299283,0
Praybeyt Benjamin 1,Vice Ganda paved the way for the gays,07/11/2025,positive,0.978088021,2
Praybeyt Benjamin 1,boots og ver,04/11/2025,positive,0.777099192,0
Praybeyt Benjamin 1,eddie garcia and vice ganda in a single movie,03/11/2025,positive,0.989236057,0
Praybeyt Benjamin 1,filipino classics watched in the living room with my grandmother :) i love my warm province life,02/11/2025,positive,0.997320473,0
Praybeyt Benjamin 1,peak comedy hshshsbaka,02/11/2025,negative,0.784609795,0
Praybeyt Benjamin 1,Rotcc feelss ltt,02/11/2025,negative,0.777119339,4
Praybeyt Benjamin 1,funny talaga neto pero may mga offensive na jokes lol,02/11/2025,negative,0.566763937,0
Praybeyt Benjamin 1,da beast ,21/04/2025,negative,0.782859802,0
Praybeyt Benjamin 1,CAMP!!!!!,01/11/2025,negative,0.926763296,5
Praybeyt Benjamin 1,"peak comedy pero may mga jokes na medyo oa for me :""))",31/10/2025,positive,0.838215888,0
Praybeyt Benjamin 1,"Inang platoon yan, Alpha Phi Chupapi?!",31/10/2025,negative,0.946726561,0
Praybeyt Benjamin 1,mas maganda to kaysa sa 2nd movie eh pero nakarami nako ng panonood dito eh pero maganda parin,31/10/2025,positive,0.974958897,0
Praybeyt Benjamin 1,this is my OG Boots,28/10/2025,positive,0.942431986,0
Praybeyt Benjamin 1,Antoinette Jadaone: Anong paborito mong Vice Ganda - Wenn Deramas?Lav Diaz: 'Yung sarhento siya.,12/10/2025,positive,0.566334605,0
Praybeyt Benjamin 1,i know this is controversial bc of the underlying political tones of this movie... but when i watched this when i was younger i still love it for how funny it is.,27/10/2025,positive,0.99377352,0
Praybeyt Benjamin 1,lav diaz made me rewatch,26/10/2025,positive,0.60113889,0
Praybeyt Benjamin 1,ok naman nakakatawa hehe,26/10/2025,positive,0.98034519,0
Praybeyt Benjamin 1,GOAT,22/10/2025,positive,0.643069744,0
Praybeyt Benjamin 1,cant believe u can find this on letterboxd omg,20/10/2025,positive,0.570572972,0
Praybeyt Benjamin 1,ang funny nya parin till now,21/10/2025,positive,0.910345614,0
Praybeyt Benjamin 1,jfdhskdfhskjfk,17/10/2025,positive,0.932811916,0
Praybeyt Benjamin 1,hear me out daw ng kaibigan ko ang “straight passing” na vice ganda,16/10/2025,positive,0.981062829,0
Praybeyt Benjamin 1,"generational, timeless, unkabogable",14/10/2025,positive,0.98928225,0
Praybeyt Benjamin 1,Gay Mulan,14/10/2025,negative,0.582966387,6
Praybeyt Benjamin 1,life-changing kahit na hindi ko nagets yung ibang jokes kasi 8 pa lang ako non,13/10/2011,negative,0.838778436,0
Praybeyt Benjamin 1,hit movie naman ang praybeyt benjamin pero bakit ang dami pa rin homophobic sa pilipinas?,12/10/2025,negative,0.933492362,2
Praybeyt Benjamin 1,bring back muscular men. ayun lang!!,11/10/2025,negative,0.924728274,0
Praybeyt Benjamin 1,"Still, the funniest Vice Ganda movie.",10/10/2025,positive,0.988730609,0
Praybeyt Benjamin 1,hala ,09/10/2025,negative,0.861201823,0
Praybeyt Benjamin 1,may 10 jokes per second daw ,09/10/2025,negative,0.594222963,0
Praybeyt Benjamin 1,"yall dont deserve benjie!!!! it is so infuriating when people base strength and value on someone's sexuality, not to mention kailangan pang may patunayan bago tanggapin and it doesnt only happen in fiction save me banban kean cipriano save me",08/10/2025,negative,0.945016682,2
Praybeyt Benjamin 1,Queen,07/10/2025,positive,0.8311041,0
Praybeyt Benjamin 1,"super benta pq rin ng jokes kahit more than a decade na ang nakakalipazang legendary talaga ng scene na sumasayaw siya para sa lolo niya tas sinigawan lang siya ng bakla hahahaha, the internalized homophobia i say??",04/10/2025,negative,0.925749421,2
Praybeyt Benjamin 1,peak comedy,02/10/2025,negative,0.836592317,0
Praybeyt Benjamin 1,never akong nabored na-irewatch to,02/10/2025,negative,0.933954358,0
Praybeyt Benjamin 1,"there's no live action mulan in ba sing se, only praybeyt benjamin",30/09/2025,negative,0.578236222,1
Praybeyt Benjamin 1,gets kita direk lav,28/09/2025,positive,0.579746962,0
Praybeyt Benjamin 1,BULWAK TAWA KO SA DULO PUTRAGIS HAHAHAHSBWHAHAJBSBWHAHDJAJAGAHAJA,27/09/2025,negative,0.557854712,0
Praybeyt Benjamin 1,vice’s movies never failed to make my day better,20/09/2025,positive,0.986814737,0
Praybeyt Benjamin 1,nakakatawa,22/09/2025,negative,0.892739713,0
Praybeyt Benjamin 1,helpful maka gawa ng hiragana worksheet,16/09/2025,positive,0.846302867,0
Praybeyt Benjamin 1,hindi talaga makakabog,20/09/2025,negative,0.93460238,0
Praybeyt Benjamin 1,ICONIC ,18/09/2025,negative,0.516495705,0
Praybeyt Benjamin 1,EXACTLY!!!,16/09/2025,positive,0.731000066,0
Praybeyt Benjamin 1,WELCOME HOME PAPSIII,16/09/2025,positive,0.987128973,3
Praybeyt Benjamin 1,Filo camp in its earliest form,14/09/2025,positive,0.666188478,5
Praybeyt Benjamin 1,literally mulan for gay ppl,14/09/2025,positive,0.830210984,6
Praybeyt Benjamin 1,iconic,13/09/2025,positive,0.990583658,0
Praybeyt Benjamin 1,so camp ,10/09/2025,positive,0.822730839,5
Praybeyt Benjamin 1,Funniest Filipino movie ever,09/09/2025,positive,0.977585435,0
Praybeyt Benjamin 1,ampogi mo tlaga derek ramsey HAYOP had me giggling whenever he came on screen GAGI corny man pero this is so peak srry,07/09/2025,positive,0.991185129,0
Praybeyt Benjamin 1,knskdksbfjensh an amazing feat of managing to be pro-military and pro-lgbtq at the same timegay people will save the world,06/09/2025,positive,0.993580937,2
Praybeyt Benjamin 1,some jokes still funny but watching it after a decade some jokes just ain't it,06/09/2025,negative,0.892197907,0
Praybeyt Benjamin 1,a legend (boom panes) was born,05/09/2025,positive,0.992344201,0
Praybeyt Benjamin 1,yung credits  callalily - bullies hahhhahahahha plsss,03/09/2025,negative,0.746282518,0
Praybeyt Benjamin 1,kasing labo ng poster ung quality ng jokes,03/09/2025,negative,0.869695604,0
Praybeyt Benjamin 1,if mulan was gay,02/09/2025,negative,0.736094356,6
Praybeyt Benjamin 1,Certified hood classic.,01/09/2025,positive,0.990551233,0
Praybeyt Benjamin 1,me sa afp: WELCOME HOME PAPSIEEEEE!!!!,28/08/2025,positive,0.98587358,3
Praybeyt Benjamin 1,"benjamin santos is ahead of her time, vv timely and relevant, bring back comedy movies with 2x speed scenes and corny ass linesmy dad and i used to watch this before bwhahaha good old days",29/08/2025,positive,0.995010972,0
Praybeyt Benjamin 1,good watch,26/08/2025,positive,0.981969833,0
Praybeyt Benjamin 1,‘yung tawa ko,25/08/2025,negative,0.523166955,0
Praybeyt Benjamin 1,I love vice ganda,24/08/2025,positive,0.99072355,0
Praybeyt Benjamin 1,mulan if she served kanto (cunt),24/08/2025,positive,0.603990495,1
Praybeyt Benjamin 1,so funnyy,22/08/2025,positive,0.962051809,0
Praybeyt Benjamin 1,best vg film fr,20/08/2025,positive,0.879563451,0
Praybeyt Benjamin 1,phenomenal box office superstar!,09/02/2025,positive,0.995234549,0
Praybeyt Benjamin 1,pag bakla salot agad? hindi ba pedeng malas munasana mamura din ako ni kean cipriano,17/08/2025,negative,0.944418371,0
Praybeyt Benjamin 1,still so funny,16/08/2025,positive,0.991847515,0
Praybeyt Benjamin 1,the OG mulan live action,10/08/2025,positive,0.93045795,1
Praybeyt Benjamin 1,"classic comedy film in the ph. tho, as far as my memory, its not as iconic as the 2nd movie but still enjoyed it. also, i love the representation of lgbtqia because when most people sides up waiting to see you fail just because of your sexuality is absurd, but proving them all wrong is immaculate.",27/07/2025,positive,0.996140897,0
Praybeyt Benjamin 1,mulan of the ph,05/08/2025,positive,0.872364402,1
Praybeyt Benjamin 1,"when i was a kid, i thought this was funny. now that im older, i STILL think this is vice’s best film. idc about political-correctness when its praybeyt benjamin on the line",04/08/2025,positive,0.989856005,0
Praybeyt Benjamin 1,one day i’ll tell my kids this is live action mulan,02/08/2025,negative,0.626785934,1
Praybeyt Benjamin 1,Mabuhay ang queer cinema (1),28/07/2025,positive,0.561514854,2
Praybeyt Benjamin 1,"The scene where he have to shoot the standee of Brad Pitt and Tom Cruise got me. Same Benji, same.",31/07/2025,positive,0.550291717,0
Praybeyt Benjamin 1,My OG ,28/07/2025,negative,0.526106477,0
Praybeyt Benjamin 1,The film that boosted Vice Ganda's career to stardom,05/10/2012,positive,0.984246075,0
Praybeyt Benjamin 1,queer camp excellence. MABUHAY ANG MGA BAKLA!!!!!!,26/07/2025,positive,0.607945859,2
Praybeyt Benjamin 1,this is how you adapt MULAN correctly btw!,26/07/2025,positive,0.988538921,1
Praybeyt Benjamin 1,gays can do more and BETTER than straight guys na puro pasarap lang ang alam gawin,25/07/2025,positive,0.961232722,2
Praybeyt Benjamin 1,faveee ,29/07/2024,positive,0.989442348,0
Praybeyt Benjamin 1,Peak Vice Ganda,25/07/2025,positive,0.927509964,0
Praybeyt Benjamin 1,iconic,24/07/2025,positive,0.990583658,0
Praybeyt Benjamin 1,"the movie itself is ok lang tbh. However, like it or not, the cultural significance of praybeyt benjamin as one of the first and most successful vice ganda blockbusters warrants at least respect.",20/07/2025,positive,0.988501787,0
Praybeyt Benjamin 1,cutie lagi si kian cipriano diri,19/07/2025,positive,0.664800823,0
Praybeyt Benjamin 1,Vice Ganda is so so so funny,20/07/2025,positive,0.992237031,0
Praybeyt Benjamin 1,"""long live the gays""been wanting to watch this for so long. there's so much about this movie. the dad's science hats. the. uh. i was gonna list more but i literally can't think of anything except the one scene where the dad was wearing a gir hat. hello. at one point in the movie we'd been in a training montage for fucking ever and i had to ask ""when are they gonna fight the terrorists"" and i realized we only had 30 minutes left. worth it though. i do really adore how profusely benjie's family loves and accepts him. it's earnestly sweet tbh. anyway. jon watters vice ganda and gregg araki dream blunt rotation but not really",20/07/2025,positive,0.997995973,0
Praybeyt Benjamin 1,My bf forced me to watch it,17/07/2025,positive,0.903959632,0
Praybeyt Benjamin 1,di natapos,17/07/2025,negative,0.908881485,0
Praybeyt Benjamin 1,WELCOME HOME PAPSI,16/07/2025,positive,0.978259563,3
Praybeyt Benjamin 1,“syempre pang-kabayo toh”,16/07/2025,positive,0.504194438,0
Praybeyt Benjamin 1,mulan pero bading at nandiyan si derek ramsay,16/07/2025,negative,0.924066246,1
Praybeyt Benjamin 1,Laro laro lang,16/07/2012,negative,0.642166317,0
Praybeyt Benjamin 1,A movie night classic with my Filipino fam. It’s absurdly camp and entertaining enough to keep me watching.,15/07/2025,positive,0.996715307,0
Praybeyt Benjamin 1,"""paano niyo nakita?""""pumikit kami""",03/03/2024,negative,0.924364209,0
Praybeyt Benjamin 1,sino nagimbento neto punyetang mga sound effects kala mo lasing ako,13/07/2025,negative,0.914212167,0
Praybeyt Benjamin 1,edi i-log,13/07/2025,positive,0.646597743,0
