topic,topic_size,dominant_sentiment,positive_count,positive_percentage,negative_count,negative_percentage,neutral_count,neutral_percentage,avg_sentiment_score,top_keywords,keyword_string
0,135,POSITIVE,114,84.44,21,15.56,0,0.0,0.902,"['film', 'animation', 'really', 'like', 'animated']","film, animation, really, like, animated"
1,131,POSITIVE,92,70.23,39,29.77,0,0.0,0.885,"['animation', 'story', 'good', 'plot', 'really']","animation, story, good, plot, really"
2,105,NEGATIVE,49,46.67,56,53.33,0,0.0,0.86,"['ganda', 'animation', 'ganda animation', 'sayang', 'story']","ganda, animation, ganda animation, sayang, story"
3,72,NEGATIVE,34,47.22,38,52.78,0,0.0,0.818,"['robin', 'robin padilla', 'padilla', 'kantot', 'panira']","robin, robin padilla, padilla, kantot, panira"
4,55,NEGATIVE,19,34.55,36,65.45,0,0.0,0.845,"['robin', 'hayop', 'robin padilla', 'padilla', 'jolibog']","robin, hayop, robin padilla, padilla, jolibog"
5,49,POSITIVE,45,91.84,4,8.16,0,0.0,0.884,"['hayop', 'film', 'just', 'boyfriend', 'like']","hayop, film, just, boyfriend, like"
6,39,POSITIVE,25,64.1,14,35.9,0,0.0,0.803,"['fl', 'film', 'just', 'animation', 'like']","fl, film, just, animation, like"
7,32,NEGATIVE,13,40.62,19,59.38,0,0.0,0.923,"['stars', 'stars animation', 'star', 'animation', 'animators']","stars, stars animation, star, animation, animators"
8,29,POSITIVE,25,86.21,4,13.79,0,0.0,0.815,"['furry', 'zootopia', 'netflix', 'wattpad', 'furry wattpad']","furry, zootopia, netflix, wattpad, furry wattpad"
9,22,POSITIVE,19,86.36,3,13.64,0,0.0,0.86,"['animation', '10', 'ganda animation', '10 10', 'ganda']","animation, 10, ganda animation, 10 10, ganda"
10,20,POSITIVE,13,65.0,7,35.0,0,0.0,0.852,"['voice', 'padilla voice', 'robin', 'robin padilla', 'padilla']","voice, padilla voice, robin, robin padilla, padilla"
11,16,POSITIVE,12,75.0,4,25.0,0,0.0,0.888,"['laughter', 'hilarious', 'funny', 'super', 'little']","laughter, hilarious, funny, super, little"
12,15,POSITIVE,13,86.67,2,13.33,0,0.0,0.914,"['furry', 'com', 'sexy', 'os', 'strong']","furry, com, sexy, os, strong"
