topic,topic_size,dominant_sentiment,positive_count,positive_percentage,negative_count,negative_percentage,neutral_count,neutral_percentage,avg_sentiment_score,top_keywords,keyword_string
0,291,POSITIVE,163,56.01,128,43.99,0,0.0,0.822,"['cute', 'kms', 'alden', 'corny', 'ok']","cute, kms, alden, corny, ok"
1,248,POSITIVE,226,91.13,22,8.87,0,0.0,0.933,"['film', 'love', 'story', 'hong kong', 'hong']","film, love, story, hong kong, hong"
2,170,NEGATIVE,57,33.53,113,66.47,0,0.0,0.834,"['napanood', 'kath', 'hirap', 'maging', 'galing']","napanood, kath, hirap, maging, galing"
3,121,POSITIVE,87,71.9,34,28.1,0,0.0,0.865,"['galing', 'alden', 'kathryn', 'kaya', 'character']","galing, alden, kathryn, kaya, character"
4,86,POSITIVE,65,75.58,21,24.42,0,0.0,0.901,"['sequel', 'watched', 'rewatch', 'rewatched', 'rewatching']","sequel, watched, rewatch, rewatched, rewatching"
5,81,POSITIVE,64,79.01,17,20.99,0,0.0,0.852,"['dreams', 'love', 'choose', 'career', 'girl']","dreams, love, choose, career, girl"
6,78,POSITIVE,50,64.1,28,35.9,0,0.0,0.86,"['ethan', 'joy', 'hate', 'friend', 'manipulative']","ethan, joy, hate, friend, manipulative"
7,78,POSITIVE,58,74.36,20,25.64,0,0.0,0.877,"['rewatched', 'watched', 'maganda', 'watch', 'ganda']","rewatched, watched, maganda, watch, ganda"
8,66,POSITIVE,63,95.45,3,4.55,0,0.0,0.935,"['love goodbye', 'goodbye', 'hello love', 'hello', 'love']","love goodbye, goodbye, hello love, hello, love"
9,63,POSITIVE,51,80.95,12,19.05,0,0.0,0.921,"['love', 'film', 'watched', 'watch', 'don love']","love, film, watched, watch, don love"
10,59,POSITIVE,39,66.1,20,33.9,0,0.0,0.806,"['joy', 'ethan', 'pangarap', 'canada', 'sarili']","joy, ethan, pangarap, canada, sarili"
11,58,POSITIVE,54,93.1,4,6.9,0,0.0,0.924,"['alden', 'kathryn', 'chemistry', 'acting', 'character']","alden, kathryn, chemistry, acting, character"
12,57,POSITIVE,55,96.49,2,3.51,0,0.0,0.95,"['ethan', 'joy', 'really', 'character', 'end']","ethan, joy, really, character, end"
13,42,POSITIVE,36,85.71,6,14.29,0,0.0,0.929,"['kathryn', 'best', 'kathryn best', 'good', 'best kathryn']","kathryn, best, kathryn best, good, best kathryn"
14,41,POSITIVE,35,85.37,6,14.63,0,0.0,0.902,"['hello', 'hello love', 'love', 'love hello', 'don love']","hello, hello love, love, love hello, don love"
15,38,POSITIVE,32,84.21,6,15.79,0,0.0,0.933,"['love', 'romance', 'story', 'relationships', 'film']","love, romance, story, relationships, film"
16,38,POSITIVE,35,92.11,3,7.89,0,0.0,0.931,"['bernardo', 'kathryn bernardo', 'kathryn', 'bernardo kathryn', 'love kathryn']","bernardo, kathryn bernardo, kathryn, bernardo kathryn, love kathryn"
17,37,POSITIVE,24,64.86,13,35.14,0,0.0,0.872,"['sequel', 'ending', 'guess', 'couldve', 'wasn']","sequel, ending, guess, couldve, wasn"
18,37,POSITIVE,23,62.16,14,37.84,0,0.0,0.806,"['cried', 'tears', 'sad', 'depressing', 'tear']","cried, tears, sad, depressing, tear"
19,35,POSITIVE,22,62.86,13,37.14,0,0.0,0.827,"['alden', 'alden richards', 'richards', 'daniel', 'alden character']","alden, alden richards, richards, daniel, alden character"
20,32,POSITIVE,30,93.75,2,6.25,0,0.0,0.964,"['joy joy', 'joy', 'se', 'joy feel', 'joy like']","joy joy, joy, se, joy feel, joy like"
21,31,NEGATIVE,15,48.39,16,51.61,0,0.0,0.791,"['land', 'version', 'pinoy', 'philippines', 'bcs']","land, version, pinoy, philippines, bcs"
22,30,POSITIVE,23,76.67,7,23.33,0,0.0,0.909,"['chemistry', 'alden', 'kathryn', 'chemistry kathryn', 'good chemistry']","chemistry, alden, kathryn, chemistry kathryn, good chemistry"
23,27,POSITIVE,18,66.67,9,33.33,0,0.0,0.84,"['hong', 'hong kong', 'kong', 'hlg', 'miss']","hong, hong kong, kong, hlg, miss"
24,24,POSITIVE,23,95.83,1,4.17,0,0.0,0.923,"['kathryn', 'kathden', 'kathryn kathryn', 'pairing', 'galing']","kathryn, kathden, kathryn kathryn, pairing, galing"
25,24,POSITIVE,23,95.83,1,4.17,0,0.0,0.941,"['carried', 'kathryn carried', 'kathryn', 'bernardo carried', 'kathryn bernardo']","carried, kathryn carried, kathryn, bernardo carried, kathryn bernardo"
26,24,NEGATIVE,9,37.5,15,62.5,0,0.0,0.815,"['alden', 'baduy', 'maine', 'anong', 'bet']","alden, baduy, maine, anong, bet"
27,23,NEGATIVE,5,21.74,18,78.26,0,0.0,0.853,"['anthony', 'fuck', 'kilig', 'hk', 'jusq']","anthony, fuck, kilig, hk, jusq"
