topic,topic_size,dominant_sentiment,positive_count,positive_percentage,negative_count,negative_percentage,neutral_count,neutral_percentage,avg_sentiment_score,top_keywords,keyword_string
0,474,NEGATIVE,235,49.58,239,50.42,0,0.0,0.797,"['darren', 'binalikan', 'labis', 'primo', 'corny']","darren, binalikan, labis, primo, corny"
1,295,NEGATIVE,74,25.08,221,74.92,0,0.0,0.812,"['niyo', 'wag', 'ilalim', 'ref', 'ilalim ref']","niyo, wag, ilalim, ref, ilalim ref"
2,174,POSITIVE,144,82.76,30,17.24,0,0.0,0.885,"['kathryn', 'kathniel', 'miss', 'miss kathniel', 'kathryn bernardo']","kathryn, kathniel, miss, miss kathniel, kathryn bernardo"
3,171,POSITIVE,157,91.81,14,8.19,0,0.0,0.932,"['kathniel', 'best', 'kathryn', 'acting', 'good']","kathniel, best, kathryn, acting, good"
4,156,NEGATIVE,39,25.0,117,75.0,0,0.0,0.813,"['beses', 'akong', 'mundo', 'umiikot', 'kanta']","beses, akong, mundo, umiikot, kanta"
5,132,POSITIVE,70,53.03,62,46.97,0,0.0,0.835,"['buhat', 'tangina', 'primo', 'film', 'kathryn']","buhat, tangina, primo, film, kathryn"
6,127,POSITIVE,96,75.59,31,24.41,0,0.0,0.863,"['george', 'primo', 'better', 'just', 'like']","george, primo, better, just, like"
7,95,POSITIVE,84,88.42,11,11.58,0,0.0,0.932,"['hows', 'love', 'film', 'relationships', 'dreams']","hows, love, film, relationships, dreams"
8,86,NEGATIVE,18,20.93,68,79.07,0,0.0,0.83,"['fuck', 'men', 'fuck primo', 'hate', 'primo']","fuck, men, fuck primo, hate, primo"
9,84,POSITIVE,71,84.52,13,15.48,0,0.0,0.909,"['film', 'movies', 'philippines', 'romance', '10']","film, movies, philippines, romance, 10"
10,78,POSITIVE,57,73.08,21,26.92,0,0.0,0.944,"['aku', 'ini', 'film ini', 'film', 'relationship']","aku, ini, film ini, film, relationship"
11,76,POSITIVE,59,77.63,17,22.37,0,0.0,0.833,"['george', 'george george', 'better', 'marupok', 'deserve']","george, george george, better, marupok, deserve"
12,72,POSITIVE,46,63.89,26,36.11,0,0.0,0.824,"['love', 'war', 'win', 'heart', 'grow']","love, war, win, heart, grow"
13,69,POSITIVE,62,89.86,7,10.14,0,0.0,0.905,"['carried', 'kathryn carried', 'carrying', 'kathryn', 'bernardo carried']","carried, kathryn carried, carrying, kathryn, bernardo carried"
14,60,POSITIVE,40,66.67,20,33.33,0,0.0,0.802,"['cried', 'sobbed', 'crying', 'sobbing', 'eyes']","cried, sobbed, crying, sobbing, eyes"
15,58,NEGATIVE,5,8.62,53,91.38,0,0.0,0.852,"['nagkabalikan', 'binalikan george', 'bumalik', 'naging', 'maging']","nagkabalikan, binalikan george, bumalik, naging, maging"
