topic,topic_size,dominant_sentiment,positive_count,positive_percentage,negative_count,negative_percentage,neutral_count,neutral_percentage,avg_sentiment_score,top_keywords,keyword_string
0,1583,NEGATIVE,622,39.29,961,60.71,0,0.0,0.82,"['piolo', 'sisiw', 'balut', 'piolo pascual', 'pascual']","piolo, sisiw, balut, piolo pascual, pascual"
1,451,POSITIVE,312,69.18,139,30.82,0,0.0,0.872,"['plot', 'good', 'like', 'horror', 'just']","plot, good, like, horror, just"
2,264,POSITIVE,183,69.32,81,30.68,0,0.0,0.851,"['mallari', 'serial', 'killer', 'film', 'serial killer']","mallari, serial, killer, film, serial killer"
3,212,POSITIVE,158,74.53,54,25.47,0,0.0,0.827,"['papa', 'pogi papa', 'pogi', 'father', 'sisiw']","papa, pogi papa, pogi, father, sisiw"
4,193,POSITIVE,112,58.03,81,41.97,0,0.0,0.868,"['ganda', 'kaya', 'ung', 'maganda', 'horror']","ganda, kaya, ung, maganda, horror"
5,175,POSITIVE,154,88.0,21,12.0,0,0.0,0.933,"['horror', 'movies', 'film', 'films', 'horror movies']","horror, movies, film, films, horror movies"
6,128,POSITIVE,113,88.28,15,11.72,0,0.0,0.928,"['piolo', 'pascual', 'piolo pascual', 'like', 'acting']","piolo, pascual, piolo pascual, like, acting"
7,104,POSITIVE,78,75.0,26,25.0,0,0.0,0.88,"['salvador', 'janella salvador', 'janella', 'save', 'agnes']","salvador, janella salvador, janella, save, agnes"
8,91,NEGATIVE,31,34.07,60,65.93,0,0.0,0.85,"['ending', 'expected', 'disappointing', 'better', 'happened']","ending, expected, disappointing, better, happened"
9,79,POSITIVE,48,60.76,31,39.24,0,0.0,0.809,"['selfish', 'lucas', 'fuck', 'dumb', 'bitch']","selfish, lucas, fuck, dumb, bitch"
10,70,POSITIVE,49,70.0,21,30.0,0,0.0,0.794,"['multiverse', 'madness', 'pascual', 'piolo pascual', 'piolo']","multiverse, madness, pascual, piolo pascual, piolo"
11,67,POSITIVE,57,85.07,10,14.93,0,0.0,0.842,"['pogi', 'salot', 'save', 'll', 'free']","pogi, salot, save, ll, free"
12,63,NEGATIVE,26,41.27,37,58.73,0,0.0,0.845,"['potential', 'concept', 'ideas', 'wasted', 'poorly']","potential, concept, ideas, wasted, poorly"
13,59,POSITIVE,44,74.58,15,25.42,0,0.0,0.867,"['universe', 'cinematography', 'cinematic', 'cinema', 'ph']","universe, cinematography, cinematic, cinema, ph"
14,51,NEGATIVE,20,39.22,31,60.78,0,0.0,0.756,"['generational', 'trauma', 'generational trauma', 'smash', 'curse']","generational, trauma, generational trauma, smash, curse"
15,46,NEGATIVE,17,36.96,29,63.04,0,0.0,0.784,"['kang', 'bobo', 'sya', 'tanga', 'sisiw']","kang, bobo, sya, tanga, sisiw"
16,45,POSITIVE,35,77.78,10,22.22,0,0.0,0.906,"['boy', 'mama', 'mama boy', 'final', 'mommy']","boy, mama, mama boy, final, mommy"
17,40,NEGATIVE,18,45.0,22,55.0,0,0.0,0.926,"['stars', 'star', 'papa', 'biceps', 'hot']","stars, star, papa, biceps, hot"
18,40,NEGATIVE,6,15.0,34,85.0,0,0.0,0.867,"['ending', 'kaso', 'tanginang', 'bet', 'ganon']","ending, kaso, tanginang, bet, ganon"
19,40,NEGATIVE,15,37.5,25,62.5,0,0.0,0.837,"['maganda', 'editing', 'ung', 'cinematography', 'pinanood']","maganda, editing, ung, cinematography, pinanood"
20,40,MOSTLY_POSITIVE,20,50.0,20,50.0,0,0.0,0.716,"['kiffy', 'amoy', 'amoy kiffy', 'bahay', 'nasa']","kiffy, amoy, amoy kiffy, bahay, nasa"
21,39,POSITIVE,22,56.41,17,43.59,0,0.0,0.816,"['bro', 'did', 'curse', 'shit', 'went']","bro, did, curse, shit, went"
22,38,POSITIVE,24,63.16,14,36.84,0,0.0,0.815,"['mama boy', 'mama', 'boy', 'middle', 'choices']","mama boy, mama, boy, middle, choices"
23,36,NEGATIVE,15,41.67,21,58.33,0,0.0,0.833,"['like', 'good', 'story', 'felt', 'yeah']","like, good, story, felt, yeah"
24,34,POSITIVE,22,64.71,12,35.29,0,0.0,0.821,"['fuck', 'kill', 'severino', 'kiss', 'fr']","fuck, kill, severino, kiss, fr"
25,32,POSITIVE,27,84.38,5,15.62,0,0.0,0.877,"['mallari mallari', 'mallari', 'best', 'spoiler', 'room']","mallari mallari, mallari, best, spoiler, room"
26,27,NEGATIVE,5,18.52,22,81.48,0,0.0,0.843,"['fuck', 'ass', 'dumb', 'air', 'shit']","fuck, ass, dumb, air, shit"
27,25,POSITIVE,13,52.0,12,48.0,0,0.0,0.803,"['scared', 'scary', 'got', 'fell', 'bad']","scared, scary, got, fell, bad"
28,24,POSITIVE,14,58.33,10,41.67,0,0.0,0.828,"['time', 'travel', 'time travel', 'time travelling', 'travelling']","time, travel, time travel, time travelling, travelling"
29,23,NEGATIVE,10,43.48,13,56.52,0,0.0,0.76,"['severino', 'fr severino', 'karakter', 'fr', 'father severino']","severino, fr severino, karakter, fr, father severino"
30,23,NEGATIVE,8,34.78,15,65.22,0,0.0,0.861,"['jumpscares', 'jumpscare', 'unnecessary', 'unnecessary jumpscares', 'daming']","jumpscares, jumpscare, unnecessary, unnecessary jumpscares, daming"
31,22,POSITIVE,18,81.82,4,18.18,0,0.0,0.791,"['jc santos', 'santos', 'jc', 'carried', 'ate']","jc santos, santos, jc, carried, ate"
32,21,POSITIVE,13,61.9,8,38.1,0,0.0,0.748,"['bias', 'mallari', 'ultimate', 'dude', 'ampogi']","bias, mallari, ultimate, dude, ampogi"
