movie_name,review_text,date,topic
The Kingmaker,"This is the truth: This documentary perfectly captured the experiences of the Marcos and the exploited people. It showed what it is like to live with extensive wealth and how the Marcos regime used it for political power and their self interests.

This is a must watch film for those who wish to see the Marcos' perspective on Martial Law and their countless political movements.

This documentary shows the truth, through direct interviews with the Marcoses, and it is up to you if you are going to believe it. As John Henry Newman would say: ""We can believe what we choose but we are answerable for what we choose to believe.",2022-05-06,0
The Kingmaker,"Prescient and illuminating: As I write Ferdinand Marcus junior or 'bong bong' has been elected president of the Philippines, so it's a good time to view this documentary about the Marcos dynasty, its rise, its fall in the peoples revolution of 1986, and the gradual and dramatic rise again of its fortunes; in particular this film focuses on the surprisingly influential, some might say malevolent role that Imelda Marcos played. It's a shocking tale of shameless corruption nepotism cronyism and greed, at the end of which one can only feel saddened for the Filipino people, who have been used abused lied to and robbed over decades by their elite, and still are. Half of todays Filipino voters were not alive for the first Marcos era, but I was there in late 1985 and saw the huge disparity between the rich and poor, and just how hated the Marcos regime was at the time. Sadly all of that now seems to have been forgotten. If you want to know something of the true story of the Marcos 'dynasty' see this fine doc.",2022-05-10,0
The Kingmaker,"Privilege matters, Political horror!: Well worth watching. Amazing documentary about privilege and the sociopathic mindset. It's about a narcissistic self serving former first lady abusing her position. The film shines on the ugly politics of the Philippines.",2019-12-05,0
The Kingmaker,"Excellent insight into vile monsters !: I love the Philippines, visited many times and my longterm gf is there. The carnage left behind from this disgusting dynasty is there for all to see today in the form of vastly stunted economic growth down to the billions of dollars embezzled by these creatures !

This documentary is wonderfully put together but leaves me sad to see a country I am so fond of suffering even today from what these two people did ! Her state of mass delusion is clear for all to see in this excellent piece of work !",2021-10-29,0
The Kingmaker,"Real life political horror: Horrifically illustrates how a nation's collective memory can be erased in real time and the true limits of democracy in the social media age.

I liked how it started off making us think it was going to be a lifestyles of the rich and famous and slowly peeled away the facade and leaves you with the punch to the gut. Imelda comes across as a complete psychopath with absolutely no perception of reality. This is what happens to you when you drink your own kool-aid folks!

In a world where social media can be manipulated to create alternate realities, these historical revisionists will find it even easier to get away with murder. God help us all.",2022-06-08,0
The Kingmaker,"Very intersting despite being ruined: It is a story of how corruption enters a nation and stays there forever. The documentary is very intersting in this aspect. The maker of the documentary is very one sided and has little knowledge of the local culture. This is of course very irritating. She paints the obvious corrupt opposition as saints. Anyone wiht any knowledge about that culture should know how stupid the maker of this docu is. Apart from that, a very interesting documentary worth watching.",2020-08-14,0
The Kingmaker,"""Perception is Real and the Truth is NOT"": With the Marcoses' consistent effort to rewrite history, this documentary reminds us that behind the grandeur and elaborate schemes of the Marcoses are the stories of pain and sorrows of the victims, which are not mere perception but the truth. As Greenfield's style is apparent in the documentary, it did not fail to capture the depressing history of the Philippines under the Marcoses and what may be an apparent future if they were put again into position. The contrasting images presented by Greenfield is a great divider between Perception and Reality.",2022-05-05,3
The Kingmaker,"The Kingmaker - Film Review: The Kingmaker is a documentary written and directed by Lauren Greenfield. The film follows the political career of Imelda Marcos from the start of her political career with her husband Ferdinand Marcos, the fall of their power and exhile to Hawaii, and then their resurgence after her husbands death and rise of the political career of her children - especially her son Bongbong Marcos.

This film does a good job of contrasting the story Imelda portrays versus the reality of those under her rule. Imelda will say how great her husbands reign was. Then you have individuals speak about the atrocities of what occurred. I found the film very informative as someone who did not know about the subject matter going in.

I also appreciated how the film showed the current scene of the Philippines with Bongbong running for Vice-President (and who is President as I write this 6 years after the film came out).

Overall, I think this is a worthwhile watch to learn about the history of the Philippines political dynasty from 1965 - 1986, and then again around 2016. - 7/10.",2025-10-04,0
The Kingmaker,Uncovering the Fantasy World of the Marcoses: Brilliant documentary. It shows how much you can do with money; it can turn lies to history.,2020-11-07,0
The Kingmaker,"An eye opener: Highly recommend this. Like her or loathe her you can't deny the blatant pesos for politics. Watching Marcos hand out wads of cash to kids in a hospital ward in front of the cameras was as cynical as it was sickening.

I've never paid much (read: any) attention to Filipino politics but will be following along the 2022 election with interest!",2020-03-02,0
The Kingmaker,"Dark truths are there if your eyes are open: This is an incredibly well put together documentary. Imelda Marcos doesn't exactly shoot herself in the foot - she is too smart to do that, but you nonetheless get to see the realities she so flagrantly ignores whilst living in her self made fantasy world. How many billions has this power crazed matriarch squirreled away in 140 countries across the world. There are only 8 and a bit billion people on the planet and handing each one a single dollar might seem like generosity but this very much hides the manipulations of the Marcos clan. We note other world leaders seem to be in the same exclusive club as this gurning despot. Lord help us all.",2019-12-21,3
The Kingmaker,"Outstanding and riveting documentary: ""The Kingmaker"" (2019 release; 100 min.) is a documentary about the life and times of Imelda Marcos, erstwhile First Lady of the Philippines (1965-1986). As the movie opens, we are in ""Manile, 2014"", and Imelda is visiting the old neighborhood (the Presidential Palace). ""I miss the clout of being First Lady"", she laments, while wondering if her appearance and make-up for the interview is ok. We then go back in time, as we look at her very modest upbringing until she catches the eye of Ferdinand Marcos while in a beauty contest. Before we know it, they marry and Marcos vies to become President of the Philippines... At this point we are 10 min. into the documentary.

Couple of comments: this is the latest documentary from writer-director Lauren Greenfield, best known for her 2012 documentary ""The Queen of Versailles"". Here she seemingly gets unfettered access to Imelda and her entourage, and she lets Imelda tell her side of the story, one in which of course Imelda is but a shining bright star in the darkness that is the Filipino sea of poverty. The great thing is that Greenfield doesn't have to ""manufacture"" anything: Imelda does it for her! Greenfield of course give ample screen time to opposing views, including survivirs of the Martial Lawera (1972-1980), during which torturing was rampant, And oh, lest we forget: the Marcoses stole an estimated $8-10 billion (with a ""b"") while in office. And if all of this isn't enough, Greenfield follows the Vice Predential election campaign in 2015-16 of Bongbong Marcos (son of Imelda), which itself becomes as revelating as anyting (just watch!). When confronted with issues of ""ill-gotten wealth"", Imelda simply shrugs it off (as does Bongbong). ""Perception is real, and the truth is not"", she states as a matter of fact. Hmmm, where have we heard this elsewhere in recent times? Bottom line: ""The Kingmaker"" is an oustanding and riveting documentar, period.

""The Kingmaker"" premiered on Showtime in 2019, which I somehow missed, but I recently caught it on Showtime on Demand and it is available on other VOD platforms too. If you have any interest in ""lifestyles of the rich and famous"", or how depots fleece an entire country for decades, I'd readily suggest you check this out, and draw your own conclusion.",2021-01-01,0
The Kingmaker,insight in something unseen: Interesting story about something i knew nothing about. a political insight in a very important story of a world in unbalance.,2020-09-06,0
The Kingmaker,"I wish this would be played in schools...: You can find it in YouTube FOR FREE, this documentary was not made for malicious purposes. The Marcos family themselves tell the story, not some director who can't even do their research properly.",2022-08-17,0
The Kingmaker,"Marcos Heist: One line that caught me off guard is what Bongbong's son said about his career.

Cause you know he wanted to do Physics, Math, Biology. But my grandfather (the late president) is like ""There's no money in that, switch to Politics""

That explains a lot about their family.

Precise and well-researched documentary.",2021-10-13,-1
The Kingmaker,It's not about shoes!: Loved The Kingmaker! One of those docs that start out one way and slowly reveal another darker side. And also one of those subjects so sure of themselves that they have no problem saying things that are incriminating. Imelda reveals a lot without caring. The correlation between her and Trump are closer than you think!,2019-12-12,-1
The Kingmaker,"It's not a surprise that the marcoses is paving the way for their return to power: This movie's purpose is to reclaim the narrative that the Martial Law is the ""Golden Age"" of the Philippine politics but it sure as hell backfire to them. The movie/documentary is well research, balanced and no biases towards any of the personality featured. Fact checking is evident towards any of the claims by Imelda that none was killed nor tortured that only good things happened during the regime. Personally, growing up I love reading especially history about Philippines so its not a surprise to me that the Marcos regime is bad but this information is inaccessible to everyone unless you specifically look for it and the gov't provided textbooks is riddled with wrong information.

Its now 2022 and the presidential election is coming and the son's dictator is running for the highest position against the same person who beats him during the 2016 vice presidential election. The tide is changing this time because of the emergence of young voters gearing towards the new wave of politicians but its harder to fight for votes knowing that the machinery handling them is leaning towards the Marcoses.

This movie helped me get to know what type of person Imelda and their family. Their tagline Babangon Muli is not for the filipino people suffering for the effects of COVID-19, its for their family to go back to the Malacañan Palace and get back the power and clear their names from all the charges.",2022-03-13,0
The Kingmaker,"Excellent Documentary: To all the people believing in somebody coming in and just giving away crumbs to make you shut up and just stop complaining, while they are living the grand life with money stolen from you and your countryman ...this documentary is a pearl. You just can see how they really are. True selves because they can't help it.",2020-03-02,0
The Kingmaker,Marcos Regime the darkest in Philippines history: My opinion: The Marcoses siphoned and plundered the country's fund and Imelda is convicted with graft and corruption but she wasn't jailed because sadly that's how the justice system works for the powerful. Beautiful documentary.,2020-08-23,0
The Kingmaker,"Became president to maximize wealth: Imelda said it herself. Marcos wanted to be president because he wanted to maximize his wealth and talent when a president supposedly gets fewer pesos than a private entity execs.

This documentary offers an interesting take on the Marcoses. It serves as a prelude to the current political landscape in the Philippines. It brings two contrasting narration of events but with a nice treatment where the viewer, no matter how naive, will understand who's telling the truth.

This modern take on story telling is designed for the youtube generation. It quickly moves from one topic to the other so as to keep the audience attention. Didnt waste any minute.

Thank you for this documentary. Every Filipino should watch this.",2020-04-09,0
The Kingmaker,Corruption Unraveled: The Marcos regime is one of the most corrupt in the history of Philippine politics. This is truly and eye opener. I'd recommend for you to watch this.,2020-06-02,-1
The Kingmaker,"Imelda shines a light!: This documents the darkest side of human nature. The Kingmaker shines a light on those who wish only wealth and power, and don't care how they get it. These narcissists are totally out of touch with reality, the ends totally justifies the means. The correlation between her and Hillary Clinton are closer than you think!",2020-03-07,-1
The Kingmaker,"Top directing: The great thing about this documentary is the way it switches after the first hour,from feeling sorry for the monster that is Imelda to feeling disgust...but not only that,listening to the people who have tried to change things and their punishment thearafter trying to defend what is arguably one of the most beautiful places on earth...",2021-07-22,0
The Kingmaker,"best documentary i watched in a while.. a very sharp and witty journalism, every clip is included for a reason and contributes so well to the storytelling",2025-12-07,0
The Kingmaker,everybody saying we shouldn’t have given Imelda any air time is 1) missing the point 2) misunderstanding the creative contextthis movie is a great glimpse into everything that’s wrong w the philippines and uses stellar cinematography to achieve that,2025-12-07,0
The Kingmaker,Revealed a lot of controversies about the Marcoses that were never taught in History class. It is infuriating that we let this family =erase their atrocities of the past.,2025-12-02,0
The Kingmaker,"the filipinos are stupid.that is basically it. we are stupid.stupid enough to let our ignorance lead the way to marcoses reign in leadership. the way our own people fought this stupidity, just for it to come back is literally a hard shit bomb dropping over us.",2025-12-02,0
The Kingmaker,"""Perception is real, the truth is not."" - Imelda Marcos in The Kingmaker (2019)This statement right here can sum up the propaganda that the Marcoses is instiling to the people (since the 1990s), the history that they are trying to deny, distort, and dispose, and their service that was never for the Filipinos but for those who are in their exclusive class (most highlighted by Marcos' quote about public service being a chore).Other than the Marcoses' edifice complex, the extravaganza, and their lavish lifestyle, Imelda's quote about giving birth to the world is one of her notable [ambitious] quest in the documentary. The tone during the segment where she [indirectly] states ""love conquers all"" while the extrajudicial killings during the Martial law as well as the contrast between the poor and the rich who uses them as ""props to display performative authenticity"" for their campaign played perfectly juxtaposed Imelda's quest. How can you call someone a mother who thinks that hurting one is a form of love? How can a mother treat those animals who she banished from their homeland and caged them in Calauit Islands to make a sort-like Noah's Ark paradise while she cast away those people who truly lived in the island from the start? How can be a supposedly loving mother be so cruel? Until today, the historical revisionism, distortion, denialism, and misinformation ran rampant. There should be a mandatory course or subject in elementary and in high school that will explain what happened in the 70s and until today. And not just with a paragraph [like in modules/book] that one can overlook and skip but with the details that engaged to the essence of the terror of corruption [checked by professionals in the field of history].The people like you shall not look for the stars through the luxury that was bought with taxpayers' money but through the grounds where you stand, through the land that was invaded, freed, and invaded again by its own people, and through people like you who yearns for a tomorrow where one can exist without worrying for their basic human rights and where the government truly served what it is mandated to be.But before you can look above the stars, you must open your eyes with the real truth initially below your radar. #NeverAgain#NeverForget#JusticeforMartialLawVictims#JusticeforEJKVictims",2025-12-02,3
The Kingmaker,"all this talk about ""mothering"" when all you are is a motherfucker.",2025-12-01,0
The Kingmaker,queen of delulu,2025-12-01,0
The Kingmaker,"(Random rewatch di ko rin lam baket)""Can I ask for another ballot?  I messed up  I shaded two presidents ""Obob""We don't know what to do, actually. You can't run to the police, it's the police that's doing it""FUCK THE POLICE THRU AND THRU kahit kamaganak pa kita""Since Duterte cannot govern democratically, he has to create an enemy to justify the use of force""Garapon ka nang uuwi sa Pinas pakyu",2025-11-29,0
The Kingmaker,eat the rich #bbmsara,2022-03-20,-1
The Kingmaker,for thesiss purposes ,2025-11-24,0
The Kingmaker,tangina talaga,2025-11-22,1
The Kingmaker,"It’s easy to write about this film, and also extremely difficult. Personally, I’d rather talk about the difficult part. Writing an “easy” review simply means pointing out how the resurgence of authoritarian legacies is happening everywhere, and how films like this serve as warnings to the public. That’s a straightforward approach. But I can’t shake the feeling that if we rely solely on films to revive fear of past atrocities, the effect may actually backfire. Throwing all the past horrors…",2019-11-17,0
The Kingmaker,"never again, never forget.",2025-11-19,4
The Kingmaker,"“It’s difficult and it’s also scary — in the sense that if these people are brought to power again, there’s a very big chance that the sins of the past will be committed again in the future.” And since then, the Filipinos have yet again elected another Marcos and Duterte back in government.No sympathy should be given to political dynasties that have only contributed to the pain and suffering of our people. I will not have another Marcos and Duterte who will make our country a polarizing laughing stock.Let’s vote wisely.Sana tama kayo.Sana mali kami.Tama nga kami.",2025-11-19,0
The Kingmaker,"The documentary is not just about Imelda thank goodness, but the political situation throughout and post the Marcos reign. File under ""Crime"".",2025-11-18,0
The Kingmaker,classic cancer behavior,2025-11-18,-1
The Kingmaker,"now who told this bitch that she’s the mother of the philippines  GIVE UP THAT DREAMMMM “when you lose your money… your mo- your mother… you lose everything.” napaghahalataang mukhang pera si tanga “martial law. that was the best years of marcos because that was when he was able to give the philippines sovereignty, freedom, justice, human rights…” girlypop lying through her teeth fr LMFAO the poor giraffes and zebras and other animals grabbed out of their natural habitat…",2025-11-14,0
The Kingmaker,imelda delulu,2025-11-11,1
The Kingmaker,"[Nov 2025 edit]Changed my rating to lower it. A political documentary like this cannot be viewed superficially. Regardless how good the production value is, we shouldn't give platform to the Marcoses for them to tell more lies to our faces. Additionally, it doesn't sit well with me how foreigners seem to feature one of the darkest moments in our country's history as just another interesting subject for a documentary especially when this was shot and released during the Marcoses' return to power.Yes, it may have shown Imelda's bullshit and the effects of their corruption. But they were still given a microphone to blast their lies into. I think Philbert Dy said it best in his review:""There are no two sides when telling the story of the Marcoses. They stole from the country, and tortured and killed thousands of people. Somewhere along the way, the film seems to come to the realization that Imelda isn't the harmless old biddy that they thought she was. But it's too late. They talked to her, and gave her yet another chance to say the vile things she's always been saying.""",2020-03-22,0
The Kingmaker,delulu si imelda !,2025-11-09,1
The Kingmaker,"Filipinos will watch this and like, heeelll yeah FEED THE RICH!",2020-12-26,0
The Kingmaker,dogshow,2025-11-07,1
The Kingmaker,"it deeply frustrates me that people aren’t as angry as they ought to be towards the Marcos family. this includes those who recognise their wrongdoings but simply sit back, because such lenience is what allowed the Marcoses to once again set foot on Philippine soil with no punishment. I hold no remorse when I say that, even at her age, Imelda deserves to bide what time she has left behind bars. literal piles of documents and other forms of evidence, yet nothing has been done? it’s even worse when people say phrases such as “God will judge (the Marcoses) when their time comes” ... I do not say this because of my lack of faith, but no human will ever be certain of what comes after, so how can we trust that they shall face their sins? why can’t we enact justice while they are still around? while there are still living witnesses to their crimes?I appreciate the subtle humor in allowing Imelda to spew lies, then immediately placing true, opposing statements right after (ex. when Imelda claimed that no people lived on Calauit island, followed by residents themselves speaking on how they were displaced). but I feel that this documentary was hesitant in really digging into the nasty details. these are general facts we already know (afterthought: I’ve realised that this documentary serves as an introduction for foreigners. still, it is not as critical as it could be). some may come out of this still having a neutral or even positive opinion on the Marcos family, especially with Imelda posing herself as this elegant peacemaker when she is nothing of the sort. the Marcoses think they are royalty when every bit of high-class society they got to experience was only made possible through the ill-gotten wealth of the masses.",2022-12-31,0
The Kingmaker,IMELDA MARCOS PAKARAT,2025-11-02,1
The Kingmaker,we have this and the ppl still chose marcos in 2022  shame,2025-11-02,2
