review_index,sentence_index,sentence_text,sentiment_label,sentiment_score,sentiment_confidence
0,0,This is the truth: This documentary perfectly captured the experiences of the Marcos and the exploited people.,negative,0.6449825763702393,0.6449825763702393
0,1,It showed what it is like to live with extensive wealth and how the Marcos regime used it for political power and their self interests.,positive,0.7299363017082214,0.7299363017082214
0,2,This is a must watch film for those who wish to see the Marcos' perspective on Martial Law and their countless political movements.,positive,0.9954267144203186,0.9954267144203186
0,3,"This documentary shows the truth, through direct interviews with the Marcoses, and it is up to you if you are going to believe it.",positive,0.9539884328842163,0.9539884328842163
0,4,"As John Henry Newman would say: ""We can believe what we choose but we are answerable for what we choose to believe.",positive,0.9046399593353271,0.9046399593353271
1,0,"Prescient and illuminating: As I write Ferdinand Marcus junior or 'bong bong' has been elected president of the Philippines, so it's a good time to view this documentary about the Marcos dynasty, its rise, its fall in the peoples revolution of 1986, and the gradual and dramatic rise again of its fortunes; in particular this film focuses on the surprisingly influential, some might say malevolent role that Imelda Marcos played.",positive,0.9948345422744751,0.9948345422744751
1,1,"It's a shocking tale of shameless corruption nepotism cronyism and greed, at the end of which one can only feel saddened for the Filipino people, who have been used abused lied to and robbed over decades by their elite, and still are.",negative,0.7588866949081421,0.7588866949081421
1,2,"Half of todays Filipino voters were not alive for the first Marcos era, but I was there in late 1985 and saw the huge disparity between the rich and poor, and just how hated the Marcos regime was at the time.",positive,0.6903761029243469,0.6903761029243469
1,3,Sadly all of that now seems to have been forgotten.,negative,0.7222139239311218,0.7222139239311218
1,4,If you want to know something of the true story of the Marcos 'dynasty' see this fine doc.,positive,0.976691722869873,0.976691722869873
2,0,"Privilege matters, Political horror!: Well worth watching.",positive,0.9738759398460388,0.9738759398460388
2,1,Amazing documentary about privilege and the sociopathic mindset.,positive,0.982781708240509,0.982781708240509
2,2,It's about a narcissistic self serving former first lady abusing her position.,negative,0.6290678381919861,0.6290678381919861
2,3,The film shines on the ugly politics of the Philippines.,positive,0.7813401818275452,0.7813401818275452
3,0,"Excellent insight into vile monsters !: I love the Philippines, visited many times and my longterm gf is there.",positive,0.9979130625724792,0.9979130625724792
3,1,The carnage left behind from this disgusting dynasty is there for all to see today in the form of vastly stunted economic growth down to the billions of dollars embezzled by these creatures !,negative,0.7101885080337524,0.7101885080337524
3,2,This documentary is wonderfully put together but leaves me sad to see a country I am so fond of suffering even today from what these two people did !,positive,0.9149086475372314,0.9149086475372314
3,3,Her state of mass delusion is clear for all to see in this excellent piece of work !,positive,0.984847366809845,0.984847366809845
4,0,Real life political horror: Horrifically illustrates how a nation's collective memory can be erased in real time and the true limits of democracy in the social media age.,negative,0.595791757106781,0.595791757106781
4,1,I liked how it started off making us think it was going to be a lifestyles of the rich and famous and slowly peeled away the facade and leaves you with the punch to the gut.,positive,0.92383873462677,0.92383873462677
4,2,Imelda comes across as a complete psychopath with absolutely no perception of reality.,positive,0.5238566994667053,0.5238566994667053
4,3,This is what happens to you when you drink your own kool-aid folks!,positive,0.9870749115943909,0.9870749115943909
4,4,"In a world where social media can be manipulated to create alternate realities, these historical revisionists will find it even easier to get away with murder.",positive,0.7112483382225037,0.7112483382225037
4,5,God help us all.,positive,0.9337465167045593,0.9337465167045593
5,0,Very intersting despite being ruined: It is a story of how corruption enters a nation and stays there forever.,positive,0.9838865399360657,0.9838865399360657
5,1,The documentary is very intersting in this aspect.,positive,0.9950124621391296,0.9950124621391296
5,2,The maker of the documentary is very one sided and has little knowledge of the local culture.,negative,0.9200654029846191,0.9200654029846191
5,3,This is of course very irritating.,negative,0.9054256081581116,0.9054256081581116
5,4,She paints the obvious corrupt opposition as saints.,positive,0.6316536664962769,0.6316536664962769
5,5,Anyone wiht any knowledge about that culture should know how stupid the maker of this docu is.,negative,0.9326352477073669,0.9326352477073669
5,6,"Apart from that, a very interesting documentary worth watching.",positive,0.9934254884719849,0.9934254884719849
6,0,"""Perception is Real and the Truth is NOT"": With the Marcoses' consistent effort to rewrite history, this documentary reminds us that behind the grandeur and elaborate schemes of the Marcoses are the stories of pain and sorrows of the victims, which are not mere perception but the truth.",positive,0.5543699264526367,0.5543699264526367
6,1,"As Greenfield's style is apparent in the documentary, it did not fail to capture the depressing history of the Philippines under the Marcoses and what may be an apparent future if they were put again into position.",positive,0.9038562774658203,0.9038562774658203
6,2,The contrasting images presented by Greenfield is a great divider between Perception and Reality.,negative,0.786387026309967,0.786387026309967
7,0,The Kingmaker - Film Review: The Kingmaker is a documentary written and directed by Lauren Greenfield.,positive,0.8179473876953125,0.8179473876953125
7,1,"The film follows the political career of Imelda Marcos from the start of her political career with her husband Ferdinand Marcos, the fall of their power and exhile to Hawaii, and then their resurgence after her husbands death and rise of the political career of her children - especially her son Bongbong Marcos.",positive,0.9707280993461609,0.9707280993461609
7,2,This film does a good job of contrasting the story Imelda portrays versus the reality of those under her rule.,positive,0.9631298780441284,0.9631298780441284
7,3,Imelda will say how great her husbands reign was.,positive,0.9929183125495911,0.9929183125495911
7,4,Then you have individuals speak about the atrocities of what occurred.,positive,0.6157066822052002,0.6157066822052002
7,5,I found the film very informative as someone who did not know about the subject matter going in.,positive,0.9972041845321655,0.9972041845321655
7,6,I also appreciated how the film showed the current scene of the Philippines with Bongbong running for Vice-President (and who is President as I write this 6 years after the film came out).,positive,0.9838463068008423,0.9838463068008423
7,7,"Overall, I think this is a worthwhile watch to learn about the history of the Philippines political dynasty from 1965 - 1986, and then again around 2016. - 7/10.",positive,0.9619067311286926,0.9619067311286926
8,0,Uncovering the Fantasy World of the Marcoses: Brilliant documentary.,positive,0.9965079426765442,0.9965079426765442
8,1,It shows how much you can do with money; it can turn lies to history.,positive,0.6642666459083557,0.6642666459083557
9,0,An eye opener: Highly recommend this.,positive,0.9977163076400757,0.9977163076400757
9,1,Like her or loathe her you can't deny the blatant pesos for politics.,negative,0.6005728244781494,0.6005728244781494
9,2,Watching Marcos hand out wads of cash to kids in a hospital ward in front of the cameras was as cynical as it was sickening.,positive,0.5497697591781616,0.5497697591781616
9,3,I've never paid much (read: any) attention to Filipino politics but will be following along the 2022 election with interest!,positive,0.9803735017776489,0.9803735017776489
10,0,Dark truths are there if your eyes are open: This is an incredibly well put together documentary.,positive,0.9776365160942078,0.9776365160942078
10,1,"Imelda Marcos doesn't exactly shoot herself in the foot - she is too smart to do that, but you nonetheless get to see the realities she so flagrantly ignores whilst living in her self made fantasy world.",positive,0.9110260009765625,0.9110260009765625
10,2,How many billions has this power crazed matriarch squirreled away in 140 countries across the world.,positive,0.9183135628700256,0.9183135628700256
