username,rating,review_text,date,likes,comments,viewing_type,user_liked
djked,,"It's a first, so I'll give this one a try and pretend that I didn't know someone, who is a pathetic excuse for a human being, have voiced one of the characters here. The film's title fits him.",2020-09-26T13:36:05.362Z,4,2,watch,False
fiel,,:/,2020-10-07,0,0,watch,False
vxhn,6,"Ang cute ng pelikulang ‘to! Aliw ako sa mga pun jokes sa mga background—Jolibog, unang kagat, tinapay lahat.",2020-10-29,1,0,watch,False
ruke256,5,"I was pretty much on the bandwagon with this movie, mostly because of the devoted effort that the animators have worked on from Rocketsheep Studio's last film from 2016, Saving Sally, a beautifully made film mixing animated and live-action elements in a seamless polish, only to be pulled down with a standard plot and intolerable characters. So even with my skewed expectations for this film, I still do hope that this would fare better, and...It does, but it does not at the same time. So I may as well start out with the cons before the pros, and these have to do with the story and themes itself and how the tone can clash with the animation. Given that it's rated 18, the themes that it tackles do fit well, but how they are executed is in poor taste, which does remind me of how Saving Sally executes its own mature themes, but at least this film gives these themes a bit more room for discussion, even if it's dealt with in a sour, and sometimes questionable manner. The story is simple yet dramatic and can hit some good moments. I just wished it was a bit longer and does not cut through dramatic scene to dramatic scene so quickly, which made the resolution and ending so spotty, unsatisfying, and utterly rushed. The overall tone can clash with the animation in a consistent way, as some scenes do not mesh well with the hyperbolic nature of the animation, which can make some of the melodramatic scenes to be unfit and oddly uncomfortable with the cinematic and energetic flow of the animation.Pushing the flaws aside, I will say that the animation is excellent all throughout. Smooth, expressive, and gives the characters a lot of personality. The backgrounds are detailed with anthro versions of real-life brands, mottos, and references which gives more attention to detail to the movie. And the performances for the most part are also in their A-game as well, especially Angelica Panganiban.Even despite my mixed feelings for this movie, I still do want to convince everyone to watch the film, because if the film managed to succeed in its streaming sales, then that would determine how many animated films would go down the line in the years to come. And hey, with the animation this good, who wouldn't be excited for more locally animated films such as this one?",2020-10-29,2,0,watch,True
christianserdon,4,"Plotwise, it's cliche. The characters are horrible and even the titular role isn't really admirable nor rootable at the very least. The puns are enjoyable every once in a while, though.Still it's good to see that the country is progressing when it comes to making animated films like this.",2020-10-29,0,0,watch,False
janyuan,4,feel ko magkakasundo si elsa (jowable) tsaka si nimfa kung sakaling magkakilala sila. masyadong uhaw na uhaw sa etits???? ¿?,2020-10-29,0,0,watch,False
sanakim,7,"-super funny like,, i haven't laughed at a movie like this recently!!-shows how you can never escape toxicity in terms of love and friendship-being too ambitious will get you nothing tsk tsk",2020-10-29,0,0,watch,False
rafbautista,6,"I think it’s pretty good. It’s fun to watch, has strong voice acting, and has a well-detailed world. The only problem I have is that the story is a bit basic and that one of the voice actors is R**in P**illa",2020-10-29,0,0,watch,False
dennisthemenace,5,"Commendable for its animation, however, the story is as usual deals with kabit kabit which we’ve already seen so many times in Philippine Cinema. Don’t get me started with that scene with the radio DJ. Ugh.It has its political easter eggs but it was too safe.",2020-10-29,0,0,watch,True
helloonasty,2,"I honestly hate the voice acting and the typical love trope in this movie. The animation however was enjoyable and entertaining, fun and unique to watch and would like to see more from the philippine animation industry.",2020-10-29,0,0,watch,False
niborquinones,5,"Low expectations because Saving Sally is disappointing af lolEntertaining at best, questionable morals at worst. The animation is very good though. Lots of funny sight gags and admirable attention to detail.My namesake can choke on his Jolibog.",2020-10-29,10,1,watch,False
_ivanpasia,6,Honestly not bad when it comes to the execution and look of the whole film. It's a reflection of a story that actually happens in this age. It's aytt,2020-10-29T06:33:09.945Z,0,0,watch,False
hilarion,5,Distinctly Pinoy story (and I mean Pinoy with problematic tropes and questionable decisions lol) and AMAZING animation. Pretty much it for me.,2020-10-29,5,0,watch,True
philbertdy,2,"Yeah, I hate this. I guess the film deserves credit for its look, which is genuinely appealing and clearly the work of artists who put a lot of thought into the details of this animal version of the Philippines. The animation is constrained, certainly, but it manages to create a strong sense of movement and action when it needs to. But yeah, I hate it. This story seems to have been inspired by that completely reprehensible call-in radio show where…",2020-10-29,85,0,watch,False
pkhysn,7,"It's THE CLIMB.Again and again, hiwalayan niyo nalang muna kung hindi niyo na gusto bago kayo humanap ng iba. Please lang gyod.P.S Mga animal gyod diay sila. Literally and figuratively.P.S (2) It's the puns and humor for me.",2020-10-29,0,0,watch,False
antonioagregado,4,"“Jolibog, unang kagat, tinapay lahat.”",2020-10-29,0,0,watch,False
issavers,4,typical na toxic romance-infidelity tropes but the stars are bc the animation is pretty,2020-10-29,0,0,watch,False
