username,rating,review_text,date,likes,comments,viewing_type,user_liked
aremcu,6,"PUSANG INAMOedit: i swear, if this is just a movie na hindi animated, i would have given it half of a star and i'm not even giving two stars below... that's how poor the writing is, but I GET IT it's showcasing the talent of pinoy in animation, di ko siya inexpect coming from this country, the animation was SO CUTEEE yun lang ang masasabi ko. storywise, i know that it is satirical, and i think, if you're one of those people na gusto ng seryosong film with mas seryosong plot, you need to LOWER YOUR EXPECTATIONS, yung tipong nasa ilalim ka na ng lupa, because this movie is not made for that. the story is about a girl na gustong umangat sa buhay kaya nagmahal ng mayamang lalaki, typical pinoy, umamin man tayong lahat dito o hindi, shows betrayal na friend mo tas pinatos yung ex mo right after nyong mag-break, and all of these things, kahit gaano kaseryoso yung topic, nung nabuntis man siya or kahit ano, joke pa rin siya at nakakatawa pa rin. and maybe that alone, to make me laugh every time na may ibatong sarcasm o joke or scenes na sobrang pambobo, it IS SO GOOD, kaya masasabi kong bagay siyang maging animation movie lang at wag nang ireenact with real people, because this type of movie needs to say na HOYY WAG MONG SESERYOSOHIN HA sa pinakaunang punto palang na makita mo yung poster, pusang ina kasi.the casts??? yung voice nila tangina bagay na bagay sa characters, angelica panganiban HAHAHAHAHAHAH tangina may mga fight scenes pa ang mga hayop.I LIVEEEE FOR PINOY ANIMATIONS LIKE AFTER WATCHING ITI MAPUKPUKAW NOW THIS... GIVE ME MOREEE",2025-12-07,0,0,watch,False
potchacco,6,Mga haup,2025-12-05,4,0,watch,True
ricezzn,4,are we deadass HAHAHAH,2025-12-01,0,0,watch,False
huhuha,7,NALIBUGAN AKO,2025-11-30,0,0,watch,False
mikhaamayhay,3,"whoever casted robin padilla, bagay nman kasi parang aso din nman siya in irl, tahol ng tahol",2025-11-24,0,0,watch,False
apollo_,6,Hayup tlga 😭😭😭,2025-11-19,0,0,watch,True
bungaku,6,i need more animated filipino films like this,2025-11-18,0,0,watch,False
just2good,6,A very horny furry sex comedy. I really liked the art style and the character dynamics are interesting enough. I learned a bit about Philippines class dynamics. Easy watch but feels a tad long even at its short run time. Also all these cute animal designs but no skunkies wtff :(,2025-11-12,19,2,watch,False
calaykay,,i think hayop siya,2025-11-13,0,0,watch,False
cashukey,2,a star for the animation. ganda! but but but the plot is moronic,2025-11-12T07:51:14.625Z,0,0,watch,False
akasaka_sad,8,"i love this, nagulat ako sa mababang rating huhu at wala akong pakialam kung hindi niyo gusto.ang animation???? pinoy vibes at pinoy pride at its finest!!!! ang story???? sobrang cliche pinoy storytelling!!!!nakaka relate si nimfa dahil mataas ako mangarap at nakaka galit si roger at iñigo totoong kahit ano man ang estado sa buhay ng lalaki ay redflag pa rin! ang ganda ng mga mid-credit scene ni nimfa!i don't hate the plot, ang ganda ng pagpapakita ng buhay ng mga normal na pilipino. atsaka as a communication student gusto ko yung pagpapakita ng malaking aspeto na ginagampanan ng mga radyo sa buhay ng mga pilipino.",2025-11-02,0,0,watch,True
ratemytaste,8,"daming funny moments, and gusto ko yung spin niya regarding nag-aagawan-plot na nangyayari sa mga romance movie.Mabuting tao si Jerry and inexpect ko na magkakasomething sila sa dulo HAHAHA tho such a shame na yung development ni Nimfa bilang isang babae, manggagawa, anak at kapatid ay nangyari sa ending credits. The movie was also clear about class contradictions with Inigo’s character (hated that nothing happened to him in the end). Generally nothing really happens in the end, but i get it. Its a take on love stories so i didnt expect much. so still a nice film",2025-10-29,0,0,watch,True
foiiiii,2,enjoyed the graphics not the plot over sa misogyny ha,2025-08-10,0,0,watch,False
sorachii,,jerry my goat,2025-10-28,0,0,watch,True
vlyxnn,2,"first, animation is good! napansin ko talga yon kasi ganon sya kaayos. but then, sometimes na-overshadow na rin nya yung scenes no? i feel like if this movie really would have a good last stretch baka tumaas ratings neto.. im just saying that this movie really had the POTENTIAL just needed a new way to explain what happened to nimfa with all the shitty men she had! SHE’S REALLY IS NOT THE PROBLEM HERE its the misogyny that eats us all, classism and many more. HAY!!! nimfa ang bagong misunderstood posikat",2025-10-28,0,0,watch,False
mismoniker,6,ganda ng art at animation pero kebs lang story. ang labo ng sinasabi niya about gender at social class? medyo misogynistic pa rin??? pero support ko pa rin rocket sheep! siguro kailangan lang nila ng magandang script!!,2025-10-28,0,0,watch,False
intranationale,5,misogynistic and horny and anticlimactic ending... but damn the animation is so good and full of references,2025-10-19,1,0,watch,False
7a1ya,3,"ТГ канал🐱🐶🐰🐸Буквально анимационная версия Materialists. Приятная визуально анимация, кроме момента секса, это холый неприкрытый кринж. (в тг канал скинул пару картиночек). Сюжет прост и поверхностен. Нимфа приходит к чему-то положительному, для себя как личности, только в конце титров. Этот момент стоило раскрыть подробнее, а не вставлять в виде мельком показанной картинки. Надеюсь у аниматоров будет еще работа, с более достойным сюжетом. 😁- Animation Week Challenge 2025 -",2025-10-27,5,0,watch,False
kakero,5,"natatawa si angelica, halata hahahaha",2025-10-27,0,0,rewatch,False
cinemastudiz,,Everything romantic when animated,2025-10-26,0,0,watch,True
movieman9087,5,"It's so trashy and messy I love it, it's pretty funny too, though the voice acting could be better. But the animation was great.Might not be the best thing in the world, but I'm glad it got made nonetheless.",2025-10-27,0,0,watch,True
grborlongan,4,Basic story and passable screenplay but meticulous animation,2025-10-26,0,0,watch,False
blsslpz,4,2 pity stars for the good animation. but i also did not like robin padilla's voice,2025-10-26,0,0,watch,False
mryalln,6,Watched this for our film class. It was pretty entertaining and fun,2025-10-23,0,0,watch,False
jurianernnd,8,"Film pinoy furry 🔞 anjrit, animasinya keren juga lagi + ada politiknya di credit.Iñigo & Roger ganteng shyttt😭",2025-10-23,0,0,watch,False
wolfcutloser,3,“tangina ka!” “sorry nay”love the animation and jerry. not the wattpad ass plot,2025-10-22,0,0,watch,False
jorozz,4,the story was so bad (two stars for the animation) AND our group got the lowest score for our assessment on this film so wtf,2025-10-20,0,0,watch,False
deyopransis,8,"When a cheater meets a veteran cheater dapat title nito eh. Pero ngl, pasok sa Hear me out si Iñigo at Roger (weirdoooo)",2025-10-18,0,0,watch,False
judeauzee,8,WHAHAHAHAHHA LIBOG,2025-10-18,0,0,watch,False
ahnriaa,,wala po tayong winner tonight… except for the animation. sana bumawi rocketsheep sa zsazsa adaptation nila!!,2025-10-17,0,0,watch,False
rashlyrehc,6,surprisingly funny,2025-10-13,0,0,watch,False
beardedbagel,9,"honestly kung araw-araw ba naman pares kinakain ko i'd crash out also.this had a good take on the usual pinoy teleserye crap but in such a light and comical way without diluting the theme so much. the animation was so good and the voice actors really portrayed the characters well!!this was such a fun watch pero THERE WAS IN NO WAY ROGER WAS A GOOD GUY, MR RADIO DUDE WAS A FUCK ASS AND HAD NO RIGHT TO SAY THOSE THINGS TO NIMFA ANYWAY SANA MAMATAY NA LAHAT NG ROGER SA MUNDO PLs.",2025-10-12,0,0,watch,True
chezly,6,"as much as i enjoyed this watching, after a while i realized how much things i let slide like cheating and misogynistic remarks just because im distracted of how fun the animation is.",2025-10-08,0,0,watch,False
pandeesal,4,2 stars for the animation,2025-10-10,0,0,watch,False
iejdk,2,"glorified cheating in guised of satirical humor about relationship, sabay poverty porn 🔥 basura story, solid animation.",2025-10-10,0,0,watch,False
aeramoreugettda,10,"i quote “sinong bitch sa atin?“ daily// one of my favorites ever . first time i watched this, i recommended it to my friends who i knew would understand the sarcastic humor and plot hayop ka gives away. the artstyle and the graphics were beautiful too and complimented each dialogue very well",2025-10-09T05:19:20.803Z,0,0,watch,True
kycards,6,love the animation. the story? not so much...,2025-10-09,0,0,watch,False
aewoniee,6,Ganda nung animation tsaka nung cast (minus Robin) pero yun lang,2025-10-08,0,0,watch,False
neiko_1,2,kalandian,2025-10-01,0,0,watch,False
attamarkl,5,pusang ina nilang lahat except kay jerry,2025-10-01,0,0,watch,False
themichaelcarlo,6,"I love the art style, the animation, humor, visual gags, and the Filipino-specific easter eggs peppered throughout the film. It’s clear the animators had fun making Hayop Ka!My only problem is the romanticization of cheating in a relationship. Sure, Nimfa, the titular character, received a verbal lashing after confessing her mistake on air (spoofing a famous, self-righteous love guru radio DJ). And she ended up facing the consequences of that mistake alone. But I don’t think punishing the woman should be the lesson here. Anyway, cheating and adultery stories in the context of Filipino pop culture is such a tired idea. I’m sick of it.Hopefully we see more Filipino, adult, animated films. As long as it’s not about cheating.",2025-09-26,0,0,watch,True
sinshims,1,animation is gud,2025-09-28,0,0,watch,False
skurtskrtt,6,"okay lang sakin ending kasi di nya na dinamay si larry, este jerry",2025-09-26,0,0,watch,False
unhingedboi,4,sayang ‘to ganda ng visuals pero yung storyline ligwak,2025-09-26,0,0,watch,False
thoughgirl,10,"Why are you guys taking this so seriously when it’s obviously meant to be funny/satire lol.You guys don’t know how to have fun. Nimfa’s literally living with her boyfriend na pares lang ang kaya ipakain tapos puro ka-eborgan vibes pa. Bagay na bagay talaga sa nag-voice over! At the end of the day, pareho lang sila ni Iñigo. Okay naman yung ending ni Nimfa, she lived independently. You guys just love to hate.Ang ganda ng animation! KUDOS(loveu sa mga reviews like mine)",2025-09-26,0,0,watch,False
jahrel_924,3,not my proudest turn on. am i a furry? 😭,2025-09-26,0,0,rewatch,False
algeom,7,Best Robin Padilla movie,2025-09-26,0,0,watch,True
nanayawara,4,di sha for me,2025-09-26,0,0,watch,False
aespatheticass,4,idc if it’s satire and representing how Filipinos are and they’re entirety — if that’s the case then there should’ve been clear criticism of it,2025-09-25,0,0,watch,False
mchie,5,"""ready to roll, mocha roll?""I still remember watching this movie 4 years ago, and it's one of those films that you can't help but rewatch whenever you stumble upon it. The story is not everyone's cup of tea but it's important to still show this side to people. The animation and the voice actors are GOOD!! 💕",2025-09-25,0,0,rewatch,True
cianamari,10,"""we got bojack horseman at home""the bjh at home:",2025-09-24,1,0,watch,False
sira__,6,wala tayong winner,2025-09-24,0,0,watch,False
sevnxd,6,kastang-kasta ah,2025-09-24,0,0,watch,False
_groudon,1,???,2025-09-23T11:36:04.728Z,0,0,watch,False
