username,rating,review_text,date,likes,comments,viewing_type,user_liked
yanikatie,6,bigat ba kat?,2025-12-08T15:49:31.607Z,0,0,watch,False
sophia57,8,"Well yes, you better leave that man to chase your nursing ambitions! I love when characters have to define their priorities and decide between two things that they desperately want. And I love even more when romance movies don’t make them choose the relationship. I can’t promise… that I won’t have regrets for all the things we weren’t able to do because we loved each other",2025-12-07,0,0,watch,False
mswholovesfilm,8,"they both became selfish for each other just to grow..Ethan wanting to have a life with joy, while joy wanting a life of her own..",2025-12-08,0,0,watch,False
abilenciaga,8,cineplex international village,2019-08-20,0,0,watch,False
colecole56,7,The ending really landed well and definitely leaves me really intrigued and interested in the sequel! Surprisingly healthy message not common in rom coms,2025-12-06,0,0,watch,True
chloririe,7,bibilhin ko lahat ng tinda mo para lang makasama ka but you’re not nerdy enough to understand thatLa La Land???,2025-12-05,0,0,watch,False
kirsxxten,10,Oh damn,2025-12-05,0,0,watch,True
gwenverse,8,bwisit ka ethan,2025-12-04,1,0,rewatch,False
dumblingz,8,"Baliw talaga tong si Lord, gagawa na lang ng mga lalaki, ginawa pang template si ethan amputa PAKYU ETHAN",2025-12-04,1,1,watch,False
1ticket4mepls,9,tama nga si joy,2025-12-03,0,0,watch,True
hooniebird,3,sybau insufferable pushy creep weirdo sad boy male lead,2025-12-02,0,0,watch,False
silvertabenemy,8,i'm filipino so i kinda have to like this movie,2025-11-30,0,0,watch,False
cursetinnnn,8,makes me want to go back to hk again huhu it showed me a different perspective of hk but in ofw’s perspective. loved that it was an open ending. super unnecessary ng sequel talaga,2025-11-30,0,0,watch,True
cathargic,,"personal bakstori: napanood ko 'to nang d maayos dati sa tv kasama pa ata mga relatives ko and everybody was talking like nasa bg lng tlg sha yung typical na pag may bisita d nakafocus sa tv pang background noise lang tas titingin lng from time 2 time not full focus LMAO pero i remember it catching my attention and i remember telling myself na gusto ko siya mapanood properly someday well that someday came HAHAHAreal review starts here 🤣goods naman sha for me tbh ang galing ng acting omfgggggggg stellar performance(s)! kumabog talaga shet kathrynnnnnn ipinakita mo talaga kung sino ka! slay! i remember may nadaanan akong interview niya saying how hard everything was for her shooting this but it really shows how everything paid off galing niya dito sobra, ito rin ata first big thing na wala ung 🤢 so glad for that decision na iba ung nagplay opposite her anyway lov the side characs na besties too super natural kaya what i can say about this movie is the best thing about it are the performances talaga iba pagkakadeliver nila and appreciate ko rin naman how it showcase ung buhay ng mga kababayan natin and presents conflicts not just with work but also with family and self and dreams maraming natouch na topics tong film na 'to dialouge medyo naooff minsan and may mga questionable talaga na sinabi at actions ang mga characters (lalo na kay alden BWAHAHAH) tho i think it makes it more realistic and humanizes the characters even more I'm just so glad with how they wrote kath's character din and how she stood her ground yas queeen!! and may mga binatong linya na kabog din naman talaga couple of gag worthy quotes pero minsan sumosobra na it doesnt sound authentic na ung flow HAHAHA pero saks lng kaya kahit pumapalya sa mga certain areas andon parin yung tatak pinoy + the humor lmao so i appreciate it and most of all i actually enjoyed it so its worth the watch and my time kahit d siya fully formed story and may mga shallow (& problematic) areas talaga I'll let this one slide bc enjoyable paren tbh kita ko bakit patok sa ""mainstream"".",2024-04-26,0,0,watch,False
my_lolita,8,"May hit sya. Hahahah, parang sapak ganon.",2025-11-29T10:45:51.491Z,0,0,watch,False
lavinzzz,8,Nakakainis talaga si Ethan sa totoo lang,2025-11-28,0,0,rewatch,False
francisdacoco,8,Gets ko yung reasons ni Joy and ni Ethan kung ano pinanghuhugutan nila sa actions nila. Gets ko yung lalim ng pagmamahal ni Ethan. Gets ko rin yung lalim ng pangarap ni Joy. A good movie indeed for someone na ginagawa ang lahat para sa mas maayos na future.,2025-11-28,0,0,watch,False
rfrmja,10,I can say this is one of the best filo movie out there. This is also the last movie that I watched inside a cinema before pandemic. So yeah 💗,2025-11-27,0,0,watch,True
michelleqb,8,Agay😭😭😭,2025-11-25,0,0,watch,False
useravy,5,pasapak nga kay ethan ahahhahahahahaha napaka paladesisyon sa future ni joy nakakainis sobrang creepy and problematic boy pack it uppp,2025-11-24,0,0,watch,False
john_the_geek,8,One of my favorite Filipino movies ever it showcase what it’s like to be an OFW,2025-11-23,0,0,watch,True
himala,,"good for her kunwari na lang walang part 2 kasi alam ko na maiinis lang akoidk siguro matigas na rin yung puso ko (charooooot) kasi inis na inis ako kay ethan sa movie na to like??? ok wala ka bang ibang aatupagin kung di yung love life mo oh em gee pero that's the point of the movie and ganun siyang klaseng tao :-P may character development naman sa huli kasi nauntog din lol while i was watching this iniisip ko yung eldest daughter trope na super over used na sa western media ok sorry not to dismiss or overlook mga westerners na eldest daughters pero iba talaga experience ng mga woc + marginalized na mga kababaihan as eldest daughters kasi mas complex + political + economic yung pinanggagalingan ng sama ng loob natin? ano ka ngayon ladybird dir by greta gerwig ok kidding hehe <3 di ko pa napapanuod so walang validity statement ko ethan is a pisces sun, taurus moon, scorpio venus, libra rising + mercury i know that for sure",2025-11-23,0,1,watch,False
unknownjunk,6,men need to let women chase their dreams and not hold them back,2025-11-23,0,0,watch,False
deniseopulencia,6,hits different right after a hong kong trip haha,2025-11-23,0,0,rewatch,True
sakayume,,my first filo movie!! i enjoyed it (i’m not ok),2025-11-21,0,0,watch,False
argenti,6,GOD FORBID A WOMAN ACHIEVE HER DREAMS AND CHOOSE HERSELF (tyl she did in the end) (what in the la la land bro),2025-11-18,0,0,watch,False
kolas04,8,lots of cheesy lines but they work,2025-11-18,0,0,watch,False
shoheijim,6,Corny but insanely fun watch for some regular fun,2024-11-30,0,0,watch,False
oliverous_,7,"My favorite parts of the film are the scenes that portray the real experiences of OFWs in Hong Kong. I also liked how Joy chose herself, pursuing her dreams instead of putting them on hold for a guy.",2019-08-10,0,0,watch,False
pandi07,6,"""ang choice para lang sa may pera"" Kathryn hard carry",2025-11-11,0,0,rewatch,False
strawbemyrrh,10,"there is someone out there who is willing to carry your burden no matter how heavy or embarrassing you think it is, there will always be someone",2025-11-14,0,0,watch,False
elillegallywand,4,sorry???? pero cornyy??? I might not be just the right age to appreciate this but helloo??,2025-11-14,0,0,watch,False
minmiiiin,,kathryn carried,2025-11-13,0,0,watch,True
ra11nview,8,"Actually, sobrang simple lang ng storya nito. Totoo talaga 'yung sinasabing minsan hindi nakakasawa ang isang kuwento kapag iniba mo ang setting. Naangasan kasi ako sa pagkakalatag ng mga karanasan ng mga OFW sa Hong Kong dito. Gumanda 'yung pelikula.",2025-11-12,0,0,rewatch,False
nazhalena,7,"right love, wrong lifetime",2025-11-12,0,0,rewatch,False
eyevan0_0,8,hayzt alden iyot maine,2025-11-10,0,0,watch,True
cmbynfred,7,"It’s a film about chasing dreams, choosing yourself, and realizing that love doesn’t always mean staying. Some scenes felt slow, but maybe that’s the point — love, like life, isn’t always rushed.",2025-11-09T16:10:29.353Z,0,0,watch,False
chadrsrrccn,6,There's a reason there's 'Goodbye' in the title. It is the sad truth of the film. Kathryn's lines juts gets me. Sorry. There will be that someone who will change your life unexpectedly for just a short period of time because you two will never be meant for each other. Because life plans back. Who knew that these two actors will be so effective with their craft and will have an effortless chemistry as an on-screen couple. This pairing really worked. Wow.,2019-08-26,0,0,watch,False
directedbysandy,9,"as a birthday tradition, i watch this film with a beer at hand and keep in mind that hello, love, again doesn’t exist 🍺 perfect!",2025-11-08,0,0,rewatch,True
shaney2000,8,"This is not a fairy tale. HLG shows us what love is for millions of OFWs — messy, complicated, and often not enough. I love that Joy and Ethan’s relationship does not pretend that love conquers all. Sometimes, the bravest thing you can do is choose yourself. ps. I miss my mama",2025-11-08,1,0,watch,True
chomulvr,9,"Ang choice, para lang sa may peraSobrang unfair ng mundo kay Joy. Hindi naman siya nagkulang. Sa katunayan sumobra pa nga. Sa pagmamahal, pag-alala, pagtatrabaho, at marami pang iba. Pero mapait pa rin ang mundo sa kanya. At lahat ng 'yon naranasan niya kasi wala siyang pera. Ang sad nung reflection ng reality ng buhay sa Pilipinas. Na para bang hindi na option ang migrasyon kundi isang daan na kailangan mong gawin para umangat sa buhay. All throughout the film, walang balak bumalik si Joy sa Pilipinas. Wala siyang balak maghirap nang sobra. Enter Ethan. Ang heartbreaking lang nung fact na he had to experience the same experience twice. Buti na lang he was matured enough the second time.Putek graduate ako ng college, anong ginagawa ko naglilinis ng inidoro?Dito ako umiyak eh HAHAHAHA. Joy is full of dreams. Mataas ang pangarap niya pero willing siya mag settle sa kung anong pwede niyang magawa. Ang sakit lang na kahit maraming propesiyonal sa Pilipinas, mas marami pa ring pipiling mangibang bansa kahit hindi akma sa kursong tinapos at sana'y pina practice nila. Joy and Ethan finding solace with each other feels natural. Na para bang they meant to find each other. Overall, the film is really good. I remembered crying the same amount as the first time I watched this. On different parts lang. Lol",2025-11-04,0,0,watch,False
