username,rating,review_text,date,likes,comments,viewing_type,user_liked
riza,8,really enjoyed this actually! could’ve been more interesting din if may time pa to focus on Joy’s family sitch but oh well also pogi pala talaga ni Alden ahahahfunny ng drone shots haha bakeeeet,2019-07-31,2,0,watch,True
drestelgalang,3,Nasolidify lang na di talaga ako fan ni Cathy Garcia Molina,2019-07-31,40,1,watch,False
lincoln_22,8,"THE COLLAB YOU DIDN'T KNOW YOU NEEDEDAs I've experienced a sunday in Hong Kong with my aunts, I can say that they accurately depicted a DH's life. Side characters helped a lot in building the love team's chemistry. They brought life that if they weren't in the movie, it will be boring. Kakai, Maymay, Joross, Jeff, and specially to Lovely. (Pero ang oa lang konti ng ilonggo accent) Alden is unleashed and at his best. Just give Kathryn an Oscar already! Just with her eyes, she can win an acting award. Screenplay is strong and cinematography is great. There's no wonder if this would be a blockbuster hit-- a crowd pleaser. Perfect amount of cheesiness, dilemma and PAIN. I recommend it.MA!-gandaMA!-nood na kayo hahahaP.S. Bakit daw ampopogi ng kapatid ni Alden",2019-07-31,2,0,watch,True
lincoln_22,8,FEELING KO MAY LEUKEMIA SI MARICEL LACSA-PANGILINAN PERO HINDI NAMAN KINONFIRM??? SO DOMESTIC ABUSE YON??? pero bat andun yung hong kongian na asawa??? Or inassume ko lang talaga para mas painful yung scene na yon??? Pero nagexpect talaga ako hahahahaha,2019-07-31,1,0,watch,True
coleendevilla,,kuuuuuuung diiii riiin tayoooo sa huliiiiii—,2019-07-31,2,0,watch,False
juvyabbott,9,"Ganda! Ang galing ng pagkakagamit ng timely issue of immigration to weave a beautiful, funny and relatable story. Ang painful nung subplot ng mom ni Joy. Would love to have it explored more, prequel, perhaps?",2019-07-31T18:26:55.424Z,2,0,watch,True
chasingmovies,4,"Watched Hello, Love, Goodbye at SM North EDSA Cinema 6.Its first hour & last 15 minutes tells an interesting, heartening, compelling and high-spirited OFW story fueled with great acting from Kathryn Bernardo. But Director Cathy Garcia Molina defecates those usual Star Cinema formulaic SHIT that stinks the middle part of the storyTOO BAD!The first hour of Hello Love Goodbye sets up an interesting & heartening plot & main character.Kathryn Bernardo portrays an empowering existential libertarian take of a Pinay OFW torn between her JOY dreams & obligation.But Director Cathy Garcia Molina poops many formulaic Star Cinema SHIT ruining the film.Hello Love Goodbye reminds me of Kita KitaHello Love Goodbye could've followed the cinematic style and storytelling structure of Kita Kita to be a great film.Kathryn Bernardo❤️Alden Richards is comparable with Alessandra De Rossi ❤️ Empoy Marquez#Kathden ~= #AlempoyIf only Direk Sigrid Bernardo be the director instead of Cathy Garcia-MolinaHello Love Goodbye could've been a great, well-made and well-treated film.Hello Love Goodbye works only at its first hour and its last 15 minutes of the film.The film lays out an interesting and compelling plot as well as a Kathryn Bernardo main character as Joy that we would all sympathize and root for.The concept of spiritually living in transit in a strange foreign land working hard to make a desired reality happen one day is the film's conceit that really hits hard to all of us. In this modern, demanding and even depriving world we are living in, we are all racing against time to reach our desired goals in life or else we would never achieve it.No time for JOY, no time for LOVE, no time to enjoy our current disposition NOW.This is pretty SMART stuff for a Filipino OFW story.We always watch Filipino films about OFWs where the OFW main character always sacrifices his/her life and personal well-being to fulfill his/her responsibilities to the family he/she left behind in the Philippines.This is a long worn-out story and we had enough of it.Hello Love Goodbye turns the table around.Instead of highlighting the selfless sacrifice of a typical Filipino OFW, the film smartly tackles an examination of a lonely OFW's existence in a foreign land balancing what he/she really likes against what he/she is supposed to do.I believe Hello Love Goodbye opens this paradigm which really hooks my attention and root for the story.Kita Kita almost touches this ingenious examination of OFW but never gets there as Direk Sigrid Bernardo never intends to portray such theme. Direk Cathy Garcia-Molina since ""My Perfect You"", ""The Hows of Us"" and ""Three Words To Forever"" is exploring and digging further her creative mind in coming up with ingeniously joyous Filipino stories while keeping that worn-out and obsolete Star Cinema Filipino family rom-com formula.Hello, Love, Goodbye is Kathryn Bernardo at her BEST so far. Good thing she escapes and breaks off from the tight-bound clutches of her constant leading man, Daniel Padilla. Therefore, Kathryn Bernardo is truly FREE as an actress and as a woman. Without Daniel Padilla at her side, Kathryn Bernardo did not fall down but instead rose higher than what she used to be just as an eye-candy amateur teeny bop damsel of a brute teenage heartthrob debonair.Kathryn Bernardo as Joy in Hello Love Goodbye successfully and convincingly emulates the existential crisis a Filipino OFW has to face as she braves working in transit in a strange foreign land while examining her choices and personal well-being in life. There is a strong libertarian take on Hello Love Goodbye that makes me like the film at first. And Kathryn Bernardo's great acting make that happen loud and bright on the big SM Cinema big screen. Again, this is smart stuff and Kathryn Bernardo as Joy would be one of the most striking Filipino movie characters that I have watched. At least on the film's strong first hour.Alden Richards plays Ethan who is more of a sassy comic relief yet effective MPDG for Kathryn Bernardo as Joy. His character as Ethan started out as a male creep stalking Kathryn Bernardo as Joy in a misogynist distasteful manner that even Senator Risa Hontiveros would never approve of. I guess Direk Cathy Garcia Molina is trying to make a Daniel Padilla out of Alden Richards with Daniel Padilla always bullying or tormenting Kathryn Bernardo for her to love him. Ahem! Direk Cathy. May Safe Spaces Law na tayo thanks to Senator Risa Hontiveros. Any naive sexualized young male Filipino doing a Daniel Padilla or Alden Richards to a Kathryn Bernardo is a crime punishable by fines or at worst, jail time.But I really DO NOT MIND Alden Richards portraying as a sex-crazy playboy luring Kathryn Bernardo into a one-night stand. I believe his flawed character gives merit to the powerful first hour and what Hello Love Goodbye is supposed to be.But I do wonder if Direk Cathy Garcia Molina inject that sex maniac character flaw for the male MPDG to justify that one-night stand motel scene. Seems Direk Cathy and the Filipino masses are really after Kathryn Bernardo shoving her face to Alden Richard's bare muscular chest. OMG! No wonder Daniel Padilla never passionately supports Hello Love Goodbye! 😂 I actually like the unusual pairing of the troubled & serious Kathryn Bernardo with the carefree & hypersexual Alden Richards.This unusual pairing reminds me of Alexandra de Rossi and Empoy Marquez of Kita Kita.The Kathden dynamic in Hello Love Goodbye could have been a more improved, more substantial version of Alempoy in Kita Kita.Kathryn Bernardo and Alden Richards interacting in Hello Love Goodbye is similar to those sassy Asian (Chinese, Japanese, Korean) teenage romcoms that I get to watch on HBO Red Channel. Only, the Kathden may be something more meaningful than a unusual campy romantic/sexual pairing.Yup! The first half of Hello Love Goodbye really sets us up for a promising story that I am eager to watch.Until the second half came which quickly abandons this great promising story for Direk Cathy Garcia Molina to POOP to us the standard Star Cinema formulaic SHIT that STINKS already!Hello Love Goodbye starts well.The film establishes an interesting, heartfelt OFW story, introduces a charismatic, relatable and empowering female Kathryn Bernardo lead character and builds up an uncanny yet endearing relationship between Kathryn Bernardo and Alden Richards.Am really expecting the real plot to unravel on the second half.However, I got appalled when Hello Love Goodbye suddenly shifts into your typical standard shitty Star Cinema family romcom formula that is so uncalled for!This really RUINED the movie!Depriving and ROBBING us of a great story to unravel.NABITIN na, NAGOYO pa tayo sa Hello Love Goodbye na ito!From an inspiring, heartfelt and empowering OFW story on the first hour;Hello, Love, Goodbye suddenly drops everything and shifts into a cheesy standard bloated Star Cinema romcom love story with lots of these shit:1. Unnecessary kilig moments, 2. Blatant over exposure of unnecessary supporting charactrers3. Instant falling-in-love that does not feel earned and 4. Speedy resolutions that does not make a big impact to the hearts and minds of the audience.So Cathy Garcia Molina still adopts her standard Star Cinema family romcom formula into the promising Hello Love Goodbye story even when the film does not really need it!Resulting to a big pile of mainstream Star Cinema SHIT taking over the 2nd half of the film.The Star Cinema formulaic SHIT forced upon on the 2nd part of Hello, Love, Goodbye feels like a typical shitty Star Cinema story of its own. Therefore, Hello, Love, Goodbye NEVER continues, NEVER finishes and CUTS SHORT its REAL and promising OFW story that it masterfully sets up at the start.We are DEPRIVED of watching a great story until the end in Hello, Love, Goodbye. The typical Star Cinema family romcom formula that Direk Cathy Garcia Molina is fond to insert is not bad always.This overused family formula does work well for some of the following Cathy Molina's films:1. ""You Changed My Life"" starring Sarah Geronimo and John Lloyd Cruz2. ""My Perfect You"" starring Gerald Anderson and Pia Wurtzbach and 3. ""The Hows of Us"" starring Kathryn Bernardo and Daniel Padilla......But NOT ""Hello Love Goodbye""!Instead, this Star Cinema formula injected at the middle part of Hello, Love, Goodbye causes a sudden change of the story, making me feel that I am not watching the continuation of its promising first half.This Star Cinema romcom formula which thrills the Filipino masses, unfortunately causes a big void at the 2nd half of the real promising story of Hello Love Goodbye.Which is TOO BAD and VERY DISAPPOINTING!It is really STUPID for Star Cinema ever since to forcibly insert that singular usual repetitive worn-out family romcom formula on most Star Cinema movies of varying stories.FUCK! SO STUPID INDEED!While this worn-out formula works on some films, it FAILS miserably and RUINS so many Star Cinema films.Including ""Hello, Love, Goodbye"" as its latest casualty!The audience never gets to watch the REAL, more heartfelt OFW story of Kathryn Bernardo as Joy and her libertarian existential adventures with Alden Richards as Ethan.Instead, we get to watch another typical Star Cinema formulaic romantic SHIT which should not be part of the real story.Just like any other typical Star Cinema filmsHello Love Goodbye is so BLOATED.1. Maymay Entrata is so underutilized! Although she has a charming potential to have an Pinay HK OFW movie of her own.2. Alden Richards as Ethan's personal existential struggle may not be necessary but should not be emphasized as much as the struggles of Kathryn Bernardo as Joy.3. Alden Richards as Ethan's family should never be one of the main focus of the film.4. Alden and Kathryn's friends should never overstay their welcome to the real story.5. Maxine Medina is a beautiful yet useless distraction to the movie!6. Those kilig scenes are so forced upon Alden Richards and Kathryn Bernardo. The REAL story does not even require for Ethan and Joy to madly fall in love and become sassy sweethearts.7. Finally, the interesting sub-story of Maricel Laxa as Joy's mother who is forced to marry a foreigner to secure a resident's visa is so not explored further. Too bad!These bloated 2nd half of Hello Love Goodbye gives us unnecessary SHIT while DEPRIVING us of the real stakes of the story that really matter.I assume that Cathy Garcia Molina intend to portray the over-glamorized 2nd hour to be Ethan and Joy's existence in the NOW.With this, the film really falters.But Hello, Love, Goodbye redeemed itself on the last 15 minutes of the film.It is actually the real resolution to the existential OFW crisis that both Kathryn Bernardo and Alden Richards are facing.But it is TOO LATE!A big void is left on the 2nd half of the film which fails to bear fruit the promising OFW story that the film first introduces to us.Hello, Love, Goodbye could have worked if its 2nd hour is a more serious, more composed, yet truly heartfelt & intelligently memorable adventures solely between Kathryn Bernardo as Joy and Alden Richards as Ethan.Both would continue to explore their libertarian existence together either as lovers or bffs. As they continue to work their asses off in Hong Kong, they continue to examine their existence, wants, needs, priorities and obligations.And that is where their prospect about love in the world of constant demands and uncertainties take place.All other supporting characters interact at their minimum as the real Hello Love Goodbye story is soley focused on Alden and Kathryn.This is how the movie should be if it were serious enough to be a great movie.I guess Hello Love Goodbye could've worked if it follows the story and cinematic style of Kita Kita.I do wish Cathy Garcia Molina consulted with Sigrid Bernardo on how to make Hello, Love, Goodbye work.Hello, Love, Goodbye is really a missed opportunity for Star Cinema.Rather than making a great movie which is a worthy follow-up to the great Quezon's Game movie 9/10.Star Cinema chose to inject the usual mainstream formulaic SHIT that really leaves a void on the potentially inspiring OFW story which really shortchanges the audience outright!P.S. As Hello, Love, Goodbye is an exhibition of Kathryn Bernardo at her bestAlden Richards at first plays a convincing & effective uncanny free-spirited character worthy of a companion for Kathryn Bernardo.Too bad Direk Cathy Garcia Molina fails to handle Alden Richards's good talent well in the film as she foolishly swings his character from a free-spirited sex-crazed playboy into a more serious yet passionate romantic.With this, Alden Richards still performs his best in his previous film, ""Imagine You and Me"" as Direk Mike Tuveria really puts Alden's talent to good use to make the ALDUB film work somehow.""The Hows Of Us"" may not be a great film. But its strength is its middle part which Kathryn Bernardo and Daniel Padilla exhibits that magical romantic feeling artfully around an old house that is really glamorously teasing our emotions.Some scenes before that mid-scene and the later scenes after are somewhat unnecessary and could be SHIT.But it didn't damage the story for its mid-scene is awesome.""Hello, Love, Goodbye"" is the opposite.The first half and the last 15 minutes of the film are GOLD in the story.However, the middle second half of the film suddenly turns to SHIT which irreversibly DAMAGED the integrity of the entire story and film.Finally, I also complain on how Hello, Love, Goodbye visually depicts the beautiful Hong Kong.The unusually bright lighting on various Hong Kong settings are slightly irritating to the eyes.I can't really determine if Hello, Love, Goodbye has poor cinematography or Direk Cathy Molina intends to have this visual flaw on purpose to support the real theme & message of the film.",2019-07-31,0,0,watch,False
peteragbayani,9,"You can look past through the sappy by it being filled with palpable OFW stories and heartfelt moments of almost every character (that scene when Joy sees her Nursing classmate having his honeymoon in HK, then is asked what is she doing there, what a tearjerker).It has many subplots about family, self-worth, career, and brief encounters that can stand alone, but their sum is a surprising and refreshing experience.(so much better when rewatched🥲)",2019-08-01,26,1,watch,True
mikkoringia,,"It’s actually good! There were parts of the plot that would make a better, stand-alone film such as Joy and her mother, the tricks for survival for Filipino DHs in HK, among others. It was understandable that the movie fell for the blockbuster dilemma but in total, I can see how the writing process was thorough, impressive, and a tad frustrating.",2019-07-31,2,0,watch,False
philbertdy,8,"It's the specificity that I enjoyed the most. There have been many movies about the OFW experience, but this one roots itself in the particulars of the Hong Kong domestic helper. They're women who have made the great sacrifice to be separated from their families for the sake of potential economic prosperity. But they labor under a system that seems intent on limiting them. They are given work, certainly, but they aren't free to seek other work. To do so is illegal. Joy is pursuing a dream, seeking a life beyond being the absent breadwinner for a family that doesn't feel her suffering. And because she wants more, she can't just stay within the very limited lines of her existence, risking arrest and deportation just to scrape together enough money to find a means to a better existence. In the margins, we see the internalized tragedy of a people convinced that this is somehow an acceptable situation: veteran domestic helpers constantly telling a neophyte that she'll get used to this life, a phone call back home that's about having to extend a contract another two years. And at the center, we learn about Joy's mother, whose tragic situation exemplifies the commodification of the Filipino woman, and the trauma that it brings.The relationship stuff is less specific. Ethan fits into the playboy made good archetype: a lothario who develops real feelings for a girl because she initially rejects him, and then seems to tirelessly pursue her despite her consistent pleas for him to stop. That's a lot less interesting, even though there are aspects to Ethan's story that are kind of intriguing as well. The film bends its story around the fate of their relationship, and it isn't quite able to make it feel weighty enough to stand up to the larger issues that the characters are facing. It's cute and stuff, but it feels like a distraction from the genuinely incisive examination of the Hong Kong OFW situation.But none of that erases all the good that the film does. Even as the romance takes the fore, the movie is smart enough to make it all feel burdened by the tragedies inherent to a people who have resigned themselves to the reality of a home that can no longer be their home. Also, Kathryn Bernardo is great in this. Joy is a fully formed character: an industrious young woman who has deferred her dreams under the pretense of a necessary selflessness, struggling under the weight of responsibility all while learning sad truths that will come to shatter her conception of the life she's been pursuing. There's a lot going on there, and Bernardo just takes it all in and makes it work. Good stuff.",2019-07-31,185,1,watch,False
