username,rating,review_text,date,likes,comments,viewing_type,user_liked
deansbrando,6,"inch resting,,,,,,",2018-08-29,0,0,watch,False
kaestuff,8,lowkey wishing they didnt end up together again but i am a bitch for these kind of movies soo,2018-08-29,0,0,watch,False
komiksq,1,Ano yon,2018-08-29,23,0,watch,False
philbertdy,6,"There used to be a time when the powers-at-be were trying to convince people that Daniel Padilla was cool, casting him as the broody teenage bad-boy that had to be won over by the steely determination of his good-girl paramour Kathryn Bernardo. But he's not cool, at least in that way. He's got a big goofy smile, a friendly presence, and an earnestness that gives his characters surprising vulnerability. His growth as an actor largely involves him being comfortable up on screen, being some version of himself that's closer to who he really is.And this leads to the best bits of this movie, which almost seem to happen in a vacuum of narrative. It doesn't matter what came before or what might happen after. In the moment, it just looks like these two kids are enjoying themselves. Kathryn Bernardo hasn't quite kept up with Padilla's development, her performances getting a little stiffer as she gets older, but their clear affection for one another smooths out a lot of these scenes.But these moments don't actually exist in a vacuum. There's a movie around it, and like so many local big romcoms, there are just too many things going on. All the classic formula markers are there, too: some sort of medical problem, some parental issues and a whole bunch of characters that exist purely to tell the leads what they're supposed to be feeling. The movie stretches into two hours with the added weight of these rote elements, and by the time they fly off to some foreign land, it kind of feels like an entirely different movie. It shifts focus completely, and starts filling in even more backstory through yet another character that just says everything outright.The story they end up telling is actually pretty simple, but there are just so many other things that crowd out the much more affecting core of this story: two people still clearly in love with each other, just trying to overcome the hurt that also still exists between them. In bits, in moments, the two kind of make that work. But the movie itself feels so caught up in the norms of their genre to just let the leads take the lead.",2018-08-29,51,1,watch,False
grepel,7,"HEARTFELT. This film presents a distinct, powerfully affecting kind of love story to prove that the standard CGM formula has still some unique perspectives to spin and explore. Here’s a mind dump (with little spoilers) rendered in the same fashion as the film’s break-build narrative, starting off with negatives (baka awayin ako ng fans, lol), wrapping up with positives. 1. The opening voiceovers are certainly moving but seem lengthier than necessary. I hate that I feel like I’m being spoon-fed.2. Daniel’s character is rather poorly developed. And the choice to reveal his backstory through another character’s verbose lines is quite a disappointment. 3. I am totally confused about (what I think is) the turning point where Primo has to leave because that’s obviously what he is asked to, then is instantly being chased by George afterwards. There is no question about Kathryn’s acting, but seriously I’m like, “Girl, why are you crying? Pinaalis mo ‘di ba?” And when he returns, she says something like “That’s not what I actually meant because I was just tired, and that I wanted you to fight for us that night.” Ang labo. 4. The prepossessing bike scene gets less delightful when Primo starts throwing gibberish pick-up lines. Ganda na sana eh. Rickety in part but there’s so much that makes it worthy as a whole:5. Editing does not look as though it’s rushed. ‘Buti naman. 6. A dialogue-heavy scene backdropped by Amsterdam’s glaring flower fields and lovely sunset is my favorite. How would you feel if you’re in a beautiful place, talking to someone you love about how your lives got better after you painfully parted ways? Tearful acceptance, ganun. Ako, hindi ko alam. Unfathomable. 7. Second favorite is the harana/apology scene. Pain and kilig stirred together. 8. It may not be picture-perfect, but it’s a warehouse of authentic messages, inspirational ideologies, and lessons in love, which I gladly take away:- Relationships take great, great effort to maintain. It’s easy to give love and be happy when things are going well. But what happens when life suddenly feels as though it’s caving in with a spirit-crushing weight? Ang tanong eh kung kaya mo pa. Pero kung siya ayaw na, tama na. Ginawa ko na ‘yan. Okay naman ako. Pero ako lang ‘yun. - I give a nod everytime Primo says “Sayang iniwan kita, nagkahiwalay tayo,” and George will answer “but we became better persons.” Eh kasi tama naman. We don’t grow when things are easy, comfortable, and effortless. We grow when we face something beyond what we’re capable of handling. Kahit magkahiwalay pa kayo. Again, ako lang ‘to. - For the most beautiful part: Just because we think our heart is broken doesn’t mean it’s incapable to love again. (Sa’kin talaga galing to? Hahaha!) It’s those times when we have to step aside, heal in whatever foolish way we can, and remind ourselves of what keeps us going. It’s when we think na wala nang dahilan magmahal ulit kasi masasaktan ka lang ulit, that instead of curling up and hiding from the world, we gather our scattered bits of resolve to keep moving forward, whether with someone from the past, with someone new, or with yourself alone. Friend, life is worth every single moment. Be open to lessons from your hardships and misfortunes — they will build within you an unshakable passion, acceptance, understanding, and LOVE. THOU redefines my idea of living life, makes me want to fall in love again.",2018-08-31,2,0,rewatch,False
ablazagirl,8,"Solid first act. Gets droopy in the middle but is held up by Kathryn Bernardo's impeccable acting. Ends on a really sweet, heartfelt note.",2018-08-29,29,0,watch,True
jrtawasil,2,"I really dislike films where the movie itself tries to force you to root for a deeply problematic relationship, and excuse selfish behavior.Other than Daniel Padilla, the film doesn't work at a fundamental level. It's that bad to me.Edit: i was far too generous the first time",2018-08-31,32,0,watch,False
rabdolph,5,it’s great when it wasn’t trying. but it tried too hard. first act was good though.,2018-08-31,1,0,watch,False
abbymalubag,6,"Great storyline (plot and conflict felt so real, story-wise). Bad acting (obviously scripted, so unreal). Except for Kathryn’s (lead actress). Awesome job with the tears.",2018-08-31,1,0,watch,False
peteragbayani,6,"It felt like it's a poem-you've-read-before's movie version. Though there are these cringeworthy Amsterdam scenes and romantic lines that could have been more effective if it was said in vernacular, the formidable leads were still able to hit the soft spot with their relentless charm and chemistry.",2018-09-01,1,0,watch,False
