username,rating,review_text,date,likes,comments,viewing_type,user_liked
beeyuncuh,1,more like paid in malacanang 😂😂😂😂😂😂😂😂😂😂😂,2022-08-03T22:46:59.709Z,69,2,watch,False
chubbydummy,2,Lol,2022-08-04,0,0,watch,False
sansuui,1,putangina nyo mga pasista,2022-08-04,10,0,watch,False
baboy,1,MOVIE !!! OF !!! THE !!! DECAYED !!!,2022-08-04,378,0,watch,False
angxious,1,Waste of time and money.,2022-08-04,1,0,watch,False
yah1ko,1,I don't need to see this to tell you that this is going to be a dogshit of a film. This is an embarrassment to the Philippine cinema. This is a grave and utter insult to the Philippines. The only reason I rated this 1/2 is because there isn't an option to give this film a zero.,2022-08-04T00:24:21.734Z,6,0,watch,False
hansfrancocruz,1,Ew,2022-08-04,1,0,watch,False
tabitabs,1,Di na kailangan panoorin para i-rate.,2022-08-04T01:21:08.993Z,12,0,watch,False
jerome415,1,The plot is hard to follow. Only portrayed an evil man as evil.,2022-08-04T01:39:54.930Z,0,0,watch,False
kaskiosk,2,"If you are looking for a movie that is not consistent with reality and more like an alternate history type of film, I recommend this. Had the director(s) been historically accurate, this could be taken seriously. Unfortunately that is not the case. Just a good alternate history but not reality. For one, in reality, Mrs. Aquino did not play mahjong with the nuns.",2022-08-02,1,0,rewatch,False
thanguwu,2,"didn’t watch. i just cringe every time this movie creeps in my newsfeed. i have so much hatred for the movie, the cast, and the entire crew.mga marcos pasista, tuta, diktador, at magnanakaw.",2022-08-04,3,0,watch,False
allanglvz,1,"A waste of time.Time only because someone sent a bundle of tickets to our boss just to gave them to us for free. I can provide pictures, if you want. Anyway, let's focus on the content. The content, just like any other Daryl Yap's filmography, is trashy. They didn't even consult several people by making this. Unlike the film ""Katips"", this movie lacks credibility because it didn't even written in the history books. It only serves to distort the history by making the late dictator's name great. Let's give SOME of the artist a half clap for giving their efforts but still I will never ever recommend this to anyone.Not recommended.",2022-08-03,5,0,watch,False
sebastianeros,1,"propaganda film, half of the actors here are total flops. i fucking hate you daryl yap",2022-08-04,13,0,watch,False
1485khal,1,Bunch of stories that are made up and have nothing to do with our history.,2022-08-04T03:30:11.038Z,1,0,watch,False
lapezangel,1,did i watch it? of course not!im jus being petty😁,2022-08-04,20,1,watch,False
blueberryrian,,Imelda Marcos MILF na may kasong 7 counts of graftsi BBM hindi matatawag na DILF maasim ung mukha eh,2022-08-04,44,0,rewatch,False
blueberryrian,,MIM FERDINAND SR X IMELDA KANTOTAN,2022-08-04,17,0,rewatch,False
crypie,,didnt waste my time. historical distortion at its finest.,2022-08-04,2,0,watch,False
28archives,1,"L + ratio + yo mamaop said paid in malacañang and i couldn't agree more :"")) tangina mo darryl yap",2022-08-04,0,1,watch,False
suekii,1,Pangit hindi ko to papanoorin mag finger na lang ako kesa sayangin ko oras ko dito tanginang to ni Darryl Yap eh amaccana accla sakit mo sa puki,2022-08-04,124,6,watch,False
akden,1,"Ang pangit. Kung gusto ko manood ng magnanakaw, tingnan ko nalang yung CCTV.",2022-08-04,181,0,watch,False
sakamoto12,1,This movie sucks. If there was 0 star I'd rate it 0.,2022-08-04,0,0,watch,False
glen_goopio,1,Waste of time. Mas maganda pa ang Thor!,2022-08-04T05:44:29.902Z,0,1,watch,False
lope_emano,1,"Ang sagwa, hindi makatotohanan ang baba ni Imee! Kelangan palitan ng mangga.",2022-08-04T05:54:05.842Z,4,0,watch,False
udrich,1,"Badly-written, lazily-directed and saddled with terrible-pacing, wooden acting and a scattershot plot, Maid in Malacañang is Filipino Film Director Darryl Yap's vanity project whose sole raison d'etre seems be laundering the ignominious reputation of one of history's worst kleptocratic dictators Ferdinand Marcos Sr. along with his equally corrupt family (a reputation surpassed only by Suharto in pilfering his respective nation's coffers).Indeed, the project was concieved with the deposed despot's own unrepentant daughter Senator Imee Marcos serving as its ""creative producer"". With all of these elements at play, one can't help but think this film is just bad propaganda and self-serving hagiography. It brings nothing new to the table nor does it contribute to the advancement of the moviemaking craft. If that's not bad enough, Yap makes amateurish directorial missteps such as telling the story instead of showing it. The only positive the film possess is the fact the producers clearly spent money on its set pieces. With Maid in Malacañang, Yap ascends to the list of ignominious filmmakers such as Leni Riefenstahl and D.W. Griffith but with far less talent. Yap is certainly no auteur.",2022-08-04,47,0,rewatch,False
scar_h,1,"Historical revisionism at it's finest. Literally rewriting history, no wonder Filipinos today believe on myths on how the Marcos era was ""the golden age"".",2022-08-04T06:14:43.015Z,4,0,watch,False
omnyojii,2,"Basically, a propaganda movie to white-washed the dark history of the family of Marcos. It garners dimwitted audience who doesn't read historical records and fanatics of the said family. Like Imelda Marcos' one famous quote from the Kingmaker documentary ""Problem with media is the gun can kill you only up to the grave. Media can kill you beyond the grave"", they sure are very aware of the historical distortion they are doing that's why they hired social media specialist or trolls to divide the people through populism.",2022-08-04,32,0,watch,False
steven_gil,1,Watched the movie. It was a waste of money. Ang bobo ng cast. Darryl Yap sure likes to lick Imee's glory hole! That's how bad it is.,2022-08-04T06:34:22.381Z,0,0,watch,False
lenluntang,1,"Ang panget ng movie, wala man libreng popcorn! Cheapepay! may pa libreng ticket pang nalalaman! Mga bobo!",2022-08-04T06:50:59.977Z,0,0,watch,False
kenaria,1,Mga tanga lang ang nanonood nito. Mga bayarang bobo na umaasa sa libre.,2022-08-02,0,1,watch,False
lenshutup,1,"Cheap walang originality. Tanga nung gumawa, di marunong mag research.",2022-08-04T07:09:43.237Z,0,1,watch,False
s1arrberries,1,shonget,2022-08-04,1,0,watch,False
edzopalacol,3,"As a person who doesn't read, I wasn't a fan of all the text and exposition that cuts frequently throughout the film. It's a basic known rule in filmmaking to ""show, don't tell"". I also don't feel like there's enough story to divide the film into ""chapters"", especially when each chapter felt like lasting only 10 minutes at most.The film tries SO HARD and SO ANNOYINGLY to paint the Marcoses in such a great and kinder light. It tries to portray them as the victims that in retrospect only happened because of the corruption and deceit their family had done in the first place.Artistically it was fine. The direction was atleast dynamic and some effort was put in. Although the choice of a squarish aspect ratio made it all feel too ""compact"". Especially since it was accompanied by having almost all shots indoors and in small rooms.I have no sensible reason whatsoever to endorse anyone to watch this movie. It all really is just an effort to repaint history in favor the Marcoses. Put simply, it's brainwashing.",2022-08-04,4,0,watch,False
quouloicroifray,1,The best movie for idiots.,2022-08-04T08:05:30.652Z,0,1,watch,False
koreijauweuquo,1,ANG PANGET NG MOVIE!!! WAG NA KAYO MANOOD SAYANG PERA NYO DAHIL WALA NAMAN BABA NI IMEE! YUN LANG ANG GUSTO KO MAKITA HINDI PA MAKATOTOHANAN ANG PAG GANAP!,2022-08-03,1,0,watch,False
bozellomeuja,1,"Sa totoo lang hindi maganda ang pelikula. Napaka cheap ng pagkakagawa, parang baba lang ni Imee.",2022-08-04T08:23:02.295Z,9,0,watch,False
nocturnalgf,1,bullshit.,2022-08-04,2,0,watch,False
cannoittiyulei,1,KUMUSTA NAMAN ANG 20 PESOS NA BIGAS??? BAT MAS NA-UNA PANG GUMAWA NG PELIKULA KESA PAG GAWA NG MAY MAKABULUHANG BAGAY.,2022-08-04T08:49:43.532Z,1,0,watch,False
derangedstuff,1,Rich people problems,2022-08-04,1,0,watch,False
inamo_darrylyap,1,shit movie shitter director,2022-08-04T09:00:23.730Z,0,0,watch,False
almariagustin,,"KASINUNGALINGAN. TANGINA MO DARRYL YAP, HIMOD PWET PA SA MGA MARCOS TANGA! MAGSAMA SAMA KAYO SA IMPYERNO.",2022-08-04,6,0,watch,False
crassoullevuhau,1,"NASAAN NA ANG BABA NI IMEE??? HINDI NAMAN MAKATOTOHANAN ANG PORTRAYAL, BARA BARA! WALANG CLASS! PWEH",2022-08-04T09:09:58.211Z,0,1,watch,False
kumikinanginamo,1,ang asim gagi,2022-08-04,0,0,watch,False
cedricbench,1,NEVER AGAIN TO MARTIAL LAW,2022-08-04,0,0,watch,False
mcnutt123,2,Never again to martial law,2022-08-04,0,0,watch,False
daninejane,1,"DOGSHIT. Point of view of the marcoses with a twist para utuin ang mga tao, bobo na nga ang mga pinoy, mas pinabobo pa dahil sa pelikulang to.",2022-08-04T10:26:36.590Z,1,0,watch,False
ktmcjm,1,"he is acting not normal..honestly speaking.. he's showing signs and symptoms of ambivalence...as a nurse...hope I'm wrong..he's smilling, then with all the gifts na binigay SA kanya just like child...pssst Darryl...be back on your self...Baka mabalitaan na lang namin Hindi mo na nalampasan ang fine line NG border Ng reality and insanity.. obsession kills.. delusional of grandeur...check your mental health status po...stay mentally health po...it's over na... eto assessment ko...",2022-08-04,7,2,watch,False
