username,rating,review_text,date,likes,comments,viewing_type,user_liked
thedwl,7,"The movie is okay, not giving too much expectations. But good on the visuals and sound effects. The only cringe part is where Fr. Mallari's mother became a mananananggal.",2023-12-27,0,0,watch,False
baobeisaur,6,moral of the story: hindi kabataan ang pag-asa ng bayan at hindi dapat kainin ang sisiw sa balutdaming unnecessary jumpscares ... kiss pa lang ni piolo at gloria diaz sapat na,2025-12-06,0,0,watch,False
lalalyrabelle,10,"SI PAPA TALAGA! KAKAGISING KO LANG NUNG UMAGANG IYON, UPO AKO PARA SA BREAKFAST NANONOOD AGAD SIYA NAN! NAGISING NG BONGGANG-BONGGA DIWA KO KASI HORROR PALA! Papa played this movie because the setting of the movie is in an antique house.",2025-04-12,0,0,watch,True
gothamnl,6,piolo pascual EVERYWHERE,2025-12-05,0,0,watch,False
soundfables,8,aside from the goofy sfx this movie actually did a great job in trying to introduce a new format in storytelling for Filipino films. By no means am I saying that this movie is perfect but I think it’s a great start to challenge linear storytelling that’s been a longtime trend in the Philippine’s current world of filmography. Baka mali pinagsasabi ko pero okay lang yan,2025-12-05,0,0,watch,False
nielxd,10,sana ako na lang si janella… nakailang kiss si papa p e,2025-12-03,0,0,watch,False
bunchi,7,watched this in school and im so distracted by how hot piolo pascual is,2025-12-02,0,0,watch,False
eurved,6,"maganda naman, ayoko lang. i feel like grabe potential ng plot neto",2025-12-01,0,0,watch,False
lthr_d,2,new trend: buhayin ang pinutol na generational curse,2025-12-01,0,0,watch,False
letterchie,8,Piolo was phenomenal,2024-01-04,0,0,watch,False
chezi_ea,6,parang tanga lang eh.It's like all of the sacrifices were thrown away just because you chose to make her survive and live despite the consequences.,2025-11-30,0,0,watch,False
anathema24,3,not the transphobia 😬,2025-11-30,0,0,watch,False
cathargic,,okay-ishliked the long mother-son dance scene montage,2024-07-02,0,0,watch,False
elitoots,10,scary ahh,2025-11-30,0,0,watch,False
exquisitestela,8,Kinda disappointed that the history repeat itself. Maybe that was the point of the whole story but still— I love how Janella never gave him the same treatment after. It's the consequence he must pay.,2024-11-30,0,0,watch,True
huhuha,8,hayop ka jc santos,2025-11-30,0,0,watch,False
crys6n,7,magandaa yong plotwist‼️‼️ kaso may mga panget na scene lang pati yong mga multo it's not even scary BUT i love me some jhonrey mallari😜😜,2025-11-29,0,0,watch,False
sensonya,4,sayang yung potential. grabe build up ng story pero in the end parang ang rush. masyadong madaming nabuksang plot sa movie na to na di masyadong nabigyan ng justice. i wish ginawa na lang nilang series.,2025-11-28,0,0,watch,False
eekhlie,10,best filo horror film na napanood ko (same plot kasi like insidious),2024-02-26,0,0,watch,False
lavieenravs,6,all those sacrifices for nothing,2025-11-26,0,0,watch,False
jijihadid,10,papa p nasa kiffy ko ang sisiw 👅5 STARS PARA KAY PIOLO PASCUAL5 STARS PARA KAY JC SANTOS5 STARS PARA KAY JANELLA SALVADORTANGINAMO PARA KAY JONATHAN.,2025-11-25,0,0,watch,True
chewylightbulb,5,eh its alright,2025-11-25,0,0,watch,False
1millionyengrl,7,buhat na buhat ni johnrey,2025-11-25,0,0,watch,False
nrlnmk,8,"I gagged over twist after twist. honestly one of the few Filipino horror/crime films I've actually liked in a long time. Cinematography, astral projection across different time periods, the concept, musical scoring is on point and impressive— all solid. The whole part about the family taking care of the sisiw or “maligno” added a really interesting layer.John Rey tho... I really feel so bad for him. he's the only one who knows how to love someone properly. he sacrificed so much over the years, only to see it wasted again kasi tatanga tanga si Jonathan sa pag ibig. ang selfish, kainis.The ending worked for me though. It felt perfect for this coz it didn’t wrap everything neatly. Instead, it left the sense that the horror isn’t over, that more evil and chaos is just waiting to spill out. Overall, good film and way better than most PH horror.",2024-12-11,0,0,watch,True
