username,rating,review_text,date,likes,comments,viewing_type,user_liked
goldwinreviews,5,"A man goes back in timeto figure out the mystery of a serial killernamed Mallari.Halos lahat ng pwede mong makita sa isang horror thriller film ay inilagay nila rito. Nakakatuwa dahil kaya pala natin makaisip ng ganitong konsepto na siksik sa iba’t ibang elemento.Hindi lang siya basta patayan, habulan, sigawan. Maraming pasabog sa kwento na tila walang hangganan. Sunod sunod ang mga plottwists sa dulo at wala itong hingahan.Piolo Pascual gave his usual good acting. You can see the distinction among the three characters he is portraying. Gloria Diaz was graceful. Geraldine Villamil was terrifying. The performance of JC Santos was impressive and applaudable, serving as one of the film’s highlights.The color grading, scoring, sound design, and cinematography altogether gave a thrilling atmosphere. The movie’s original song, composed by Quest and interpreted by juan karlos, is a powerful appropriate soundtrack.Mallari’s greatest strength still lies on its concept. The effort to be a different kind of horror film was seen and appreciated. If watching 𝘔𝘢𝘭𝘭𝘢𝘳𝘪 means getting better horror stories, then count us in.Let 𝘔𝘢𝘭𝘭𝘢𝘳𝘪 be the start of something new.READ FULL MOVIE REVIEW HERE:www.goldwinreviews.com/post/mallari",2023-12-20,11,0,watch,False
lunaartemis,7,red flag talaga mga mama’s boy,2023-12-25,161,0,watch,False
bwjohndc,,"@Festival Mall Cinemas, Cinema 8",2023-12-25,0,0,watch,True
girlreckless,8,Agnes' Jennifer's Body serve at the end,2023-12-25,180,0,watch,True
slasherhimbo,8,"Hilarious... Uncomfortable... And one unique hell of a ride!Mallari, though not perfect, still offers an enjoyable horror flick that has FILIPINO smeared all over it, be it 1800s, 1940s, and the modern times... and even has the legendary monsters we all grew up hearing about... but of course with a unique twisted flavor! Piolo Pascual devoured not once but thrice with his triple role! The twist was a lil predictable but executed just fine making this whole experience satisfying enough for me! Also plus points for the #kapampangan represent! Janella Salvador did such a serve too!Do note that despite this being based off a serial killer, it is highly fictionalized, so if you're expecting a biopic, you'll surely be disappointed!I'm glad to see that ph cinema is alive and well! it was packed 😍",2023-12-25,3,0,watch,True
hanskywalker,7,Piolo: sabi ng mama mo tita nalang daw itawag ko sayo o sakanya tapos ngayon mama ko na siya ang tita mo noon ngayon kaya pwede na tayong magsama kasi accept accept na tayo nila ng mama mo sa tita ko noon,2023-12-25,49,0,watch,False
katreenanulud,7,alternatively: the horrors of pampanga,2023-12-25,0,0,watch,False
meddows,5,would've been more compelling if this was used as commentary on the church i think,2023-12-25,12,0,watch,False
eeziocre,6,grabe na yang pasahan ng balut bff!,2023-12-25,510,8,watch,False
jpismyname,5,"It's ok. It mostly resorts to ineffective jump scares, the movie isn't that scary and there are also a few dull moments. Even the audience sa sinehan aren't reacting sa mga ibang nakakatakot na eksena and no one seemed enthusiastic or something. Piolo and JC Santos are amazing though, pati narin si Janella. I like the twist din and impressive din ang ibang visuals/cinematography. May isang CGI scene lang na hindi masyadong maganda. Ayun. I still recommend it though kasi ang ganda ng performances nila, lalo na sila Papa P at JC.",2023-12-25,1,0,watch,False
