username,rating,review_text,date,likes,comments,viewing_type,user_liked
rizzmoviejam,8,"MMFF 2014: (1/8)a nostalgic movie for me.nung bata ako bumili si mama ng CD and this is the movie, that time siguro alam niya na na gay ako and I want to watch this movie talaga, however, 'di ko sinasabi kasi magagalit sa akin yung papa ko, then I think 1st or 2nd week ng january, sabi ni mama may surprise daw siya sakin, then pinakita niya sakin yung CD ng movie na ito, grabe yung tuwa ko talaga that time just because of this movie.anyways, if I will review this movie, for me talagang mas maganda yung unang film, the story is interesting, isa talaga ito sa mg movie na nagsasabing gays are strong and resilient—nag-focus siya sa comedy pero if we look at it, sobrang daming pinagdaanan ni benjamin para patunayan ulit yung sarili niya, mas mabigat lang talaga yung naunang movie for me, and mas nakakatawa rin.the casttt, kaya gusto ko rin itong mapanood before kasi nandito si sir chief HAHAHA.",2025-12-09,0,0,watch,False
jitsukki,7,rip vice ganda's umbrella. you would've been useful in baguio,2025-11-29,0,0,rewatch,False
cheeyyzza,6,binge watching filo films at the moment,2025-11-27,0,0,rewatch,False
pampalubagloob,,fave scene ko talaga yung plants vs zombies sa umpisa,2025-11-18T07:23:57.309Z,0,0,watch,False
erikaindahawz,4,"pwedeng basehan ng zeitgeist of that era ang bawat vice ganda film.sa film na to, ang sikat ay be careful with my heart kaya si richard yap ang kasamang lead tapos tawang-tawa pa ang pinas kay alex gonzaga kaya kasama rin siya lol",2025-11-17,0,0,rewatch,False
kaw6ru,,pre-board exam movienet aigoo gusto lang nila ng laf,2025-11-03,0,0,rewatch,False
holyribs,5,napanood ko na dati tapos nakalimutan ko na nangyari pero napanood ko ulit kasi favorite na pinapalabas sa tv ng mga bus,2025-10-25,0,0,rewatch,False
keziahzee,8,serious situation instantly turns into unserious one with his jokes.,2025-11-14T11:50:30.558Z,0,0,watch,False
tenderful,,sobrang locked in ng mga kasama kong pasahero sa bus watching this sa tv HAHAHA,2025-11-14,0,0,rewatch,True
johndoe12,6,this was so unserious and bad 😭 ugh they don’t make filipino films like this anymore,2025-11-12,0,0,watch,False
friskaaa,10,"""ito yung may bomba"" - Deim""gusto ko pa rin ng barbie"" - Tine",2025-11-10,0,0,watch,True
cmbynfred,2,ANG POGI NI RICHARD YAP BWAHAHAHAHAHA,2025-11-10T11:38:38.419Z,0,0,watch,False
eddnfilms,9,"This is another classic Vice Ganda movie. With Vice Ganda’s witty jokes, perfect timing of comedy, and heartwarming moments, it was a wonderful ride of everything in between. The film also showed realizations and lessons that the characters learned. The actors played their roles well, adding colorful personalities in the film.",2025-11-07,0,0,rewatch,False
osaimu,,kainis ang lt bahahhahah,2025-11-03,0,0,watch,True
worldimplode,2,i feel everyone needs to watch a stupid as hell arguably objectively bad movie every once in a while and have fun with it. This was my every once in a while dose of just that! #whatisthismovieevenabout,2025-11-01,1,0,watch,False
saturdree,10,BESTTTTT,2025-04-21,0,0,watch,True
warmmurmur,7,PUSH MO YAN TE,2025-11-01,0,0,watch,True
f3d3ral,6,boring ending..pero lame din yung comedy pero natatawa parin ako,2025-10-31,1,0,watch,False
sorbssss,8,First Filipino movie and pretty excellent. Too much cholesterol for me,2025-10-20,0,0,watch,False
simonlikesyou,4,Part 1 was better. The jokes here in part 2 kay forced na.,2025-10-16,0,0,watch,True
billyregala,2,This is more of a cash generating event than a movie to me. I am sorry but this just did not make sense to do or even watch anymore. There were some funny gags but truly unnecessary.,2025-10-16T11:55:06.237Z,0,0,watch,False
edcelgonzales,4,"Underneath the sequel chaos, the film has a sweet, direct message about chosen family and defining your own heroism.",2015-11-05,0,0,rewatch,False
ahnriaa,,no ai can replace this brainrot hahahahahahhahaedit: SI DAVID LICAUCO 😭😭😭😭😭😭😭😭😭,2025-10-15,0,0,watch,True
maiskonyelo,7,"you definitely need a certain amount of pinoy tv-time* (in today’s words, screentime & brainrot) to understand the numerous references and it makes it 100% times funnier when you get it but the first movie was just tewwww good",2025-10-14,0,0,rewatch,True
