username,rating,review_text,date,likes,comments,viewing_type,user_liked
oblivion,4,Funny but Boring,2015-01-11T11:53:40.828Z,0,0,watch,False
myhoneyisfilm,1,The difference between silly (the 2011 original) and pathetic (the 2014 sequel) is three years. Brainless films like this make me question the lost sense and sensibility of a supposed-to-be family comedy genre that is reduced to a shallow cash cow venture.,2014-12-28,0,0,watch,False
targrod,3,"despite the same-old same-old, surprisingly, this one has a real unhurried story.ADHD approach is less than your usual dosage and the worst part is Kris Aquino's son. smart move in banking the co-lead and support to Sir Chief and A. Gonzaga respectively.ego, it's actually watchable. *gasp*",2015-02-03,1,0,watch,False
punq,2,I really wonder what Wenn V. Deramas is smoking. Pinoy comedy is getting weirder and weirder. It's like it has no connected to this earth....,2015-03-01,0,0,watch,False
ceciliatallis,3,nonsense,2015-04-03,1,0,watch,False
ara,10,kakatuwa naman haha,2015-04-10T13:16:47.836Z,0,0,watch,False
moviegrande,2,Just when you thought it couldnt get worse...,2015-05-06,5,0,watch,False
cocaconan,5,A cash grab from the get go.,2015-09-13,0,0,watch,False
migothegamer,1,I feel so insulted as an audience member. HOW SHALLOW CAN A MOVIE GET. JESUS THIS IS JUST AWFUL GOD. BIMBY IS Probably THE WORST ACTOR IN THE WORLD. HE MAKES TOMMY WISEAU LOOK LIKE MARLON BRANDO.,2015-10-04,2,1,watch,False
suspirioram,6,hahahahahahaha,2018-11-28,0,0,watch,False
actuallyfrank,1,Definitely lost a few brain cells watching this lol.,2019-03-24,0,0,watch,False
vnsrfn,2,lmao,2019-03-31,0,0,watch,False
r_u_shaw,1,"Words cannot describe this film. amazing, revolutionary and life changing don't even come close to describing the level this movie is on. i watched this movie with friends expecting it to be bad but boy was it different to that......ITS SHIT!!!!!! a funny type of shit BUT STILL SHIT. i would watch it with mates for a laugh but don't actually watch it for enjoyment because you will be disappointed. the funniest part of the film was when i finished it and realised it had actually won awards. its so unbelievably bad and definitely doesn't deserve these awards but it's still funny to laugh at",2019-05-20T03:41:13.869Z,13,0,watch,False
dj_teves13,1,I was forced to watch this on the bus.,2019-06-07,1,0,watch,False
_wanderluuust,1,at some point you gotta try to make your movie bearable,2019-11-22,0,0,watch,False
patapon,1,ewan ko ba bakit kumikita ito sa takilya,2020-05-16,1,0,watch,False
antonioagregado,2,Just logging this,2020-11-30,0,0,rewatch,False
sebastian_a,1,genius child....... yeah.... no....... im the kind who enjoys shitty movies for the comedy but this whole film is too annoying to be funny,2020-07-23,0,0,watch,False
kainoa,5,"Less funny than the first, but a Wenn Deramas film is always great for a light watch.",2021-03-30,0,0,rewatch,False
virgoinfilm_,3,same sentiments as the first,2021-04-04T16:54:17.901Z,1,0,watch,False
aidsaidsaids,10,waw best film,2021-04-23,0,0,watch,False
shaynesthoughts,3,some nice campy filipino fun. i cant find the first one anywhere but it was def more enjoyable than this one,2021-04-26T23:41:55.893Z,1,0,watch,False
sonicmage42,4,This is about on par with Beauty and the Bestie. The story works as is but I think I may have been too tired or something because I wasn't really jiving with the humor this time around. Also this is basically military propaganda.,2021-06-27,0,0,watch,False
lehoe,4,That bagwa scene *chef's kiss*,2021-07-10,0,0,watch,False
anparales,,105 minutes of pure brain rot,2021-07-10,1,0,watch,False
ellekaie,,qingina pinanood ko nga pala 'to sa sine kasama kapatid ko nung mmff 2014The Anti-Letterboxd 250 (Filipino Version),2021-10-19T21:19:47.676Z,0,0,watch,False
julyiea,6,tangina talaga nung plants vs. zombies film ang camp teh,2021-11-11,0,0,rewatch,False
peristereon,,imma just laugh of how ridiculous this movie is,2021-11-14,3,0,watch,False
captbo,8,Heheheh laptrip...,2021-11-23,4,0,watch,True
graysonity,,"just who thought of a plant vs. zombies type of battle??? oh yea—""comedy""",2021-11-26T12:14:03.657Z,0,0,watch,False
elyhealy,1,I'm pretty sure I first watched this when I was 18 hahaha whatever it sucks doesn't even give me a good laugh ◉‿◉,2021-12-20,0,0,rewatch,False
itsmejanna,3,"First part lang yung nakakatawa, idk but that Plants vs. Zombies parody sa first scene reallh made me laugh, the rest MEH",2021-12-26,0,0,watch,False
guankuroo,2,"napamahal na ako sa bata ehwOw, pEdOpHiLe??!!??gago HAHHAAHHAHAH tanginang script yan",2022-01-09,0,0,watch,False
zedstinkd,4,"a dissection in the dichotomy about the narcissism of Vice Ganda.This sucks, why is Benjie an asshole and manipulative and MUCH MORE HORNY",2022-01-20T16:43:06.529Z,1,0,watch,False
danaya_gising,1,minsan talaga napapatanong ako bakit hilig ko magsayang ng oras,2022-01-27T06:55:23.548Z,8,0,watch,False
bedmoss,1,Miss Vice when she succumbs to just making movies for sponsorships and money rather than laughs. 🥲,2022-02-02,0,0,watch,False
carpihoe,,panget neto pukengina,2022-02-09,1,0,watch,False
misterrealist87,6,"Somewhat important in Filipino culture... D-don't ask why I know that, I mean I'm Filipino but I dunno why we think of this as our FGF. Even for me.",2022-03-02T01:17:39.480Z,0,0,watch,False
narniascat,1,i cannot,2022-04-14,0,0,rewatch,False
