username,rating,review_text,date,likes,comments,viewing_type,user_liked
rusluc,10,"best documentary i watched in a while.. a very sharp and witty journalism, every clip is included for a reason and contributes so well to the storytelling",2025-12-07,0,0,watch,True
sabinoyb,8,everybody saying we shouldn’t have given Imelda any air time is 1) missing the point 2) misunderstanding the creative contextthis movie is a great glimpse into everything that’s wrong w the philippines and uses stellar cinematography to achieve that,2025-12-07,0,0,watch,False
ligayaaaaa,7,Revealed a lot of controversies about the Marcoses that were never taught in History class. It is infuriating that we let this family =erase their atrocities of the past.,2025-12-02,0,0,watch,False
yxanerev,7,"the filipinos are stupid.that is basically it. we are stupid.stupid enough to let our ignorance lead the way to marcoses reign in leadership. the way our own people fought this stupidity, just for it to come back is literally a hard shit bomb dropping over us.",2025-12-02,0,0,watch,False
kathkaesque,7,"""Perception is real, the truth is not."" - Imelda Marcos in The Kingmaker (2019)This statement right here can sum up the propaganda that the Marcoses is instiling to the people (since the 1990s), the history that they are trying to deny, distort, and dispose, and their service that was never for the Filipinos but for those who are in their exclusive class (most highlighted by Marcos' quote about public service being a chore).Other than the Marcoses' edifice complex, the extravaganza, and their lavish lifestyle, Imelda's quote about giving birth to the world is one of her notable [ambitious] quest in the documentary. The tone during the segment where she [indirectly] states ""love conquers all"" while the extrajudicial killings during the Martial law as well as the contrast between the poor and the rich who uses them as ""props to display performative authenticity"" for their campaign played perfectly juxtaposed Imelda's quest. How can you call someone a mother who thinks that hurting one is a form of love? How can a mother treat those animals who she banished from their homeland and caged them in Calauit Islands to make a sort-like Noah's Ark paradise while she cast away those people who truly lived in the island from the start? How can be a supposedly loving mother be so cruel? Until today, the historical revisionism, distortion, denialism, and misinformation ran rampant. There should be a mandatory course or subject in elementary and in high school that will explain what happened in the 70s and until today. And not just with a paragraph [like in modules/book] that one can overlook and skip but with the details that engaged to the essence of the terror of corruption [checked by professionals in the field of history].The people like you shall not look for the stars through the luxury that was bought with taxpayers' money but through the grounds where you stand, through the land that was invaded, freed, and invaded again by its own people, and through people like you who yearns for a tomorrow where one can exist without worrying for their basic human rights and where the government truly served what it is mandated to be.But before you can look above the stars, you must open your eyes with the real truth initially below your radar. #NeverAgain#NeverForget#JusticeforMartialLawVictims#JusticeforEJKVictims",2025-12-02,3,1,watch,True
folklorhian,6,"all this talk about ""mothering"" when all you are is a motherfucker.",2025-12-01,3,1,watch,False
janicefaith,6,queen of delulu,2025-12-01,0,0,watch,False
panics,6,"(Random rewatch di ko rin lam baket)""Can I ask for another ballot? 🙂 I messed up 🤭 I shaded two presidents 😅""Obob""We don't know what to do, actually. You can't run to the police, it's the police that's doing it""FUCK THE POLICE THRU AND THRU kahit kamaganak pa kita""Since Duterte cannot govern democratically, he has to create an enemy to justify the use of force""Garapon ka nang uuwi sa Pinas pakyu",2025-11-29,0,0,rewatch,False
painapau,6,eat the rich #bbmsara❤️💚,2022-03-20,0,0,watch,False
uhlexxi,,for thesiss purposes 🥀,2025-11-24,0,0,watch,False
ishyfilm,8,tangina talaga,2025-11-22,1,0,rewatch,False
yawi1000,9,"It’s easy to write about this film, and also extremely difficult. Personally, I’d rather talk about the difficult part. Writing an “easy” review simply means pointing out how the resurgence of authoritarian legacies is happening everywhere, and how films like this serve as warnings to the public. That’s a straightforward approach. But I can’t shake the feeling that if we rely solely on films to revive fear of past atrocities, the effect may actually backfire. Throwing all the past horrors…",2019-11-17,1,0,watch,False
shumai1,6,"never again, never forget.",2025-11-19,0,0,watch,False
andulanadelrey,6,"“It’s difficult and it’s also scary — in the sense that if these people are brought to power again, there’s a very big chance that the sins of the past will be committed again in the future.” And since then, the Filipinos have yet again elected another Marcos and Duterte back in government.No sympathy should be given to political dynasties that have only contributed to the pain and suffering of our people. I will not have another Marcos and Duterte who will make our country a polarizing laughing stock.Let’s vote wisely.Sana tama kayo.Sana mali kami.Tama nga kami.",2025-11-19,0,0,watch,False
tubbs,6,"The documentary is not just about Imelda thank goodness, but the political situation throughout and post the Marcos reign. File under ""Crime"".",2025-11-18,0,0,watch,False
tonnamjaaaa,7,classic cancer behavior,2025-11-18,1,0,watch,False
jennstellar,,"now who told this bitch that she’s the mother of the philippines 😭😭😭😭 GIVE UP THAT DREAMMMM “when you lose your money… your mo- your mother… you lose everything.” napaghahalataang mukhang pera si tanga “martial law. that was the best years of marcos because that was when he was able to give the philippines sovereignty, freedom, justice, human rights…” girlypop lying through her teeth fr LMFAO the poor giraffes and zebras and other animals grabbed out of their natural habitat…",2025-11-14,0,0,watch,False
hereneshantal,6,imelda delulu,2025-11-11,0,0,watch,False
angelobosita,2,"[Nov 2025 edit]Changed my rating to lower it. A political documentary like this cannot be viewed superficially. Regardless how good the production value is, we shouldn't give platform to the Marcoses for them to tell more lies to our faces. Additionally, it doesn't sit well with me how foreigners seem to feature one of the darkest moments in our country's history as just another interesting subject for a documentary especially when this was shot and released during the Marcoses' return to power.Yes, it may have shown Imelda's bullshit and the effects of their corruption. But they were still given a microphone to blast their lies into. I think Philbert Dy said it best in his review:""There are no two sides when telling the story of the Marcoses. They stole from the country, and tortured and killed thousands of people. Somewhere along the way, the film seems to come to the realization that Imelda isn't the harmless old biddy that they thought she was. But it's too late. They talked to her, and gave her yet another chance to say the vile things she's always been saying.""",2020-03-22,0,0,watch,False
strobiriri,10,delulu si imelda !,2025-11-09,2,0,watch,False
pandi07,7,"Filipinos will watch this and like, heeelll yeah FEED THE RICH!",2020-12-26,0,0,watch,False
lysiumns,,dogshow,2025-11-07,0,0,rewatch,True
letterchie,7,"it deeply frustrates me that people aren’t as angry as they ought to be towards the Marcos family. this includes those who recognise their wrongdoings but simply sit back, because such lenience is what allowed the Marcoses to once again set foot on Philippine soil with no punishment. I hold no remorse when I say that, even at her age, Imelda deserves to bide what time she has left behind bars. literal piles of documents and other forms of evidence, yet nothing has been done? it’s even worse when people say phrases such as “God will judge (the Marcoses) when their time comes” ... I do not say this because of my lack of faith, but no human will ever be certain of what comes after, so how can we trust that they shall face their sins? why can’t we enact justice while they are still around? while there are still living witnesses to their crimes?I appreciate the subtle humor in allowing Imelda to spew lies, then immediately placing true, opposing statements right after (ex. when Imelda claimed that no people lived on Calauit island, followed by residents themselves speaking on how they were displaced). but I feel that this documentary was hesitant in really digging into the nasty details. these are general facts we already know (afterthought: I’ve realised that this documentary serves as an introduction for foreigners. still, it is not as critical as it could be). some may come out of this still having a neutral or even positive opinion on the Marcos family, especially with Imelda posing herself as this elegant peacemaker when she is nothing of the sort. the Marcoses think they are royalty when every bit of high-class society they got to experience was only made possible through the ill-gotten wealth of the masses.",2022-12-31,1,0,watch,False
youngstarish,6,IMELDA MARCOS PAKARAT,2025-11-02,2,0,watch,False
liannestar,8,we have this and the ppl still chose marcos in 2022 😬 shame,2025-11-02,1,0,watch,False
scoozig,9,"A really really good documentary.I learned a lot about the history of my maternal country which I admittedly only knew surface level before. It didn't go super super deep into every historical aspect as this was more of a character study of Imelda, the charming, manipulative, flamboyant, delusinal first lady behind some of the worst years of philippine dictatorship. But it does go into the present day as well as talk about some of the atrocities of the Marcos dictatorship period. It makes me sad knowing that the country is LITERALLY repeating history because people haven't learned from the mistakes of the past-- because it isn't taught and propaganda is powerful. It also makes me sad to see the parallels between the US and the Philippines in this regard. Also gross to see how the US has its hands in the pies of foreign govts. Like we know that already but yeah it's just gross. This was filmed before bongbong became president and it warns us that it's coming and it's frustrating and infuriating.Anyway. I really think Imelda believes her job is to mother everyone, to mother the country. I think she really believes that is her purpose. But she's an abusive mother. She doesn't care about the needs of her children.Anyway going to high school in the Philippines was crazy bc I've literally been at the same parties as the children of these politicians and dictators. Like literally Gossip Girl Philippines. It's disgusting to think about the wealth disparity and the pain that some of these people have brought on the country.",2025-10-30,3,1,watch,True
ah165,9,Imelda Marcus should've been a comedian,2025-10-30,2,0,watch,False
