username,rating,review_text,date,likes,comments,viewing_type,user_liked
firstshowing,8,"""Perception is real, the truth is not."" Lauren Greenfield's elegantly crafted doc about the political dynasty in the Philippines. Another maddening look at how those with wealth and power will never give it up, coming up with new ways to maintain their dominant command of power. One of these films that just makes me so angry about how much wealth rules the world and how they manipulate the masses so much (to be in their favor). And keep getting away with it. I like the way this doc is put together, it has a more compelling narrative than her last film Generation Wealth, but is just as fascinating to watch.",2019-08-29,22,0,watch,True
zainhashmat,,Seen at the Telluride Film Festival,2019-09-01,0,0,watch,False
creid61,8,"Loses its focus towards the end, but the subject matter is so exciting that I didn't even mind. This kind of access is just insane!",2019-09-01,3,0,watch,False
ettoredzz,6,"Lauren Greenfield, in her new documentary, focuses on the former Filipino first lady Imelda Marcos, who despite everything she has witnessed (made up of abuse, murder, embezzlement) still remains in her nation's political scene. An essential, no-frills documentary that portrays the political history of the Philippines and the dictatorial regime of the Marcos through a key and a maternal look represented by this matron with strongly materialistic excesses (her shoes collection for example).",2019-09-04,0,0,watch,False
thekennymiles,8,"A very well crafted documentary. Even when I was losing interest, Lauren Greenfield found a way to bring me back in.",2019-08-31,4,0,watch,False
drjonty,8,Gem,2019-09-01,2,0,watch,False
zinde,7,It’s sort of amazing luck (not sure if good or bad) that a documentarian could set out to make an Imelda Marcos documentary and end up in the middle of a Rodrigo Duterte documentary almost by accident. The trick then becomes balancing (integrating?) the two. Greenfield mostly pulls it off.,2019-09-09,0,0,watch,False
somethingcool,7,"TIFF 2019 - Film #1I knew absolutely nothing about the subject of this film going in so I got a lot out of this. Struggles a bit with balancing the two storylines the filmmaker stumbled upon, but mostly sticks the landing.",2019-09-09,1,0,watch,True
nesteacan,7,"truth be told as a Filipina with friends currently doing the grassroots work against Duterte's government, the oversimplification of the Marcos regime and political climate in this makes me mad. there's also a lack of nuance of the US' complicity and involvement in the cycle of poverty and violence in the Philippines, but I guess I shouldn't expect a lot from something literally funded by America with a predominantly white team behind the camera. plus, did we need to see the victims dead on the ground? I know shock value sells but at what cost! cinematically sometimes this doc didn't really know if it wanted to focus on the Marcos family, Imelda herself or corruption in general?? thematically it was just all over the place.tl;dr: watch it as a primer, talk to Filipinos if you want to the deal.",2019-09-09,9,0,watch,False
nickcarella,8,Extremely compelling. Practically made in real time. Scary times in the Philippines,2019-09-10T03:22:46.104Z,2,0,watch,True
yitzbin,8,very happy this doc explored both sides and didn’t keep it on marcos side because filipino politics is very messy and i’m glad this documentary was able to project that to western audiences.,2019-09-10,3,0,watch,True
clairefoy,6,fuck the marcoses,2019-09-11,18,0,watch,False
stolenrecords,8,"Perception is real, the truth is not.",2019-09-11,3,0,watch,False
seasondays,6,"n o t e s : IMELDA MARCOS is an icon, someone almost tragic… …but as is unraveled……but as is unwrapped……the creeped out and disgusted you become. the MARCOSES are so power-hungry that they don't even seem aware of how desperate they are all becoming. interesting how much they willingly reveal on interviews.intriguing how they pull those ropes around their necks. the whole thing wanders way too much as and information is…",2019-09-09,1,0,watch,False
smapahm,7,an all encompassing portrait of an interesting figure of the philippines’ dark history.,2019-09-12,1,0,watch,False
paolocase,8,"The Kingmaker, then, is an indictment of Marcos and her husband’s evil deeds.intheseats.ca/tiff-2019-our-review-of-the-kingmaker/",2019-09-11,3,0,watch,False
vanessacombe,9,"Came for the shoes, stayed for the politics. Fascinating, upsetting, important.",2019-09-11,6,0,watch,False
kielan,8,helluva scoop84/100,2019-09-09,5,0,watch,True
conversano,,"Edge of Democracy is a more engaging film, but this was still informative. Could have been shorter.",2019-09-12,1,0,watch,True
rutledal,8,Fascinating portrayal of one of the most evil political dynasties in modern times.,2019-09-28,6,0,watch,False
moviemanjames,8,Hello yeah hi how do I order a political assassination?,2019-10-06,93,1,watch,True
citizencharlie,6,"- How is this woman not in prison?- Nobody seemed to bat an eye that Imelda's social secretary sold a Matisse for $32 million- Today I learned about the problem of inbreeding giraffes- ""When your money is taken away...I mean when your mother is taken away..."" - nice slip there- Crows about being friends with Ghadaffi, Saddam, and Mao - she think that's helping? - One of Ferdinand's pieces on the side was named Dovi Beams - that has a Bond girl zing to it",2019-10-06,1,0,watch,False
crey014,8,"London Film Festival | Curzon MayfairThe Kingmaker works on two levels - an update on the Marcos dynasty, experly weaving parallels between the past and present; but also as a microcosm of the wider political climate. I was afraid it was just going to cover the same thing as Imelda but glad it was not the case. Depressing on all fronts.",2019-10-07,4,0,watch,False
russ88,8,"Such a fascinating and, in its last act, enraging film about a subject I was unfamiliar with. I think humanity isn't going to make it, somehow",2019-10-07T19:12:14.299Z,2,0,watch,False
gracielamae,7,"i was wary of how american filmmakers would handle this, but i’m just happy it got made. there’s aspects i feel they glossed over but it feels justifiable minding the unbelievable events following the 2016 elections.",2019-10-07,0,0,watch,True
ebbcinemaflow,10,"No spoils, but this film needs to be watched.",2019-10-07T22:17:50.020Z,2,0,watch,True
soulman128,7,"I found this movie more interesting as a character study of a divisive and admittedly fascinating woman than a cliff notes version of the political history of the Philippines. I also thought it was over-edited at times, as if the audience wouldn’t be trusted to come to a specific conclusion without just the right soundbite to punctuate a moment or scene. It got to be a lot. Messy, complicated, compelling doc about a genuinely thorny subject.",2019-10-08,2,0,watch,False
