Type,Filter,Review Content,Name,Date,Rating,Source Filter
Audience,Audience,"A thoroughly eye-opening account of corruption, cruelty and narcissism in high office. The total ignorance of Marcos, on both sides, beggars belief.",C H,Mar 24,5.0/5,all-audience
Audience,Audience,This delivers on so many levels. The subject matter / the editing. The fact that Bongbong is now president is haunting,James A,04/14/2023,4.5/5,all-audience
Audience,Audience,"As a Filipino, I felt the frustration after watching this. I don't know if my fellow had easily forgotten the crimes of this wicked family or we're just naturally forgiven people. In this era of fake news, this is definitely a gem with talking heads, archives footages & peer reviewed. This reminds us that we neglect the history at our risks.",Emilliano S,04/11/2023,4.0/5,all-audience
Audience,Audience,"The whole documentary film revealed how horrible and dangerous the Marcoses are. From how they got the money and power down to how they used it to rewrite history and erase the atrocities during their regime. Even those who are not into politics will realize and understand that this film is a tale of shameless corruption and blatant greed toward the Filipinos. At the present time when the possible resurgence of the Marcoses in the Philippine government, this film should be a reminder to everyone that if the Marcoses were able to abuse and lie on the face of the Filipino people in the past, there is also a big possibility that they will abuse the freedom and lie on the face of the Filipino once again. It will never be a surprise if in the future it will be proven that they maximized their machinery to get where they are today.",y8x5pmwq,05/22/2022,4.0/5,all-audience
Audience,Audience,"The documentary perfectly captured the experiences of the Marcoses and the exploited Filipinos during their regime. It shows what it is like to live with extensive wealth and how the Marcoses used it for political power and self interests. This is a must watch for those who wish to see the Marcos' perspective on Martial Law and their countless political movements. This documentary shows the truth, through direct interviews with the Marcoses, and it is up to you if you will believe it. As John Henry Newman would say: ""We can believe what we choose but we are answerable for what we choose to believe"".",Z613dLbV,05/06/2022,5.0/5,all-audience
Audience,Audience,"Weathering the storm that is Imelda Marcos is difficult, deadly even. However, Lauren Greenfield's haunting documentary The Kingmaker proves that one can dance with the devil. The film examines the lives of the Marcos clan from their rise to the Philippine government, their downfall, and their eventual return to their current political endeavors. To those unfamiliar with their name, the presidency of Ferdinand Marcos (1965 to 1986) caused some of the worst human rights violations seen in Philippine history, not to mention how the oppressive regime plunged the country's economy. While the film's title is appropriate because of its masterful storytelling, the documentary's main subjects are not worthy of this royal embellishment. Greenfield wastes no time in depicting the dichotomy between Imelda and the everyday Filipino citizen. Its first scene illustrates how emotionless she is when she hands out 50s to the beggars, proceeding to call their area ""depressing"" after reflecting on her loss of power. This opening scene already sets Imelda as someone immaculate, a savior or—in her words—a ""mother"" to those who are in need of her love. But as the film proceeds, we see how the Marcoses were never the loving parents every child wanted; their names continue haunt the people who were tortured and killed during Martial Law. The Kingmaker beautifully interpolates many sides of those who lived during and beyond the Marcos dictatorship. It is this multisectoral approach that helps audiences understand how grave the consequences of Martial Law really are. From Imelda's friends to opposition figures and Martial Law victims and activists, no stone is left unturned in dissecting how Imelda's brain works. What took the cake for me was how these figures were visited a few years after. For example, Vice President Leni Robredo and activist May Rodriguez' thoughts regarding Bongbong Marcos' vice presidential run were cut into two—the time leading up to the 2016 elections and the aftermath of Robredo's win. This follow up emphasizes how the Marcoses' dirt will never be erased from history, despite their numerous attempts to do so. It feels like the country hasn't moved much in terms of progression. What's more haunting is that all the imagery of Marcos running feels familiar, scarily real even. Now that Marcos is vouching for President, it is deeply concerning how far their influence can go. This is what exactly The Kingmaker aims to address: to expose the shoes and skeletons of the Marcos family's closets and to remind Filipinos of their oppressive rule. It demonstrates how far one will go to sustain their wealth, power, and image. Time will tell when the Marcos magic will finally disappear from the country. But for now, let this film be a reminder to never forget the many lives that suffered under their brutal rule.",y3wP7Wev,05/05/2022,5.0/5,all-audience
Audience,Audience,"The epilogue part is not biased. it is a Great movie! Every great movie, regardless of its genre and while this is a documentary, will leave you questioning. This movie have broadened my knowledge and left my heart stirred. just to give a little weigh to balance the majority of the reviews that has been shared above, I can say, the the epilogue really left me cluless about the later. It help me become more aware about the history of the Philippine politics. Probably, I will be seeing myself watching this documentary again. Why? I want to feel the tension in the converse between the statements of the characters choosen to be interviewed. Who ever is reading this, I challenge you try watching it again.",rwj7dwvb,03/16/2022,5.0/5,all-audience
Audience,Audience,"This should be mandatory viewing for High School students as part of Philippine History. And a long test as part of your grades, plus an essay. The Marcoses want to take back Malacanang Palace to rule the country once again. The disinformation campaign rewriting and white-washing the Martial Law era should be exposed and examined in detail. I think Imelda really believes what she's saying in the documentary. You cannot make this stuff up.",rXJGpAPQ,04/13/2020,5.0/5,all-audience
Audience,Audience,What happens when Trumpism spreads worldwide.,greg r,03/29/2020,4.0/5,all-audience
Audience,Audience,Perfect. Places the Marcos family's corruption into a truly circumspect context.,ZWpYMadn,12/28/2019,5.0/5,all-audience
Audience,Audience,"Thought provoking. Political corruption at its finest,",Charina S,12/10/2019,5.0/5,all-audience
Audience,Audience,"Relevant!! Young Filipinos, please watch. we can't forget the past. pay attention to your future and don't let the past happen again.",Debbie,11/22/2019,5.0/5,all-audience
Critic,Critic,"A well-researched cautionary tale of what can befall a nation that allows a familial pack of jackals to loot the resources of a struggling, impoverished country.",David Lamble,05/23/2020,No Score,all-critics
Critic,Critic,It's grimly compelling viewing as Marcos gives filmmaker Lauren Greenfield intimate access to her opulent life and oblivious narcissism.,Brad Newsome,03/12/2020,No Score,all-critics
Critic,Critic,It's almost as if [Lauren Greenfield has] been working up to this; it's a perfectly logical move for her after her last two films.,Karen Krizanovich,03/10/2020,No Score,all-critics
Critic,Critic,"The Kingmaker is a thoroughly entertaining primer on the past, present, and perhaps future of Filipino politics",John Anderson,02/28/2020,No Score,all-critics
Critic,Critic,"Even with repeated beats, The Kingmaker still begs to be watched. What it lacks in focus it makes up in personality.",Christopher James,01/13/2020,No Score,all-critics
Critic,Critic,"What's interesting about the film is that at the center is this ludicrous, ridiculous figure. As the doc scratches away at this, you see grotesque horror, and I thought that was a very astute way of approaching this.",Mark Kermode,12/31/2019,No Score,all-critics
Critic,Critic,The Kingmaker is less a historical biography than a timely cautionary tale.,Brandy McDonnell,12/24/2019,No Score,all-critics
Critic,Critic,Greenfield is careful to balance the vast shoe collections and showers of banknotes with victim testimony about the notorious period of martial law Imelda's husband imposed on enemies of the state.,Hilary A White,12/20/2019,No Score,all-critics
Critic,Critic,"Imelda holds our attention, throughout, even as we marvel at her constitutional inability (or, more likely, unwillingness) to think critically about her misdeeds.",Christopher Llewellyn Reed,12/20/2019,No Score,all-critics
Critic,Critic,"It is to Greenfield's credit that she caught the mask of glamour slipping for a second, revealing the hideousness of tyranny underneath it.",Richard von Busack,12/19/2019,No Score,all-critics
Critic,Critic,"From her very first simper, I was hooked. Some see Imelda as one of the world's greatest villains. After this tour of her closet, that shoe fits.",Charlotte O'Sullivan,12/18/2019,No Score,all-critics
Critic,Critic,"This is documentary as horror story, all the more powerful for its understated nature. Unmissable.",Alison Rowat,12/17/2019,No Score,all-critics
Critic,Critic,Documentarian Lauren Greenfield has an uncanny way of finding enormous resonance in specific stories.,Rich Cline,12/17/2019,No Score,all-critics
Critic,Critic,"The Kingmaker is fascinating, horrifying and essential viewing to understand a phenomenon of personality that's both specific and international.",Alexa Dalby,12/16/2019,No Score,all-critics
Critic,Critic,"Greenfield keeps tight control, allowing Marcos to say what she wants, while busily illustrating the opposing perspective.",Amber Wilkinson,12/16/2019,No Score,all-critics
Critic,Critic,Greenfield's portrait is damning.,Simran Hans,12/16/2019,No Score,all-critics
Critic,Critic,This is a scary documentary that illustrates how a country could easily shift from a democracy to a dictatorship.,Anita Katz,12/14/2019,No Score,all-critics
Critic,Critic,"It's dark material, expertly handled.",Kevin Maher,12/14/2019,No Score,all-critics
Critic,Critic,Both chilling and gruesomely entertaining.,Pat Padua,12/13/2019,No Score,all-critics
Critic,Critic,brilliantly crafted and profoundly depressing,Chris Hunneysett,12/13/2019,No Score,all-critics
Critic,Critic,"Laura Greenfield's documentary initially seems to take an almost kindly view of the Philippino dictator's moll... But Greenfield cleverly lets her talk, hoping she'll relax and reveal her true nature. She duly obliges.",Paul Whitington,12/13/2019,No Score,all-critics
Critic,Critic,"While the film starts in wry fly-on-the-wall mode, it morphs into something weightier and surreally unsettling - Louis Theroux to Luis Buñuel in 60 minutes flat.",Robbie Collin,12/13/2019,No Score,all-critics
Critic,Critic,"For all that Marcos has to be one of the most purely objectionable figures in public life anywhere in the world, she is not a fool and occasionally reveals shrewd insights about herself.",Peter Bradshaw,12/13/2019,No Score,all-critics
Critic,Critic,"The film moves easily back and forth between the simpering, self-justificatory former first lady and the documented realities of what took place under her husband's iron rule.",Paddy Kehoe,12/13/2019,No Score,all-critics
Critic,Critic,"""The Kingmaker"" chills the soul by presenting shantytown residents and school kids who extol the Marcos regime and even endorse its eight-year period of martial law.",Mark Jenkins,12/12/2019,No Score,all-critics
Critic,Critic,"The Kingmaker, a film guaranteed to nauseate fans of democracy, is nevertheless a must-see.",Kelly Vance,12/12/2019,No Score,all-critics
Critic,Critic,"As horror stories go, it's sometimes funny. As comedies go, it's pretty horrifying.",Nigel Andrews,12/12/2019,No Score,all-critics
Critic,Critic,"While the film never manages an Act Of Killing-type confrontation, [Lauren] Greenfield injects a canny contemporary Trumpian relevance to her timely, engrossing portrait of dynastic power-grabbing.",Larushka Ivan-Zadeh,12/12/2019,No Score,all-critics
Critic,Critic,"The Kingmaker relies on talking heads and archive footage, but it's a story well told through to its unsettling conclusion.",Steven Sheehan,12/11/2019,No Score,all-critics
Critic,Critic,Chilling stuff.,Allan Hunter,12/10/2019,No Score,all-critics
Critic,Critic,"The first half is a conventional biography but as it progresses, 'The Kingmaker' takes shape as an acute study of the psychology of power.",Philip De Semlyen,12/09/2019,No Score,all-critics
Critic,Critic,This fascinating documentary traces her career in the spotlight while using her story to provide an ominous perspective on the contemporary sociopolitical landscape.,Todd Jorgenson,11/30/2019,No Score,all-critics
Critic,Critic,"This is an enlightening, scary film of Imelda Marcos and today's Philippine nation. I don't know how much to believe, but it's a film I highly recommend; judge for yourself.",Tony Medley,11/23/2019,No Score,all-critics
Critic,Critic,"Marcos is foregrounded for the documentary's first half and listening to her seemingly endless self-aggrandizing about beauty, love, and ... being a mother to the Filipino people is - to be perfectly honest - a complete bore.",Glenn Dunks,11/21/2019,No Score,all-critics
Critic,Critic,"A return to form for the filmmaker, as it shows she's honest enough to speak ill of her own subject.",Stephen Silver,11/19/2019,No Score,all-critics
Critic,Critic,"If viewers find it easy to scoff at the pretensions of the former first lady, they'll think twice when the tone and focus shift midway ... and expand into a bigger picture of the recent Filipino political scene",Kent Turner,11/18/2019,No Score,all-critics
Critic,Critic,"The Kingmaker is intriguing, sure, and is exactly the kind of documentary middle class centrists will pat themselves on the back for applauding, but it doesn't accomplish much more than fomenting profound anger...",Dominic Griffin,11/16/2019,No Score,all-critics
Critic,Critic,"It starts out as a sort of ""lives of the rich and famous""-style drama and slowly becomes a tutorial in what Greenfield strongly suggests is a multi decade campaign of unseemly and allegedly illegal activity carried out by the Marcos clan.",James Tarmy,11/16/2019,No Score,all-critics
Critic,Critic,The Kingmaker is a terrifying film.,Rumaan Alam,11/16/2019,No Score,all-critics
Critic,Critic,It becomes clear that this is far from a superficial profile of a noteworthy woman in the sunset of her eventful life.,Lisa Trifone,11/16/2019,No Score,all-critics
Critic,Critic,"...some of the best moments of The Kingmaker show glimpses of Imelda Marcos's worldview, one that pays no heed to notions of truth, reason, and rationality.",Rebecca Liu,11/15/2019,No Score,all-critics
Critic,Critic,"Writer/Director Lauren Greenfield spent time in the Philippines and with Imelda and her family showing the now dowager is still living in a dream world surrounded with wealth she stole from her people, while professing her love for them.",Linda and Al Lerner,11/14/2019,No Score,all-critics
Critic,Critic,The Kingmaker is an effective documentary that seduces as it informs. A really fascinating look at one of the most arresting figures in recent history.,Caitlin Kennedy,11/13/2019,No Score,all-critics
Critic,Critic,It's a documentary that starts as a nonfiction portrait and ends as a political horror movie.,David Fear,11/09/2019,No Score,all-critics
Critic,Critic,"A very, very sharp film.",Tim Cogshell,11/09/2019,No Score,all-critics
Critic,Critic,"You think it's going to be a kitsch piece for about 10 minutes... And then the film starts to take a very modern, political, and terrifying turn.",Amy Nicholson,11/09/2019,No Score,all-critics
